time,stage,provider,model,item_id,prompt_tokens,cached_prompt_tokens,billable_prompt_tokens,completion_tokens,billable_output_tokens,total_tokens,elapsed_seconds,input_price_per_1m,cached_input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-10T04:36:02,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_plos_001:chunk:0,2654,0,2654,3201,3201,5855,14.374,0.3,0.03,2.5,USD,0.0087987
2026-06-10T04:36:09,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_plos_001:chunk:1,2591,0,2591,1230,1230,3821,6.6114,0.3,0.03,2.5,USD,0.0038523
2026-06-10T04:36:16,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_plos_001:chunk:2,2680,0,2680,1087,1087,3767,6.8664,0.3,0.03,2.5,USD,0.0035215
2026-06-10T04:36:24,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_plos_001:chunk:3,2654,0,2654,1304,1304,3958,7.875,0.3,0.03,2.5,USD,0.0040562
2026-06-10T04:36:38,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_plos_001:chunk:4,2564,0,2564,2731,2731,5295,14.5403,0.3,0.03,2.5,USD,0.0075967
2026-06-10T04:36:47,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_plos_001:chunk:5,1993,0,1993,1666,1666,3659,8.5482,0.3,0.03,2.5,USD,0.0047629
2026-06-10T04:36:57,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_elife_001:chunk:0,3030,0,3030,2110,2110,5140,10.296,0.3,0.03,2.5,USD,0.006184
2026-06-10T04:37:07,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_elife_001:chunk:1,2981,0,2981,1627,1627,4608,9.6488,0.3,0.03,2.5,USD,0.0049618
2026-06-10T04:37:14,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_elife_001:chunk:2,2908,0,2908,980,980,3888,7.2861,0.3,0.03,2.5,USD,0.0033224
2026-06-10T04:37:24,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_elife_001:chunk:3,2956,0,2956,2093,2093,5049,9.9418,0.3,0.03,2.5,USD,0.0061193
2026-06-10T04:37:32,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_elife_001:chunk:4,2867,0,2867,954,954,3821,8.5553,0.3,0.03,2.5,USD,0.0032451
2026-06-10T04:37:42,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_elife_001:chunk:5,2883,0,2883,1730,1730,4613,9.6325,0.3,0.03,2.5,USD,0.0051899
2026-06-10T04:38:02,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_elife_001:chunk:6,2844,0,2844,4155,4155,6999,19.9209,0.3,0.03,2.5,USD,0.0112407
2026-06-10T04:38:13,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_elife_001:chunk:7,2866,0,2866,2134,2134,5000,10.7786,0.3,0.03,2.5,USD,0.0061948
2026-06-10T04:38:17,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_elife_001:chunk:8,2144,0,2144,600,600,2744,4.2352,0.3,0.03,2.5,USD,0.0021432
2026-06-10T04:38:37,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_plos_002:chunk:0,2606,0,2606,4336,4336,6942,20.0437,0.3,0.03,2.5,USD,0.0116218
2026-06-10T04:38:48,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_plos_002:chunk:1,2620,0,2620,2247,2247,4867,11.0884,0.3,0.03,2.5,USD,0.0064035
2026-06-10T04:38:59,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_plos_002:chunk:2,2728,0,2728,2303,2303,5031,10.6372,0.3,0.03,2.5,USD,0.0065759
2026-06-10T04:39:10,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_plos_002:chunk:3,2708,0,2708,2069,2069,4777,10.9604,0.3,0.03,2.5,USD,0.0059849
2026-06-10T04:39:22,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_plos_002:chunk:4,2720,0,2720,2705,2705,5425,12.4829,0.3,0.03,2.5,USD,0.0075785
2026-06-10T04:39:29,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_plos_002:chunk:5,2310,0,2310,1433,1433,3743,7.0766,0.3,0.03,2.5,USD,0.0042755
2026-06-10T04:39:46,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_elife_002:chunk:0,3272,0,3272,3913,3913,7185,16.8027,0.3,0.03,2.5,USD,0.0107641
2026-06-10T04:39:54,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_elife_002:chunk:1,3372,0,3372,1417,1417,4789,7.6653,0.3,0.03,2.5,USD,0.0045541
2026-06-10T04:40:00,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_elife_002:chunk:2,3150,0,3150,1172,1172,4322,6.6518,0.3,0.03,2.5,USD,0.003875
2026-06-10T04:40:07,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_elife_002:chunk:3,3248,0,3248,1028,1028,4276,6.499,0.3,0.03,2.5,USD,0.0035444
2026-06-10T04:40:20,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_elife_002:chunk:4,3027,0,3027,2908,2908,5935,12.936,0.3,0.03,2.5,USD,0.0081781
2026-06-10T04:40:26,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_elife_002:chunk:5,3087,0,3087,1332,1332,4419,6.5557,0.3,0.03,2.5,USD,0.0042561
2026-06-10T04:40:31,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_elife_002:chunk:6,2731,0,2731,903,903,3634,4.8278,0.3,0.03,2.5,USD,0.0030768
2026-06-10T04:40:41,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_plos_003:chunk:0,2634,0,2634,2268,2268,4902,10.3036,0.3,0.03,2.5,USD,0.0064602
2026-06-10T04:40:55,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_plos_003:chunk:1,2806,0,2806,2875,2875,5681,13.0674,0.3,0.03,2.5,USD,0.0080293
2026-06-10T04:41:01,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_plos_003:chunk:2,2741,0,2741,1240,1240,3981,6.2951,0.3,0.03,2.5,USD,0.0039223
2026-06-10T04:41:13,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_plos_003:chunk:3,2745,0,2745,2642,2642,5387,12.5961,0.3,0.03,2.5,USD,0.0074285
2026-06-10T04:41:22,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_plos_003:chunk:4,2654,0,2654,1633,1633,4287,8.2669,0.3,0.03,2.5,USD,0.0048787
2026-06-10T04:41:28,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_plos_003:chunk:5,1981,0,1981,1049,1049,3030,5.8738,0.3,0.03,2.5,USD,0.0032168
2026-06-10T04:41:38,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_elife_003:chunk:0,2782,0,2782,2115,2115,4897,10.2655,0.3,0.03,2.5,USD,0.0061221
2026-06-10T04:41:53,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_elife_003:chunk:1,2765,0,2765,3528,3528,6293,15.1243,0.3,0.03,2.5,USD,0.0096495
2026-06-10T04:42:04,part_c.selected_keep_af_extraction,gemini,gemini-2.5-flash,exp2_elife_003:chunk:2,2747,0,2747,2258,2258,5005,10.5905,0.3,0.03,2.5,USD,0.0064691
