time,stage,provider,model,item_id,prompt_tokens,cached_prompt_tokens,billable_prompt_tokens,completion_tokens,billable_output_tokens,total_tokens,elapsed_seconds,input_price_per_1m,cached_input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-09T20:17:42,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:0,1620,0,1620,1075,1075,2695,5.7673,0.5,0.05,3.0,USD,0.004035
2026-06-09T20:17:49,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:1,1557,0,1557,1526,1526,3083,6.9128,0.5,0.05,3.0,USD,0.0053565
2026-06-09T20:17:56,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:2,1646,0,1646,961,961,2607,6.7208,0.5,0.05,3.0,USD,0.003706
2026-06-09T20:18:02,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:3,1620,0,1620,1015,1015,2635,6.2833,0.5,0.05,3.0,USD,0.003855
2026-06-09T20:18:08,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:4,1530,0,1530,1119,1119,2649,6.3279,0.5,0.05,3.0,USD,0.004122
2026-06-09T20:18:13,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:5,959,0,959,685,685,1644,4.3517,0.5,0.05,3.0,USD,0.0025345
2026-06-09T20:18:23,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:0,1996,0,1996,1937,1937,3933,10.1299,0.5,0.05,3.0,USD,0.006809
2026-06-09T20:18:29,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:1,1947,0,1947,1271,1271,3218,6.0376,0.5,0.05,3.0,USD,0.0047865
2026-06-09T20:18:36,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:2,1874,0,1874,1469,1469,3343,6.7387,0.5,0.05,3.0,USD,0.005344
2026-06-09T20:18:42,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:3,1922,0,1922,1350,1350,3272,6.9375,0.5,0.05,3.0,USD,0.005011
