time,stage,provider,model,item_id,prompt_tokens,cached_prompt_tokens,billable_prompt_tokens,completion_tokens,billable_output_tokens,total_tokens,elapsed_seconds,input_price_per_1m,cached_input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-09T21:46:35,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:0,2654,0,2654,1187,1187,3841,7.5647,0.5,0.05,3.0,USD,0.004888
2026-06-09T21:46:40,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:1,2591,0,2591,840,840,3431,5.0727,0.5,0.05,3.0,USD,0.0038155
2026-06-09T21:46:45,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:2,2680,0,2680,700,700,3380,5.3368,0.5,0.05,3.0,USD,0.00344
2026-06-09T21:46:51,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:3,2654,0,2654,1107,1107,3761,5.6214,0.5,0.05,3.0,USD,0.004648
2026-06-09T21:46:58,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:4,2564,0,2564,1183,1183,3747,7.1226,0.5,0.05,3.0,USD,0.004831
2026-06-09T21:47:05,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:5,1993,0,1993,867,867,2860,6.594,0.5,0.05,3.0,USD,0.0035975
2026-06-09T21:47:13,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:0,3030,0,3030,1275,1275,4305,8.5644,0.5,0.05,3.0,USD,0.00534
2026-06-09T21:47:19,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:1,2981,0,2981,943,943,3924,6.119,0.5,0.05,3.0,USD,0.0043195
2026-06-09T21:47:24,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:2,2908,0,2908,759,759,3667,4.8486,0.5,0.05,3.0,USD,0.003731
2026-06-09T21:47:30,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:3,2956,0,2956,1019,1019,3975,5.9871,0.5,0.05,3.0,USD,0.004535
2026-06-09T21:47:35,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:4,2867,0,2867,758,758,3625,5.1956,0.5,0.05,3.0,USD,0.0037075
2026-06-09T21:47:41,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:5,2883,0,2883,1002,1002,3885,5.9557,0.5,0.05,3.0,USD,0.0044475
2026-06-09T21:47:48,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:6,2844,0,2844,1237,1237,4081,7.1093,0.5,0.05,3.0,USD,0.005133
2026-06-09T21:47:56,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:7,2866,0,2866,1138,1138,4004,7.2412,0.5,0.05,3.0,USD,0.004847
2026-06-09T21:48:00,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:8,2144,0,2144,608,608,2752,4.2528,0.5,0.05,3.0,USD,0.002896
2026-06-09T21:48:06,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_002:chunk:0,2606,0,2606,936,936,3542,5.7247,0.5,0.05,3.0,USD,0.004111
2026-06-09T21:48:12,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_002:chunk:1,2620,0,2620,1108,1108,3728,6.4107,0.5,0.05,3.0,USD,0.004634
2026-06-09T21:48:20,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_002:chunk:2,2728,0,2728,1144,1144,3872,7.6303,0.5,0.05,3.0,USD,0.004796
2026-06-09T21:48:25,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_002:chunk:3,2708,0,2708,1089,1089,3797,5.7433,0.5,0.05,3.0,USD,0.004621
2026-06-09T21:48:32,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_002:chunk:4,2720,0,2720,1094,1094,3814,6.5348,0.5,0.05,3.0,USD,0.004642
2026-06-09T21:48:39,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_002:chunk:5,2310,0,2310,1055,1055,3365,6.5967,0.5,0.05,3.0,USD,0.00432
2026-06-09T21:48:46,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_002:chunk:0,3272,0,3272,1259,1259,4531,7.3585,0.5,0.05,3.0,USD,0.005413
2026-06-09T21:48:52,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_002:chunk:1,3372,0,3372,1066,1066,4438,6.0818,0.5,0.05,3.0,USD,0.004884
2026-06-09T21:48:58,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_002:chunk:2,3150,0,3150,1088,1088,4238,6.4365,0.5,0.05,3.0,USD,0.004839
2026-06-09T21:49:03,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_002:chunk:3,3248,0,3248,794,794,4042,5.0723,0.5,0.05,3.0,USD,0.004006
2026-06-09T21:49:09,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_002:chunk:4,3027,0,3027,1093,1093,4120,5.3711,0.5,0.05,3.0,USD,0.0047925
2026-06-09T21:49:13,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_002:chunk:5,3087,0,3087,598,598,3685,3.9985,0.5,0.05,3.0,USD,0.0033375
2026-06-09T21:49:17,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_002:chunk:6,2731,0,2731,643,643,3374,4.637,0.5,0.05,3.0,USD,0.0032945
2026-06-09T21:49:25,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_003:chunk:0,2634,0,2634,1188,1188,3822,7.0153,0.5,0.05,3.0,USD,0.004881
2026-06-09T21:49:29,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_003:chunk:1,2806,0,2806,853,853,3659,4.4031,0.5,0.05,3.0,USD,0.003962
2026-06-09T21:49:36,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_003:chunk:2,2741,0,2741,935,935,3676,6.6592,0.5,0.05,3.0,USD,0.0041755
2026-06-09T21:49:41,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_003:chunk:3,2745,0,2745,987,987,3732,5.8252,0.5,0.05,3.0,USD,0.0043335
2026-06-09T21:49:47,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_003:chunk:4,2654,0,2654,862,862,3516,5.1837,0.5,0.05,3.0,USD,0.003913
2026-06-09T21:49:51,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_003:chunk:5,1981,0,1981,865,865,2846,4.6744,0.5,0.05,3.0,USD,0.0035855
2026-06-09T21:49:58,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_003:chunk:0,2782,0,2782,1116,1116,3898,6.712,0.5,0.05,3.0,USD,0.004739
2026-06-09T21:50:05,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_003:chunk:1,2765,0,2765,1266,1266,4031,7.0802,0.5,0.05,3.0,USD,0.0051805
2026-06-09T21:50:13,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_003:chunk:2,2747,0,2747,1134,1134,3881,7.8191,0.5,0.05,3.0,USD,0.0047755
2026-06-09T21:50:20,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_003:chunk:3,2804,0,2804,1258,1258,4062,7.4222,0.5,0.05,3.0,USD,0.005176
2026-06-09T21:50:27,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_003:chunk:4,2718,0,2718,1095,1095,3813,6.5125,0.5,0.05,3.0,USD,0.004644
2026-06-09T21:50:33,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_003:chunk:5,2752,0,2752,1040,1040,3792,6.3295,0.5,0.05,3.0,USD,0.004496
2026-06-09T21:50:41,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_003:chunk:6,2678,0,2678,1225,1225,3903,8.3309,0.5,0.05,3.0,USD,0.005014
2026-06-09T21:50:48,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_003:chunk:7,2754,0,2754,1109,1109,3863,6.8261,0.5,0.05,3.0,USD,0.004704
2026-06-09T21:50:57,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_003:chunk:8,2691,0,2691,1335,1335,4026,8.5618,0.5,0.05,3.0,USD,0.0053505
2026-06-09T21:51:02,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_003:chunk:9,2850,0,2850,830,830,3680,5.5965,0.5,0.05,3.0,USD,0.003915
