time,stage,provider,model,item_id,prompt_tokens,cached_prompt_tokens,billable_prompt_tokens,completion_tokens,billable_output_tokens,total_tokens,elapsed_seconds,input_price_per_1m,cached_input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-09T09:05:25,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_001:chunk:0,1635,0,1635,1870,1870,3505,21.0706,0.4,0.1,1.6,USD,0.003646
2026-06-09T09:05:48,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_001:chunk:1,1553,0,1553,2043,2043,3596,23.6589,0.4,0.1,1.6,USD,0.00389
2026-06-09T09:06:18,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_001:chunk:2,1612,0,1612,2703,2703,4315,30.0833,0.4,0.1,1.6,USD,0.0049696
2026-06-09T09:06:45,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_001:chunk:3,1581,0,1581,2367,2367,3948,26.9516,0.4,0.1,1.6,USD,0.0044196
2026-06-09T09:07:05,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_001:chunk:4,1529,0,1529,1653,1653,3182,19.7078,0.4,0.1,1.6,USD,0.0032564
2026-06-09T09:07:14,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_001:chunk:5,947,0,947,731,731,1678,8.6967,0.4,0.1,1.6,USD,0.0015484
2026-06-09T09:07:42,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:0,1965,0,1965,2433,2433,4398,27.9068,0.4,0.1,1.6,USD,0.0046788
2026-06-09T09:08:03,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:1,1853,0,1853,1879,1879,3732,21.38,0.4,0.1,1.6,USD,0.0037476
2026-06-09T09:08:24,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:2,1797,0,1797,1609,1609,3406,20.8303,0.4,0.1,1.6,USD,0.0032932
2026-06-09T09:08:55,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:3,1846,0,1846,2158,2158,4004,31.3804,0.4,0.1,1.6,USD,0.0041912
2026-06-09T09:09:15,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:4,1765,0,1765,1590,1590,3355,20.2123,0.4,0.1,1.6,USD,0.00325
2026-06-09T09:09:37,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:5,1800,0,1800,1574,1574,3374,21.5409,0.4,0.1,1.6,USD,0.0032384
2026-06-09T09:10:10,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:6,1864,0,1864,2738,2738,4602,32.6143,0.4,0.1,1.6,USD,0.0051264
2026-06-09T09:10:44,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:7,1833,0,1833,2886,2886,4719,34.8611,0.4,0.1,1.6,USD,0.0053508
2026-06-09T09:11:10,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:8,1101,0,1101,2029,2029,3130,26.0154,0.4,0.1,1.6,USD,0.0036868
2026-06-09T09:11:46,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_002:chunk:0,1566,0,1566,2574,2574,4140,35.6456,0.4,0.1,1.6,USD,0.0047448
2026-06-09T09:12:16,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_002:chunk:1,1576,0,1576,2297,2297,3873,30.0395,0.4,0.1,1.6,USD,0.0043056
2026-06-09T09:12:44,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_002:chunk:2,1652,0,1652,2162,2162,3814,27.4569,0.4,0.1,1.6,USD,0.00412
2026-06-09T09:13:09,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_002:chunk:3,1648,0,1648,2253,2253,3901,25.6859,0.4,0.1,1.6,USD,0.004264
2026-06-09T09:13:44,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_002:chunk:4,1650,0,1650,2799,2799,4449,34.8775,0.4,0.1,1.6,USD,0.0051384
2026-06-09T09:14:02,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_002:chunk:5,1260,0,1260,1344,1344,2604,18.3735,0.4,0.1,1.6,USD,0.0026544
2026-06-09T09:14:31,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_002:chunk:0,2103,0,2103,2463,2463,4566,28.539,0.4,0.1,1.6,USD,0.004782
2026-06-09T09:14:58,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_002:chunk:1,2145,0,2145,2164,2164,4309,27.2257,0.4,0.1,1.6,USD,0.0043204
2026-06-09T09:15:23,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_002:chunk:2,2024,0,2024,2147,2147,4171,24.4706,0.4,0.1,1.6,USD,0.0042448
2026-06-09T09:15:41,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_002:chunk:3,2104,0,2104,1335,1335,3439,18.0024,0.4,0.1,1.6,USD,0.0029776
2026-06-09T09:16:09,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_002:chunk:4,1919,0,1919,2553,2553,4472,28.2042,0.4,0.1,1.6,USD,0.0048524
2026-06-09T09:16:46,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_002:chunk:5,2019,0,2019,3989,3989,6008,36.7761,0.4,0.1,1.6,USD,0.00719
2026-06-09T09:17:10,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_002:chunk:6,1549,0,1549,2036,2036,3585,24.0223,0.4,0.1,1.6,USD,0.0038772
2026-06-09T09:17:34,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_003:chunk:0,1599,0,1599,2390,2390,3989,24.4349,0.4,0.1,1.6,USD,0.0044636
2026-06-09T09:18:13,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_003:chunk:1,1716,0,1716,3147,3147,4863,38.4365,0.4,0.1,1.6,USD,0.0057216
