time,stage,provider,model,item_id,prompt_tokens,cached_prompt_tokens,billable_prompt_tokens,completion_tokens,billable_output_tokens,total_tokens,elapsed_seconds,input_price_per_1m,cached_input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-09T23:21:04,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_001:chunk:0,1635,0,1635,1110,1110,2745,15.8591,0.15,0.075,0.6,USD,0.00091125
2026-06-09T23:21:17,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_001:chunk:1,1553,0,1553,1049,1049,2602,12.9007,0.15,0.075,0.6,USD,0.00086235
2026-06-09T23:21:27,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_001:chunk:2,1612,0,1612,683,683,2295,10.3156,0.15,0.075,0.6,USD,0.0006516
2026-06-09T23:21:32,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_001:chunk:3,1581,0,1581,369,369,1950,5.0784,0.15,0.075,0.6,USD,0.00045855
2026-06-09T23:21:41,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_001:chunk:4,1529,0,1529,619,619,2148,8.616,0.15,0.075,0.6,USD,0.00060075
2026-06-09T23:21:47,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_001:chunk:5,947,0,947,538,538,1485,6.4054,0.15,0.075,0.6,USD,0.00046485
2026-06-09T23:21:59,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_001:chunk:0,1965,0,1965,801,801,2766,11.3384,0.15,0.075,0.6,USD,0.00077535
2026-06-09T23:22:07,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_001:chunk:1,1853,0,1853,729,729,2582,8.179,0.15,0.075,0.6,USD,0.00071535
2026-06-09T23:22:25,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_001:chunk:2,1797,0,1797,920,920,2717,18.441,0.15,0.075,0.6,USD,0.00082155
2026-06-09T23:22:32,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_001:chunk:3,1846,0,1846,618,618,2464,7.14,0.15,0.075,0.6,USD,0.0006477
2026-06-09T23:22:47,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_001:chunk:4,1765,0,1765,1040,1040,2805,14.5223,0.15,0.075,0.6,USD,0.00088875
2026-06-09T23:22:54,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_001:chunk:5,1800,0,1800,646,646,2446,6.8964,0.15,0.075,0.6,USD,0.0006576
2026-06-09T23:23:12,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_001:chunk:6,1864,0,1864,1386,1386,3250,17.7957,0.15,0.075,0.6,USD,0.0011112
2026-06-09T23:23:26,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_001:chunk:7,1833,0,1833,1207,1207,3040,14.049,0.15,0.075,0.6,USD,0.00099915
2026-06-09T23:23:46,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_001:chunk:8,1101,0,1101,1749,1749,2850,20.6751,0.15,0.075,0.6,USD,0.00121455
2026-06-09T23:24:03,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_002:chunk:0,1566,0,1566,1291,1291,2857,17.0834,0.15,0.075,0.6,USD,0.0010095
2026-06-09T23:24:14,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_002:chunk:1,1576,0,1576,948,948,2524,10.7186,0.15,0.075,0.6,USD,0.0008052
2026-06-09T23:24:25,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_002:chunk:2,1652,0,1652,1122,1122,2774,11.0446,0.15,0.075,0.6,USD,0.000921
2026-06-09T23:24:40,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_002:chunk:3,1648,0,1648,1304,1304,2952,14.6992,0.15,0.075,0.6,USD,0.0010296
2026-06-09T23:24:55,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_002:chunk:4,1650,0,1650,1254,1254,2904,14.7548,0.15,0.075,0.6,USD,0.0009999
2026-06-09T23:25:08,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_002:chunk:5,1260,0,1260,1045,1045,2305,12.9178,0.15,0.075,0.6,USD,0.000816
2026-06-09T23:25:31,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_002:chunk:0,2103,0,2103,1282,1282,3385,23.3739,0.15,0.075,0.6,USD,0.00108465
2026-06-09T23:25:42,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_002:chunk:1,2145,0,2145,932,932,3077,10.9513,0.15,0.075,0.6,USD,0.00088095
2026-06-09T23:25:56,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_002:chunk:2,2024,0,2024,1340,1340,3364,14.4863,0.15,0.075,0.6,USD,0.0011076
2026-06-09T23:26:04,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_002:chunk:3,2104,0,2104,653,653,2757,7.1142,0.15,0.075,0.6,USD,0.0007074
2026-06-09T23:26:16,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_002:chunk:4,1919,0,1919,941,941,2860,12.0944,0.15,0.075,0.6,USD,0.00085245
2026-06-09T23:26:50,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_002:chunk:5,2019,0,2019,3114,3114,5133,34.7419,0.15,0.075,0.6,USD,0.00217125
2026-06-09T23:27:02,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_002:chunk:6,1549,0,1549,1128,1128,2677,11.7766,0.15,0.075,0.6,USD,0.00090915
2026-06-09T23:27:11,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_003:chunk:0,1599,0,1599,731,731,2330,9.1433,0.15,0.075,0.6,USD,0.00067845
2026-06-09T23:27:27,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_003:chunk:1,1716,0,1716,1487,1487,3203,15.222,0.15,0.075,0.6,USD,0.0011496
2026-06-09T23:27:34,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_003:chunk:2,1675,0,1675,584,584,2259,7.2939,0.15,0.075,0.6,USD,0.00060165
2026-06-09T23:27:41,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_003:chunk:3,1675,0,1675,515,515,2190,7.3571,0.15,0.075,0.6,USD,0.00056025
2026-06-09T23:27:48,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_003:chunk:4,1593,0,1593,513,513,2106,6.5498,0.15,0.075,0.6,USD,0.00054675
2026-06-09T23:27:57,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_003:chunk:5,936,0,936,683,683,1619,9.4528,0.15,0.075,0.6,USD,0.0005502
2026-06-09T23:28:04,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_003:chunk:0,1724,0,1724,521,521,2245,7.2008,0.15,0.075,0.6,USD,0.0005712
2026-06-09T23:28:17,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_003:chunk:1,1691,0,1691,767,767,2458,12.1595,0.15,0.075,0.6,USD,0.00071385
2026-06-09T23:28:31,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_003:chunk:2,1689,0,1689,1071,1071,2760,14.7524,0.15,0.075,0.6,USD,0.00089595
2026-06-09T23:28:50,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_003:chunk:3,1739,0,1739,1490,1490,3229,18.6208,0.15,0.075,0.6,USD,0.00115485
2026-06-09T23:28:59,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_003:chunk:4,1670,0,1670,867,867,2537,8.8969,0.15,0.075,0.6,USD,0.0007707
2026-06-09T23:29:09,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_003:chunk:5,1675,0,1675,888,888,2563,10.0333,0.15,0.075,0.6,USD,0.00078405
2026-06-09T23:29:35,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_003:chunk:6,1671,0,1671,1923,1923,3594,26.2241,0.15,0.075,0.6,USD,0.00140445
2026-06-09T23:29:53,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_003:chunk:7,1659,0,1659,1267,1267,2926,17.6084,0.15,0.075,0.6,USD,0.00100905
2026-06-09T23:30:06,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_003:chunk:8,1636,0,1636,1199,1199,2835,13.0711,0.15,0.075,0.6,USD,0.0009648
2026-06-09T23:30:36,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_003:chunk:9,1774,0,1774,2790,2790,4564,30.0182,0.15,0.075,0.6,USD,0.0019401
2026-06-09T23:31:11,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_003:chunk:10,1756,0,1756,2515,2515,4271,35.5761,0.15,0.075,0.6,USD,0.0017724
2026-06-09T23:31:22,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_003:chunk:11,1786,0,1786,679,679,2465,10.1996,0.15,0.075,0.6,USD,0.0006753
2026-06-09T23:31:31,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_003:chunk:12,1752,0,1752,659,659,2411,9.2622,0.15,0.075,0.6,USD,0.0006582
2026-06-09T23:31:57,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_003:chunk:13,1707,0,1707,2060,2060,3767,26.248,0.15,0.075,0.6,USD,0.00149205
2026-06-09T23:32:00,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_elife_003:chunk:14,331,0,331,196,196,527,2.6836,0.15,0.075,0.6,USD,0.00016725
2026-06-09T23:32:14,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_004:chunk:0,1863,0,1863,1226,1226,3089,14.1824,0.15,0.075,0.6,USD,0.00101505
2026-06-09T23:32:32,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_004:chunk:1,1880,0,1880,1319,1319,3199,17.959,0.15,0.075,0.6,USD,0.0010734
2026-06-09T23:32:52,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_004:chunk:2,1965,0,1965,1856,1856,3821,19.8862,0.15,0.075,0.6,USD,0.00140835
2026-06-09T23:33:15,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_004:chunk:3,1884,0,1884,1668,1668,3552,22.8376,0.15,0.075,0.6,USD,0.0012834
2026-06-09T23:33:29,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_004:chunk:4,1888,0,1888,1190,1190,3078,14.8214,0.15,0.075,0.6,USD,0.0009972
2026-06-09T23:33:41,part_b.article_af_extraction,openai,gpt-4o-mini,exp2_plos_004:chunk:5,1856,0,1856,894,894,2750,11.6179,0.15,0.075,0.6,USD,0.0008148
