time,stage,provider,model,item_id,prompt_tokens,cached_prompt_tokens,billable_prompt_tokens,completion_tokens,billable_output_tokens,total_tokens,elapsed_seconds,input_price_per_1m,cached_input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-10T00:54:37,part_c.selected_keep_af_extraction,openai,gpt-4o-mini,exp2_plos_001:chunk:0,2614,0,2614,832,832,3446,8.8035,0.15,0.075,0.6,USD,0.0008913
2026-06-10T00:54:47,part_c.selected_keep_af_extraction,openai,gpt-4o-mini,exp2_plos_001:chunk:1,2532,0,2532,737,737,3269,9.6848,0.15,0.075,0.6,USD,0.000822
2026-06-10T00:54:54,part_c.selected_keep_af_extraction,openai,gpt-4o-mini,exp2_plos_001:chunk:2,2591,1024,1567,665,665,3256,7.6918,0.15,0.075,0.6,USD,0.00071085
2026-06-10T00:55:02,part_c.selected_keep_af_extraction,openai,gpt-4o-mini,exp2_plos_001:chunk:3,2560,1024,1536,650,650,3210,7.8391,0.15,0.075,0.6,USD,0.0006972
2026-06-10T00:55:09,part_c.selected_keep_af_extraction,openai,gpt-4o-mini,exp2_plos_001:chunk:4,2508,1024,1484,596,596,3104,6.4906,0.15,0.075,0.6,USD,0.000657
2026-06-10T00:55:16,part_c.selected_keep_af_extraction,openai,gpt-4o-mini,exp2_plos_001:chunk:5,1926,1024,902,660,660,2586,6.9565,0.15,0.075,0.6,USD,0.0006081
2026-06-10T00:55:23,part_c.selected_keep_af_extraction,openai,gpt-4o-mini,exp2_elife_001:chunk:0,2944,1024,1920,756,756,3700,7.8207,0.15,0.075,0.6,USD,0.0008184
2026-06-10T00:55:31,part_c.selected_keep_af_extraction,openai,gpt-4o-mini,exp2_elife_001:chunk:1,2832,1024,1808,671,671,3503,7.2505,0.15,0.075,0.6,USD,0.0007506
2026-06-10T00:55:37,part_c.selected_keep_af_extraction,openai,gpt-4o-mini,exp2_elife_001:chunk:2,2776,1024,1752,623,623,3399,6.0025,0.15,0.075,0.6,USD,0.0007134
2026-06-10T00:55:44,part_c.selected_keep_af_extraction,openai,gpt-4o-mini,exp2_elife_001:chunk:3,2825,1024,1801,672,672,3497,7.1765,0.15,0.075,0.6,USD,0.00075015
2026-06-10T00:55:51,part_c.selected_keep_af_extraction,openai,gpt-4o-mini,exp2_elife_001:chunk:4,2744,1024,1720,687,687,3431,7.4932,0.15,0.075,0.6,USD,0.000747
2026-06-10T00:55:59,part_c.selected_keep_af_extraction,openai,gpt-4o-mini,exp2_elife_001:chunk:5,2779,1024,1755,715,715,3494,7.7633,0.15,0.075,0.6,USD,0.00076905
2026-06-10T00:56:07,part_c.selected_keep_af_extraction,openai,gpt-4o-mini,exp2_elife_001:chunk:6,2843,1024,1819,915,915,3758,8.2471,0.15,0.075,0.6,USD,0.00089865
2026-06-10T00:56:19,part_c.selected_keep_af_extraction,openai,gpt-4o-mini,exp2_elife_001:chunk:7,2812,1024,1788,1040,1040,3852,12.0358,0.15,0.075,0.6,USD,0.000969
2026-06-10T00:56:26,part_c.selected_keep_af_extraction,openai,gpt-4o-mini,exp2_elife_001:chunk:8,2080,1024,1056,619,619,2699,6.9325,0.15,0.075,0.6,USD,0.0006066
2026-06-10T00:56:37,part_c.selected_keep_af_extraction,openai,gpt-4o-mini,exp2_plos_002:chunk:0,2545,1024,1521,1142,1142,3687,10.4856,0.15,0.075,0.6,USD,0.00099015
2026-06-10T00:56:47,part_c.selected_keep_af_extraction,openai,gpt-4o-mini,exp2_plos_002:chunk:1,2555,1024,1531,927,927,3482,9.694,0.15,0.075,0.6,USD,0.00086265
2026-06-10T00:56:54,part_c.selected_keep_af_extraction,openai,gpt-4o-mini,exp2_plos_002:chunk:2,2631,1024,1607,708,708,3339,7.0412,0.15,0.075,0.6,USD,0.00074265
2026-06-10T00:57:03,part_c.selected_keep_af_extraction,openai,gpt-4o-mini,exp2_plos_002:chunk:3,2627,1024,1603,907,907,3534,8.9438,0.15,0.075,0.6,USD,0.00086145
2026-06-10T00:57:11,part_c.selected_keep_af_extraction,openai,gpt-4o-mini,exp2_plos_002:chunk:4,2629,1024,1605,758,758,3387,8.3557,0.15,0.075,0.6,USD,0.00077235
