time,stage,provider,model,item_id,prompt_tokens,cached_prompt_tokens,billable_prompt_tokens,completion_tokens,billable_output_tokens,total_tokens,elapsed_seconds,input_price_per_1m,cached_input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-09T12:03:13,part_b.article_af_extraction,openai,gpt-5-mini,exp2_plos_001:chunk:0,1634,0,1634,6425,6425,8059,68.7736,0.25,0.025,2.0,USD,0.0132585
2026-06-09T12:04:42,part_b.article_af_extraction,openai,gpt-5-mini,exp2_plos_001:chunk:1,1552,0,1552,8230,8230,9782,89.4593,0.25,0.025,2.0,USD,0.016848
2026-06-09T12:06:28,part_b.article_af_extraction,openai,gpt-5-mini,exp2_plos_001:chunk:2,1611,0,1611,9365,9365,10976,105.0713,0.25,0.025,2.0,USD,0.01913275
2026-06-09T12:07:34,part_b.article_af_extraction,openai,gpt-5-mini,exp2_plos_001:chunk:3,1580,0,1580,5252,5252,6832,66.4003,0.25,0.025,2.0,USD,0.010899
2026-06-09T12:08:30,part_b.article_af_extraction,openai,gpt-5-mini,exp2_plos_001:chunk:4,1528,0,1528,5100,5100,6628,56.0462,0.25,0.025,2.0,USD,0.010582
2026-06-09T12:09:24,part_b.article_af_extraction,openai,gpt-5-mini,exp2_plos_001:chunk:5,946,0,946,4342,4342,5288,53.6213,0.25,0.025,2.0,USD,0.0089205
2026-06-09T12:11:33,part_b.article_af_extraction,openai,gpt-5-mini,exp2_elife_001:chunk:0,1964,0,1964,9476,9476,11440,129.2005,0.25,0.025,2.0,USD,0.019443
2026-06-09T12:12:28,part_b.article_af_extraction,openai,gpt-5-mini,exp2_elife_001:chunk:1,1852,0,1852,4338,4338,6190,54.7045,0.25,0.025,2.0,USD,0.009139
2026-06-09T12:13:44,part_b.article_af_extraction,openai,gpt-5-mini,exp2_elife_001:chunk:2,1796,0,1796,6439,6439,8235,76.656,0.25,0.025,2.0,USD,0.013327
2026-06-09T12:14:48,part_b.article_af_extraction,openai,gpt-5-mini,exp2_elife_001:chunk:3,1845,0,1845,4890,4890,6735,63.9029,0.25,0.025,2.0,USD,0.01024125
2026-06-09T12:16:26,part_b.article_af_extraction,openai,gpt-5-mini,exp2_elife_001:chunk:4,1764,0,1764,6940,6940,8704,98.2409,0.25,0.025,2.0,USD,0.014321
