time,stage,provider,model,item_id,prompt_tokens,cached_prompt_tokens,billable_prompt_tokens,completion_tokens,billable_output_tokens,total_tokens,elapsed_seconds,input_price_per_1m,cached_input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-09T18:49:06,part_c.selected_keep_af_extraction,openai,gpt-5-mini,exp2_plos_001:chunk:0,2613,0,2613,2967,2967,5580,36.238,0.25,0.025,2.0,USD,0.00658725
2026-06-09T18:49:52,part_c.selected_keep_af_extraction,openai,gpt-5-mini,exp2_plos_001:chunk:1,2531,0,2531,3837,3837,6368,46.0372,0.25,0.025,2.0,USD,0.00830675
2026-06-09T18:50:34,part_c.selected_keep_af_extraction,openai,gpt-5-mini,exp2_plos_001:chunk:2,2590,0,2590,3744,3744,6334,42.0031,0.25,0.025,2.0,USD,0.0081355
2026-06-09T18:51:14,part_c.selected_keep_af_extraction,openai,gpt-5-mini,exp2_plos_001:chunk:3,2559,0,2559,3781,3781,6340,39.8792,0.25,0.025,2.0,USD,0.00820175
2026-06-09T18:51:59,part_c.selected_keep_af_extraction,openai,gpt-5-mini,exp2_plos_001:chunk:4,2507,0,2507,4213,4213,6720,45.0973,0.25,0.025,2.0,USD,0.00905275
2026-06-09T18:52:33,part_c.selected_keep_af_extraction,openai,gpt-5-mini,exp2_plos_001:chunk:5,1925,0,1925,3258,3258,5183,33.2389,0.25,0.025,2.0,USD,0.00699725
2026-06-09T18:53:32,part_c.selected_keep_af_extraction,openai,gpt-5-mini,exp2_elife_001:chunk:0,2943,0,2943,5917,5917,8860,59.436,0.25,0.025,2.0,USD,0.01256975
2026-06-09T18:54:26,part_c.selected_keep_af_extraction,openai,gpt-5-mini,exp2_elife_001:chunk:1,2831,0,2831,5211,5211,8042,54.2904,0.25,0.025,2.0,USD,0.01112975
2026-06-09T18:55:16,part_c.selected_keep_af_extraction,openai,gpt-5-mini,exp2_elife_001:chunk:2,2775,0,2775,4894,4894,7669,49.4664,0.25,0.025,2.0,USD,0.01048175
2026-06-09T18:56:12,part_c.selected_keep_af_extraction,openai,gpt-5-mini,exp2_elife_001:chunk:3,2824,0,2824,5432,5432,8256,55.6149,0.25,0.025,2.0,USD,0.01157
2026-06-09T18:56:44,part_c.selected_keep_af_extraction,openai,gpt-5-mini,exp2_elife_001:chunk:4,2743,0,2743,3235,3235,5978,32.6361,0.25,0.025,2.0,USD,0.00715575
2026-06-09T18:57:24,part_c.selected_keep_af_extraction,openai,gpt-5-mini,exp2_elife_001:chunk:5,2778,0,2778,3693,3693,6471,39.71,0.25,0.025,2.0,USD,0.0080805
2026-06-09T18:58:20,part_c.selected_keep_af_extraction,openai,gpt-5-mini,exp2_elife_001:chunk:6,2842,0,2842,5478,5478,8320,55.7663,0.25,0.025,2.0,USD,0.0116665
2026-06-09T18:59:18,part_c.selected_keep_af_extraction,openai,gpt-5-mini,exp2_elife_001:chunk:7,2811,0,2811,5715,5715,8526,58.5896,0.25,0.025,2.0,USD,0.01213275
2026-06-09T19:00:02,part_c.selected_keep_af_extraction,openai,gpt-5-mini,exp2_elife_001:chunk:8,2079,0,2079,3376,3376,5455,43.3888,0.25,0.025,2.0,USD,0.00727175
2026-06-09T19:00:57,part_c.selected_keep_af_extraction,openai,gpt-5-mini,exp2_plos_002:chunk:0,2544,0,2544,5046,5046,7590,55.1828,0.25,0.025,2.0,USD,0.010728
2026-06-09T19:01:47,part_c.selected_keep_af_extraction,openai,gpt-5-mini,exp2_plos_002:chunk:1,2554,0,2554,4335,4335,6889,50.5093,0.25,0.025,2.0,USD,0.0093085
2026-06-09T19:02:28,part_c.selected_keep_af_extraction,openai,gpt-5-mini,exp2_plos_002:chunk:2,2630,0,2630,3517,3517,6147,40.944,0.25,0.025,2.0,USD,0.0076915
2026-06-09T19:03:07,part_c.selected_keep_af_extraction,openai,gpt-5-mini,exp2_plos_002:chunk:3,2626,0,2626,3862,3862,6488,38.7261,0.25,0.025,2.0,USD,0.0083805
2026-06-09T19:04:00,part_c.selected_keep_af_extraction,openai,gpt-5-mini,exp2_plos_002:chunk:4,2628,0,2628,5120,5120,7748,53.0064,0.25,0.025,2.0,USD,0.010897
