time,stage,provider,model,item_id,prompt_tokens,completion_tokens,total_tokens,elapsed_seconds,input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-08T15:40:28,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:0,1630,3727,5357,23.0889,0.14,0.28,USD,0.00127176
2026-06-08T15:41:23,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:1,1544,9203,10747,54.5894,0.14,0.28,USD,0.002793
2026-06-08T15:41:37,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:2,1596,2071,3667,14.5298,0.14,0.28,USD,0.00080332
2026-06-08T15:41:55,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:3,1578,2803,4381,17.6711,0.14,0.28,USD,0.00100576
2026-06-08T15:42:08,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:4,1537,1903,3440,12.8647,0.14,0.28,USD,0.00074802
2026-06-08T15:42:31,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:5,958,3369,4327,23.5158,0.14,0.28,USD,0.00107744
2026-06-08T15:43:50,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:0,1898,11467,13365,78.8079,0.14,0.28,USD,0.00347648
2026-06-08T15:44:16,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:1,1834,3992,5826,26.2416,0.14,0.28,USD,0.00137452
2026-06-08T15:44:40,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:2,1765,3242,5007,23.3251,0.14,0.28,USD,0.00115486
2026-06-08T15:45:04,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:3,1821,3757,5578,24.0208,0.14,0.28,USD,0.0013069
2026-06-08T15:45:18,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:4,1766,2256,4022,14.5206,0.14,0.28,USD,0.00087892
2026-06-08T15:45:30,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:5,1788,1719,3507,11.613,0.14,0.28,USD,0.00073164
2026-06-08T15:46:01,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:6,1778,5241,7019,31.7576,0.14,0.28,USD,0.0017164
2026-06-08T15:46:37,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:7,1813,6105,7918,35.1915,0.14,0.28,USD,0.00196322
2026-06-08T15:47:00,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:8,1102,3532,4634,22.9721,0.14,0.28,USD,0.00114324
2026-06-08T15:47:17,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_002:chunk:0,1556,2338,3894,17.071,0.14,0.28,USD,0.00087248
2026-06-08T15:47:47,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_002:chunk:1,1567,4801,6368,29.897,0.14,0.28,USD,0.00156366
2026-06-08T15:48:03,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_002:chunk:2,1661,2484,4145,16.3271,0.14,0.28,USD,0.00092806
2026-06-08T15:48:34,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_002:chunk:3,1644,4960,6604,30.8259,0.14,0.28,USD,0.00161896
2026-06-08T15:49:07,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_002:chunk:4,1641,4958,6599,33.3545,0.14,0.28,USD,0.00161798
2026-06-08T15:49:26,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_002:chunk:5,1256,2909,4165,18.5014,0.14,0.28,USD,0.00099036
2026-06-08T15:49:50,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_002:chunk:0,2092,4095,6187,24.4347,0.14,0.28,USD,0.00143948
2026-06-08T15:50:09,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_002:chunk:1,2130,2905,5035,19.1174,0.14,0.28,USD,0.0011116
2026-06-08T15:50:35,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_002:chunk:2,2007,3829,5836,26.0687,0.14,0.28,USD,0.0013531
2026-06-08T15:50:59,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_002:chunk:3,2101,3122,5223,24.1741,0.14,0.28,USD,0.0011683
2026-06-08T15:51:37,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_002:chunk:4,1906,5937,7843,37.2936,0.14,0.28,USD,0.0019292
2026-06-08T15:52:11,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_002:chunk:5,1968,5728,7696,34.3949,0.14,0.28,USD,0.00187936
2026-06-08T15:52:37,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_002:chunk:6,1555,3876,5431,25.8486,0.14,0.28,USD,0.00130298
2026-06-08T15:52:46,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_003:chunk:0,1597,1265,2862,9.4727,0.14,0.28,USD,0.00057778
2026-06-08T15:53:13,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_003:chunk:1,1723,4192,5915,26.3701,0.14,0.28,USD,0.00141498
2026-06-08T15:53:54,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_003:chunk:2,1663,5722,7385,40.6866,0.14,0.28,USD,0.00183498
2026-06-08T15:54:35,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_003:chunk:3,1682,6941,8623,41.2065,0.14,0.28,USD,0.00217896
2026-06-08T15:54:58,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_003:chunk:4,1603,3494,5097,23.0381,0.14,0.28,USD,0.00120274
2026-06-08T15:55:22,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_003:chunk:5,950,3373,4323,23.9316,0.14,0.28,USD,0.00107744
2026-06-08T15:55:24,part_b.direct_coverage_gt,deepseek,deepseek-v4-flash,exp2_plos_001_af_0001,471,247,718,2.6034,0.14,0.28,USD,0.0001351
2026-06-08T15:55:29,part_b.direct_coverage_gt,deepseek,deepseek-v4-flash,exp2_plos_001_af_0002,475,459,934,4.6968,0.14,0.28,USD,0.00019502
2026-06-08T15:55:39,part_b.direct_coverage_gt,deepseek,deepseek-v4-flash,exp2_plos_001_af_0003,464,967,1431,9.6193,0.14,0.28,USD,0.00033572
2026-06-08T15:55:42,part_b.direct_coverage_gt,deepseek,deepseek-v4-flash,exp2_plos_001_af_0004,460,278,738,3.7551,0.14,0.28,USD,0.00014224
2026-06-08T15:55:46,part_b.direct_coverage_gt,deepseek,deepseek-v4-flash,exp2_plos_001_af_0005,473,281,754,3.8649,0.14,0.28,USD,0.0001449
2026-06-08T15:55:50,part_b.direct_coverage_gt,deepseek,deepseek-v4-flash,exp2_plos_001_af_0006,460,249,709,3.7363,0.14,0.28,USD,0.00013412
2026-06-08T15:55:52,part_b.direct_coverage_gt,deepseek,deepseek-v4-flash,exp2_plos_001_af_0007,467,147,614,2.4196,0.14,0.28,USD,0.00010654
2026-06-08T15:55:55,part_b.direct_coverage_gt,deepseek,deepseek-v4-flash,exp2_plos_001_af_0008,461,153,614,2.8197,0.14,0.28,USD,0.00010738
2026-06-08T15:55:59,part_b.direct_coverage_gt,deepseek,deepseek-v4-flash,exp2_plos_001_af_0009,462,261,723,3.753,0.14,0.28,USD,0.00013776
2026-06-08T15:56:08,part_b.direct_coverage_gt,deepseek,deepseek-v4-flash,exp2_plos_001_af_0010,468,795,1263,9.3477,0.14,0.28,USD,0.00028812
