time,stage,provider,model,item_id,prompt_tokens,completion_tokens,total_tokens,elapsed_seconds,input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-08T17:32:33,part_c.summary_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001,449,1739,2188,12.7503,0.14,0.28,USD,0.00054978
2026-06-08T17:32:45,part_c.summary_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001,678,1672,2350,12.3307,0.14,0.28,USD,0.00056308
2026-06-08T17:32:57,part_c.summary_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_002,443,1356,1799,11.2516,0.14,0.28,USD,0.0004417
2026-06-08T17:33:19,part_c.summary_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_002,604,3247,3851,22.1251,0.14,0.28,USD,0.00099372
2026-06-08T17:33:33,part_c.summary_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_003,465,1899,2364,14.273,0.14,0.28,USD,0.00059682
2026-06-08T17:33:54,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:0,2613,2545,5158,21.3152,0.14,0.28,USD,0.00107842
2026-06-08T17:34:19,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:1,2527,2810,5337,24.7532,0.14,0.28,USD,0.00114058
2026-06-08T17:34:45,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:2,2579,2848,5427,25.6765,0.14,0.28,USD,0.0011585
2026-06-08T17:34:53,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:3,2561,802,3363,8.1177,0.14,0.28,USD,0.0005831
2026-06-08T17:35:08,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:4,2520,1739,4259,15.3775,0.14,0.28,USD,0.00083972
2026-06-08T17:35:24,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:5,1941,1916,3857,16.1472,0.14,0.28,USD,0.00080822
2026-06-08T17:35:40,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:0,2881,1856,4737,15.5363,0.14,0.28,USD,0.00092302
2026-06-08T17:35:52,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:1,2817,1266,4083,11.9619,0.14,0.28,USD,0.00074886
2026-06-08T17:36:02,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:2,2748,1119,3867,10.4275,0.14,0.28,USD,0.00069804
2026-06-08T17:36:11,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:3,2804,866,3670,8.5364,0.14,0.28,USD,0.00063504
2026-06-08T17:36:28,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:4,2749,1910,4659,16.8746,0.14,0.28,USD,0.00091966
2026-06-08T17:36:36,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:5,2771,967,3738,8.4471,0.14,0.28,USD,0.0006587
2026-06-08T17:37:12,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:6,2761,4382,7143,35.5931,0.14,0.28,USD,0.0016135
2026-06-08T17:37:29,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:7,2796,1900,4696,17.1618,0.14,0.28,USD,0.00092344
2026-06-08T17:37:44,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:8,2085,1598,3683,15.2582,0.14,0.28,USD,0.00073934
2026-06-08T17:38:03,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_002:chunk:0,2539,2022,4561,18.3384,0.14,0.28,USD,0.00092162
2026-06-08T17:38:29,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_002:chunk:1,2550,3123,5673,26.3815,0.14,0.28,USD,0.00123144
2026-06-08T17:38:40,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_002:chunk:2,2644,1108,3752,10.7904,0.14,0.28,USD,0.0006804
2026-06-08T17:38:52,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_002:chunk:3,2627,1238,3865,12.1344,0.14,0.28,USD,0.00071442
2026-06-08T17:39:10,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_002:chunk:4,2624,1979,4603,18.4479,0.14,0.28,USD,0.00092148
2026-06-08T17:39:29,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_002:chunk:5,2239,1928,4167,18.5657,0.14,0.28,USD,0.0008533
2026-06-08T17:39:47,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_002:chunk:0,3075,2147,5222,17.5904,0.14,0.28,USD,0.00103166
2026-06-08T17:40:02,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_002:chunk:1,3113,1592,4705,15.4512,0.14,0.28,USD,0.00088158
