time,stage,provider,model,item_id,prompt_tokens,completion_tokens,total_tokens,elapsed_seconds,input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-09T01:39:37,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:0,1630,3505,5135,26.7375,0.14,0.28,USD,0.0012096
2026-06-09T01:39:59,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:1,1544,2728,4272,21.3012,0.14,0.28,USD,0.00098
2026-06-09T01:40:27,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:2,1596,3693,5289,28.1441,0.14,0.28,USD,0.00125748
2026-06-09T01:40:53,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:3,1578,3287,4865,26.2741,0.14,0.28,USD,0.00114128
2026-06-09T01:41:12,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:4,1537,2401,3938,19.3257,0.14,0.28,USD,0.00088746
2026-06-09T01:41:25,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:5,958,1740,2698,13.1618,0.14,0.28,USD,0.00062132
2026-06-09T01:41:46,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:0,1898,2841,4739,20.4375,0.14,0.28,USD,0.0010612
2026-06-09T01:42:00,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:1,1834,1809,3643,13.8971,0.14,0.28,USD,0.00076328
2026-06-09T01:42:11,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:2,1765,1456,3221,10.8808,0.14,0.28,USD,0.00065478
2026-06-09T01:42:23,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:3,1821,1711,3532,12.7758,0.14,0.28,USD,0.00073402
2026-06-09T01:42:33,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:4,1766,1317,3083,9.8859,0.14,0.28,USD,0.000616
2026-06-09T01:42:45,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:5,1788,1591,3379,11.6669,0.14,0.28,USD,0.0006958
2026-06-09T01:43:06,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:6,1778,2985,4763,21.0971,0.14,0.28,USD,0.00108472
2026-06-09T01:43:28,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:7,1813,3170,4983,21.9435,0.14,0.28,USD,0.00114142
2026-06-09T01:43:42,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:8,1102,1993,3095,13.8106,0.14,0.28,USD,0.00071232
2026-06-09T01:44:03,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_002:chunk:0,1556,3036,4592,20.7257,0.14,0.28,USD,0.00106792
2026-06-09T01:44:23,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_002:chunk:1,1567,2931,4498,20.8116,0.14,0.28,USD,0.00104006
2026-06-09T01:44:44,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_002:chunk:2,1661,2954,4615,20.095,0.14,0.28,USD,0.00105966
2026-06-09T01:45:03,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_002:chunk:3,1644,2769,4413,19.1225,0.14,0.28,USD,0.00100548
2026-06-09T01:45:25,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_002:chunk:4,1641,3048,4689,22.4194,0.14,0.28,USD,0.00108318
2026-06-09T01:45:35,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_002:chunk:5,1256,1373,2629,10.0679,0.14,0.28,USD,0.00056028
2026-06-09T01:45:56,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_002:chunk:0,2092,3093,5185,21.0143,0.14,0.28,USD,0.00115892
2026-06-09T01:46:12,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_002:chunk:1,2130,2334,4464,16.3032,0.14,0.28,USD,0.00095172
2026-06-09T01:46:26,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_002:chunk:2,2007,1871,3878,13.6522,0.14,0.28,USD,0.00080486
2026-06-09T01:46:33,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_002:chunk:3,2101,842,2943,6.7809,0.14,0.28,USD,0.0005299
2026-06-09T01:46:57,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_002:chunk:4,1906,3575,5481,24.0722,0.14,0.28,USD,0.00126784
2026-06-09T01:47:25,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_002:chunk:5,1968,4070,6038,27.6352,0.14,0.28,USD,0.00141512
2026-06-09T01:47:40,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_002:chunk:6,1555,2146,3701,15.0977,0.14,0.28,USD,0.00081858
2026-06-09T01:48:00,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_003:chunk:0,1597,2703,4300,19.8986,0.14,0.28,USD,0.00098042
2026-06-09T01:48:27,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_003:chunk:1,1723,3847,5570,27.1461,0.14,0.28,USD,0.00131838
2026-06-09T01:48:41,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_003:chunk:2,1663,2020,3683,14.7071,0.14,0.28,USD,0.00079842
2026-06-09T01:49:03,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_003:chunk:3,1682,3175,4857,21.6456,0.14,0.28,USD,0.00112448
2026-06-09T01:49:22,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_003:chunk:4,1603,2486,4089,18.7788,0.14,0.28,USD,0.0009205
2026-06-09T01:49:35,part_b.article_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_003:chunk:5,950,1679,2629,12.8004,0.14,0.28,USD,0.00060312
2026-06-09T01:49:37,part_b.direct_coverage_gt,deepseek,deepseek-v4-flash,exp2_plos_001_af_0001,470,72,542,2.5358,0.14,0.28,USD,8.596e-05
2026-06-09T01:49:39,part_b.direct_coverage_gt,deepseek,deepseek-v4-flash,exp2_plos_001_af_0002,470,54,524,2.1865,0.14,0.28,USD,8.092e-05
2026-06-09T01:49:42,part_b.direct_coverage_gt,deepseek,deepseek-v4-flash,exp2_plos_001_af_0003,475,74,549,2.1434,0.14,0.28,USD,8.722e-05
2026-06-09T01:49:44,part_b.direct_coverage_gt,deepseek,deepseek-v4-flash,exp2_plos_001_af_0004,475,72,547,1.9329,0.14,0.28,USD,8.666e-05
2026-06-09T01:49:46,part_b.direct_coverage_gt,deepseek,deepseek-v4-flash,exp2_plos_001_af_0005,467,72,539,2.0166,0.14,0.28,USD,8.554e-05
2026-06-09T01:49:48,part_b.direct_coverage_gt,deepseek,deepseek-v4-flash,exp2_plos_001_af_0006,462,51,513,1.9399,0.14,0.28,USD,7.896e-05
2026-06-09T01:49:49,part_b.direct_coverage_gt,deepseek,deepseek-v4-flash,exp2_plos_001_af_0007,473,75,548,1.757,0.14,0.28,USD,8.722e-05
2026-06-09T01:49:51,part_b.direct_coverage_gt,deepseek,deepseek-v4-flash,exp2_plos_001_af_0008,461,49,510,1.779,0.14,0.28,USD,7.826e-05
2026-06-09T01:49:53,part_b.direct_coverage_gt,deepseek,deepseek-v4-flash,exp2_plos_001_af_0009,470,41,511,1.6398,0.14,0.28,USD,7.728e-05
2026-06-09T01:49:54,part_b.direct_coverage_gt,deepseek,deepseek-v4-flash,exp2_plos_001_af_0010,461,38,499,1.3894,0.14,0.28,USD,7.518e-05
2026-06-09T01:49:56,part_b.direct_coverage_gt,deepseek,deepseek-v4-flash,exp2_plos_001_af_0011,462,49,511,1.4709,0.14,0.28,USD,7.84e-05
