time,stage,provider,model,item_id,prompt_tokens,completion_tokens,total_tokens,elapsed_seconds,input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-09T02:49:55,part_c.summary_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001,449,560,1009,4.1517,0.14,0.28,USD,0.00021966
2026-06-09T02:50:02,part_c.summary_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001,678,1150,1828,7.1318,0.14,0.28,USD,0.00041692
2026-06-09T02:50:06,part_c.summary_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_002,443,561,1004,4.1014,0.14,0.28,USD,0.0002191
2026-06-09T02:50:12,part_c.summary_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_002,604,989,1593,6.0977,0.14,0.28,USD,0.00036148
2026-06-09T02:50:16,part_c.summary_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_003,465,609,1074,4.2384,0.14,0.28,USD,0.00023562
2026-06-09T02:50:31,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:0,2613,2040,4653,14.7604,0.14,0.28,USD,0.00093702
2026-06-09T02:50:40,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:1,2527,1135,3662,8.7067,0.14,0.28,USD,0.00067158
2026-06-09T02:50:46,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:2,2579,764,3343,6.7614,0.14,0.28,USD,0.00057498
2026-06-09T02:50:57,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:3,2561,1277,3838,10.6513,0.14,0.28,USD,0.0007161
2026-06-09T02:51:11,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:4,2520,1775,4295,13.4785,0.14,0.28,USD,0.0008498
2026-06-09T02:51:21,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_plos_001:chunk:5,1941,1338,3279,10.0445,0.14,0.28,USD,0.00064638
2026-06-09T02:51:36,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:0,2881,2155,5036,15.4186,0.14,0.28,USD,0.00100674
2026-06-09T02:51:43,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:1,2817,903,3720,7.3832,0.14,0.28,USD,0.00064722
2026-06-09T02:51:52,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:2,2748,1031,3779,8.7211,0.14,0.28,USD,0.0006734
2026-06-09T02:51:59,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:3,2804,883,3687,7.0928,0.14,0.28,USD,0.0006398
2026-06-09T02:52:06,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:4,2749,899,3648,6.4758,0.14,0.28,USD,0.00063658
2026-06-09T02:52:14,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:5,2771,986,3757,7.9983,0.14,0.28,USD,0.00066402
2026-06-09T02:52:34,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:6,2761,3272,6033,20.3078,0.14,0.28,USD,0.0013027
2026-06-09T02:52:49,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-flash,exp2_elife_001:chunk:7,2796,2084,4880,14.5019,0.14,0.28,USD,0.00097496
