time,stage,provider,model,item_id,prompt_tokens,completion_tokens,total_tokens,elapsed_seconds,input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-09T02:59:16,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_001:chunk:0,1630,3451,5081,29.6825,0.435,0.87,USD,0.00371142
2026-06-09T02:59:45,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_001:chunk:1,1544,3356,4900,29.3421,0.435,0.87,USD,0.00359136
2026-06-09T03:00:14,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_001:chunk:2,1596,3345,4941,29.03,0.435,0.87,USD,0.00360441
2026-06-09T03:00:47,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_001:chunk:3,1578,3275,4853,33.5627,0.435,0.87,USD,0.00353568
2026-06-09T03:01:11,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_001:chunk:4,1537,2710,4247,23.9128,0.435,0.87,USD,0.0030263
2026-06-09T03:01:23,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_001:chunk:5,958,1263,2221,11.1082,0.435,0.87,USD,0.00151554
2026-06-09T03:01:48,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_001:chunk:0,1898,3018,4916,25.9621,0.435,0.87,USD,0.00345129
2026-06-09T03:02:07,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_001:chunk:1,1834,2058,3892,18.4628,0.435,0.87,USD,0.00258825
2026-06-09T03:02:32,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_001:chunk:2,1765,2884,4649,25.2345,0.435,0.87,USD,0.00327685
2026-06-09T03:02:52,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_001:chunk:3,1821,2230,4051,19.6272,0.435,0.87,USD,0.00273223
2026-06-09T03:03:08,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_001:chunk:4,1766,1772,3538,15.7176,0.435,0.87,USD,0.00230985
2026-06-09T03:03:25,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_001:chunk:5,1788,2064,3852,17.8342,0.435,0.87,USD,0.00257346
2026-06-09T03:03:56,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_001:chunk:6,1778,3586,5364,30.9479,0.435,0.87,USD,0.00389325
2026-06-09T03:04:31,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_001:chunk:7,1813,4107,5920,34.4869,0.435,0.87,USD,0.00436175
2026-06-09T03:05:39,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_001:chunk:8,1102,4132,5234,68.2347,0.435,0.87,USD,0.00407421
2026-06-09T03:06:05,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_002:chunk:0,1556,3092,4648,25.7527,0.435,0.87,USD,0.0033669
2026-06-09T03:06:30,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_002:chunk:1,1567,2973,4540,25.2962,0.435,0.87,USD,0.00326816
2026-06-09T03:06:53,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_002:chunk:2,1661,2668,4329,22.834,0.435,0.87,USD,0.00304369
2026-06-09T03:07:22,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_002:chunk:3,1644,3404,5048,29.2984,0.435,0.87,USD,0.00367662
2026-06-09T03:07:47,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_002:chunk:4,1641,2971,4612,25.0065,0.435,0.87,USD,0.00329861
2026-06-09T03:08:11,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_002:chunk:5,1256,2823,4079,24.1067,0.435,0.87,USD,0.00300237
2026-06-09T03:08:39,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_002:chunk:0,2092,2648,4740,27.9977,0.435,0.87,USD,0.00321378
2026-06-09T03:09:00,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_002:chunk:1,2130,2307,4437,20.1583,0.435,0.87,USD,0.00293364
2026-06-09T03:09:21,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_002:chunk:2,2007,2486,4493,21.587,0.435,0.87,USD,0.00303586
2026-06-09T03:09:51,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_002:chunk:3,2101,3508,5609,30.2054,0.435,0.87,USD,0.00396589
2026-06-09T03:10:22,part_b.article_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_002:chunk:4,1906,3595,5501,30.2136,0.435,0.87,USD,0.00395676
