time,stage,provider,model,item_id,prompt_tokens,completion_tokens,total_tokens,elapsed_seconds,input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-09T04:47:29,part_c.summary_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_001,449,1152,1601,9.3846,0.435,0.87,USD,0.00119755
2026-06-09T04:47:42,part_c.summary_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_001,678,1568,2246,13.1,0.435,0.87,USD,0.00165909
2026-06-09T04:47:49,part_c.summary_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_002,443,765,1208,6.5471,0.435,0.87,USD,0.00085826
2026-06-09T04:48:01,part_c.summary_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_002,604,1467,2071,12.2662,0.435,0.87,USD,0.00153903
2026-06-09T04:48:14,part_c.summary_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_003,465,1273,1738,12.9385,0.435,0.87,USD,0.00130979
2026-06-09T04:48:44,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_001:chunk:0,2613,3192,5805,29.456,0.435,0.87,USD,0.0039137
2026-06-09T04:49:02,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_001:chunk:1,2527,1735,4262,18.3777,0.435,0.87,USD,0.0026087
2026-06-09T04:49:23,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_001:chunk:2,2579,1837,4416,20.5724,0.435,0.87,USD,0.00272005
2026-06-09T04:49:41,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_001:chunk:3,2561,1750,4311,18.3928,0.435,0.87,USD,0.00263653
2026-06-09T04:50:07,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_001:chunk:4,2520,2645,5165,26.0265,0.435,0.87,USD,0.00339735
2026-06-09T04:50:28,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_001:chunk:5,1941,2157,4098,21.2838,0.435,0.87,USD,0.00272092
2026-06-09T04:50:55,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_001:chunk:0,2881,2836,5717,26.4305,0.435,0.87,USD,0.00372055
2026-06-09T04:51:12,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_001:chunk:1,2817,1660,4477,16.7741,0.435,0.87,USD,0.0026696
2026-06-09T04:51:23,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_001:chunk:2,2748,1193,3941,11.9428,0.435,0.87,USD,0.00223329
2026-06-09T04:51:42,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_001:chunk:3,2804,1903,4707,18.211,0.435,0.87,USD,0.00287535
2026-06-09T04:51:56,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_001:chunk:4,2749,1346,4095,14.034,0.435,0.87,USD,0.00236684
2026-06-09T04:52:10,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_001:chunk:5,2771,1347,4118,14.2963,0.435,0.87,USD,0.00237727
2026-06-09T04:52:41,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_001:chunk:6,2761,3591,6352,31.122,0.435,0.87,USD,0.00432521
2026-06-09T04:53:01,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_001:chunk:7,2796,1929,4725,19.7534,0.435,0.87,USD,0.00289449
2026-06-09T04:53:11,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_001:chunk:8,2085,898,2983,9.9259,0.435,0.87,USD,0.00168823
2026-06-09T04:53:40,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_002:chunk:0,2539,3137,5676,29.0513,0.435,0.87,USD,0.00383366
2026-06-09T04:54:06,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_002:chunk:1,2550,2839,5389,26.5738,0.435,0.87,USD,0.00357918
2026-06-09T04:54:30,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_002:chunk:2,2644,2353,4997,23.4546,0.435,0.87,USD,0.00319725
2026-06-09T04:55:00,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_002:chunk:3,2627,3089,5716,29.8072,0.435,0.87,USD,0.00383017
2026-06-09T04:55:26,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_002:chunk:4,2624,2658,5282,26.0206,0.435,0.87,USD,0.0034539
2026-06-09T04:55:45,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_002:chunk:5,2239,1860,4099,19.3739,0.435,0.87,USD,0.00259217
2026-06-09T04:56:08,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_002:chunk:0,3075,2667,5742,22.8041,0.435,0.87,USD,0.00365792
2026-06-09T04:56:16,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_002:chunk:1,3113,822,3935,8.4686,0.435,0.87,USD,0.0020693
2026-06-09T04:56:38,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_002:chunk:2,2990,2276,5266,21.365,0.435,0.87,USD,0.00328077
2026-06-09T04:56:48,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_002:chunk:3,3084,1041,4125,10.2888,0.435,0.87,USD,0.00224721
2026-06-09T04:57:02,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_002:chunk:4,2889,1205,4094,13.5962,0.435,0.87,USD,0.00230507
2026-06-09T04:57:35,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_002:chunk:5,2951,3429,6380,33.0263,0.435,0.87,USD,0.00426692
2026-06-09T04:57:49,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_elife_002:chunk:6,2538,1246,3784,13.8966,0.435,0.87,USD,0.00218805
2026-06-09T04:58:21,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_003:chunk:0,2580,3411,5991,32.013,0.435,0.87,USD,0.00408987
2026-06-09T04:58:34,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_003:chunk:1,2706,1135,3841,13.4038,0.435,0.87,USD,0.00216456
2026-06-09T04:58:54,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_003:chunk:2,2646,2020,4666,19.57,0.435,0.87,USD,0.00290841
2026-06-09T04:59:20,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_003:chunk:3,2665,2635,5300,26.505,0.435,0.87,USD,0.00345173
2026-06-09T04:59:33,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_003:chunk:4,2586,1170,3756,12.8595,0.435,0.87,USD,0.00214281
2026-06-09T04:59:48,part_c.selected_keep_af_extraction,deepseek,deepseek-v4-pro,exp2_plos_003:chunk:5,1933,1512,3445,15.4845,0.435,0.87,USD,0.0021563
2026-06-09T04:59:51,part_c.selected_keep_covers_summary_af,deepseek,deepseek-v4-pro,exp2_plos_001_summary_af_0001,5946,177,6123,3.0724,0.435,0.87,USD,0.0027405
2026-06-09T04:59:55,part_c.selected_keep_covers_summary_af,deepseek,deepseek-v4-pro,exp2_plos_001_summary_af_0002,5952,79,6031,3.2664,0.435,0.87,USD,0.00265785
2026-06-09T04:59:58,part_c.selected_keep_covers_summary_af,deepseek,deepseek-v4-pro,exp2_plos_001_summary_af_0003,5951,92,6043,3.2699,0.435,0.87,USD,0.00266872
2026-06-09T05:00:02,part_c.selected_keep_covers_summary_af,deepseek,deepseek-v4-pro,exp2_plos_001_summary_af_0004,5951,174,6125,3.5978,0.435,0.87,USD,0.00274006
2026-06-09T05:00:05,part_c.selected_keep_covers_summary_af,deepseek,deepseek-v4-pro,exp2_plos_001_summary_af_0005,5941,67,6008,3.1384,0.435,0.87,USD,0.00264263
2026-06-09T05:00:08,part_c.selected_keep_covers_summary_af,deepseek,deepseek-v4-pro,exp2_plos_001_summary_af_0006,5943,278,6221,3.4679,0.435,0.87,USD,0.00282707
2026-06-09T05:00:16,part_c.selected_keep_covers_summary_af,deepseek,deepseek-v4-pro,exp2_plos_001_summary_af_0007,5958,730,6688,7.6533,0.435,0.87,USD,0.00322683
2026-06-09T05:00:20,part_c.selected_keep_covers_summary_af,deepseek,deepseek-v4-pro,exp2_plos_001_summary_af_0008,5950,413,6363,4.1952,0.435,0.87,USD,0.00294756
2026-06-09T05:00:26,part_c.selected_keep_covers_summary_af,deepseek,deepseek-v4-pro,exp2_plos_001_summary_af_0009,5950,558,6508,6.2244,0.435,0.87,USD,0.00307371
2026-06-09T05:00:29,part_c.selected_keep_covers_summary_af,deepseek,deepseek-v4-pro,exp2_plos_001_summary_af_0010,5943,158,6101,2.5285,0.435,0.87,USD,0.00272266
