time,stage,provider,model,item_id,prompt_tokens,completion_tokens,total_tokens,elapsed_seconds,input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-08T15:26:06,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:0,1620,653,2273,2.402,0.125,0.75,USD,0.00069225
2026-06-08T15:26:08,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:1,1557,572,2129,2.2966,0.125,0.75,USD,0.00062363
2026-06-08T15:26:11,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:2,1646,680,2326,2.8673,0.125,0.75,USD,0.00071575
2026-06-08T15:26:13,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:3,1620,740,2360,2.527,0.125,0.75,USD,0.0007575
2026-06-08T15:26:16,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:4,1530,832,2362,3.1396,0.125,0.75,USD,0.00081525
2026-06-08T15:26:19,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:5,959,537,1496,2.322,0.125,0.75,USD,0.00052262
2026-06-08T15:26:21,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_001:chunk:0,1996,663,2659,2.5651,0.125,0.75,USD,0.00074675
2026-06-08T15:26:24,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_001:chunk:1,1947,818,2765,3.0468,0.125,0.75,USD,0.00085687
2026-06-08T15:26:27,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_001:chunk:2,1874,867,2741,3.0656,0.125,0.75,USD,0.0008845
2026-06-08T15:26:31,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_001:chunk:3,1922,941,2863,3.1699,0.125,0.75,USD,0.000946
2026-06-08T15:26:34,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_001:chunk:4,1833,833,2666,3.0665,0.125,0.75,USD,0.00085388
2026-06-08T15:26:37,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_001:chunk:5,1849,876,2725,3.2516,0.125,0.75,USD,0.00088813
2026-06-08T15:26:41,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_001:chunk:6,1810,1211,3021,3.9162,0.125,0.75,USD,0.0011345
2026-06-08T15:26:45,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_001:chunk:7,1832,611,2443,3.885,0.125,0.75,USD,0.00068725
2026-06-08T15:26:47,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_001:chunk:8,1110,632,1742,2.5058,0.125,0.75,USD,0.00061275
2026-06-08T15:26:50,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_002:chunk:0,1572,629,2201,2.6587,0.125,0.75,USD,0.00066825
2026-06-08T15:26:53,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_002:chunk:1,1586,842,2428,3.2536,0.125,0.75,USD,0.00082975
2026-06-08T15:26:57,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_002:chunk:2,1694,957,2651,3.4468,0.125,0.75,USD,0.0009295
2026-06-08T15:27:01,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_002:chunk:3,1674,1135,2809,4.0344,0.125,0.75,USD,0.0010605
2026-06-08T15:27:05,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_002:chunk:4,1686,1205,2891,4.0284,0.125,0.75,USD,0.0011145
2026-06-08T15:27:07,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_002:chunk:5,1276,684,1960,2.7776,0.125,0.75,USD,0.0006725
2026-06-08T15:27:10,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_002:chunk:0,2238,660,2898,2.4033,0.125,0.75,USD,0.00077475
2026-06-08T15:27:14,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_002:chunk:1,2338,1160,3498,3.784,0.125,0.75,USD,0.00116225
2026-06-08T15:27:18,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_002:chunk:2,2116,1217,3333,4.0495,0.125,0.75,USD,0.00117725
2026-06-08T15:27:20,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_002:chunk:3,2214,712,2926,2.4073,0.125,0.75,USD,0.00081075
