time,stage,provider,model,item_id,prompt_tokens,completion_tokens,total_tokens,elapsed_seconds,input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-08T15:37:09,part_c.summary_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001,443,552,995,2.3897,0.125,0.75,USD,0.00046937
2026-06-08T15:37:12,part_c.summary_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_001,668,889,1557,2.6885,0.125,0.75,USD,0.00075025
2026-06-08T15:37:14,part_c.summary_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_002,439,577,1016,2.3981,0.125,0.75,USD,0.00048763
2026-06-08T15:37:18,part_c.summary_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_002,598,1052,1650,3.207,0.125,0.75,USD,0.00086375
2026-06-08T15:37:20,part_c.summary_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_003,459,797,1256,2.7916,0.125,0.75,USD,0.00065512
2026-06-08T15:37:23,part_c.selected_keep_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:0,2654,621,3275,2.7001,0.125,0.75,USD,0.0007975
2026-06-08T15:37:26,part_c.selected_keep_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:1,2591,724,3315,3.0852,0.125,0.75,USD,0.00086688
2026-06-08T15:37:28,part_c.selected_keep_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:2,2680,475,3155,2.1353,0.125,0.75,USD,0.00069125
2026-06-08T15:37:31,part_c.selected_keep_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:3,2654,572,3226,2.4766,0.125,0.75,USD,0.00076075
2026-06-08T15:37:34,part_c.selected_keep_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:4,2564,670,3234,3.0127,0.125,0.75,USD,0.000823
2026-06-08T15:37:37,part_c.selected_keep_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:5,1993,697,2690,3.0476,0.125,0.75,USD,0.00077187
2026-06-08T15:37:40,part_c.selected_keep_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_001:chunk:0,3030,805,3835,3.3796,0.125,0.75,USD,0.0009825
