time,stage,provider,model,item_id,prompt_tokens,completion_tokens,total_tokens,elapsed_seconds,input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-09T05:43:43,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:0,1620,1076,4459,7.5954,0.125,0.75,USD,0.0010095
2026-06-09T05:43:55,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:1,1557,1634,5942,11.91,0.125,0.75,USD,0.00142012
2026-06-09T05:44:03,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:2,1646,757,4149,7.5187,0.125,0.75,USD,0.0007735
2026-06-09T05:44:11,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:3,1620,955,5010,8.562,0.125,0.75,USD,0.00091875
2026-06-09T05:44:19,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:4,1530,1069,4443,8.1572,0.125,0.75,USD,0.000993
2026-06-09T05:44:29,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:5,959,1690,4481,9.3405,0.125,0.75,USD,0.00138737
2026-06-09T05:44:41,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_001:chunk:0,1996,2052,6486,12.171,0.125,0.75,USD,0.0017885
2026-06-09T05:44:50,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_001:chunk:1,1947,940,5158,9.1049,0.125,0.75,USD,0.00094837
2026-06-09T05:45:00,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_001:chunk:2,1874,1213,5821,10.2785,0.125,0.75,USD,0.001144
2026-06-09T05:45:09,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_001:chunk:3,1922,1129,5081,8.9515,0.125,0.75,USD,0.001087
2026-06-09T05:45:21,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_001:chunk:4,1833,1308,5890,11.3457,0.125,0.75,USD,0.00121012
2026-06-09T05:45:30,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_001:chunk:5,1849,1684,5545,9.8457,0.125,0.75,USD,0.00149413
2026-06-09T05:45:44,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_001:chunk:6,1810,2517,7026,13.2069,0.125,0.75,USD,0.002114
2026-06-09T05:45:51,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_001:chunk:7,1832,1139,4600,7.6952,0.125,0.75,USD,0.00108325
2026-06-09T05:46:03,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_001:chunk:8,1110,1729,5716,12.0751,0.125,0.75,USD,0.0014355
2026-06-09T05:46:12,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_002:chunk:0,1572,1143,4660,8.7388,0.125,0.75,USD,0.00105375
2026-06-09T05:46:22,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_002:chunk:1,1586,1380,5220,10.331,0.125,0.75,USD,0.00123325
2026-06-09T05:46:31,part_b.article_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_002:chunk:2,1694,1087,4774,8.5394,0.125,0.75,USD,0.001027
