time,stage,provider,model,item_id,prompt_tokens,completion_tokens,total_tokens,elapsed_seconds,input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-09T06:57:16,part_c.summary_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001,443,962,2620,5.9125,0.125,0.75,USD,0.00077687
2026-06-09T06:57:26,part_c.summary_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_001,668,1167,4190,9.0747,0.125,0.75,USD,0.00095875
2026-06-09T06:57:32,part_c.summary_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_002,439,793,2945,6.7279,0.125,0.75,USD,0.00064963
2026-06-09T06:57:42,part_c.summary_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_002,598,1558,4159,9.418,0.125,0.75,USD,0.00124325
2026-06-09T06:57:49,part_c.summary_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_003,459,818,2922,6.8442,0.125,0.75,USD,0.00067088
2026-06-09T06:57:57,part_c.selected_keep_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:0,2654,1169,5312,8.3848,0.125,0.75,USD,0.0012085
2026-06-09T06:58:04,part_c.selected_keep_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:1,2591,859,4678,7.0902,0.125,0.75,USD,0.00096813
2026-06-09T06:58:11,part_c.selected_keep_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:2,2680,803,4599,6.8051,0.125,0.75,USD,0.00093725
2026-06-09T06:58:18,part_c.selected_keep_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:3,2654,746,4822,7.1744,0.125,0.75,USD,0.00089125
2026-06-09T06:58:26,part_c.selected_keep_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:4,2564,1021,5020,8.2848,0.125,0.75,USD,0.00108625
2026-06-09T06:58:34,part_c.selected_keep_af_extraction,gemini,gemini-3.1-flash-lite,exp2_plos_001:chunk:5,1993,1122,4292,7.7027,0.125,0.75,USD,0.00109063
2026-06-09T06:58:42,part_c.selected_keep_af_extraction,gemini,gemini-3.1-flash-lite,exp2_elife_001:chunk:0,3030,976,5471,7.6521,0.125,0.75,USD,0.00111075
