time,stage,provider,model,item_id,prompt_tokens,completion_tokens,total_tokens,elapsed_seconds,input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-09T05:04:52,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:0,1620,1004,2624,6.3067,0.125,0.75,USD,0.0009555
2026-06-09T05:04:59,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:1,1557,1526,3083,7.0009,0.125,0.75,USD,0.00133913
2026-06-09T05:05:06,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:2,1646,1369,3015,7.1893,0.125,0.75,USD,0.0012325
2026-06-09T05:05:13,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:3,1620,1227,2847,6.8114,0.125,0.75,USD,0.00112275
2026-06-09T05:05:19,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:4,1530,1119,2649,6.0658,0.125,0.75,USD,0.0010305
2026-06-09T05:05:24,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:5,959,832,1791,5.1398,0.125,0.75,USD,0.00074387
2026-06-09T05:05:31,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:0,1996,1623,3619,7.2887,0.125,0.75,USD,0.00146675
2026-06-09T05:05:36,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:1,1947,1279,3226,5.4097,0.125,0.75,USD,0.00120263
2026-06-09T05:05:42,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:2,1874,1284,3158,5.7379,0.125,0.75,USD,0.00119725
2026-06-09T05:05:49,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:3,1922,1258,3180,7.253,0.125,0.75,USD,0.00118375
2026-06-09T05:05:57,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:4,1833,1605,3438,7.4163,0.125,0.75,USD,0.00143287
2026-06-09T05:06:04,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:5,1849,1298,3147,7.3342,0.125,0.75,USD,0.00120462
2026-06-09T05:06:14,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:6,1810,2488,4298,10.2508,0.125,0.75,USD,0.00209225
2026-06-09T05:06:21,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:7,1832,1562,3394,6.7007,0.125,0.75,USD,0.0014005
2026-06-09T05:06:29,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:8,1110,2058,3168,8.1113,0.125,0.75,USD,0.00168225
2026-06-09T05:06:35,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_002:chunk:0,1572,943,2515,5.4223,0.125,0.75,USD,0.00090375
2026-06-09T05:06:40,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_002:chunk:1,1586,1310,2896,5.7703,0.125,0.75,USD,0.00118075
2026-06-09T05:06:46,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_002:chunk:2,1694,1308,3002,5.7218,0.125,0.75,USD,0.00119275
2026-06-09T05:06:54,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_002:chunk:3,1674,1495,3169,8.2481,0.125,0.75,USD,0.0013305
2026-06-09T05:07:04,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_002:chunk:4,1686,1782,3468,9.1033,0.125,0.75,USD,0.00154725
2026-06-09T05:07:08,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_002:chunk:5,1276,1072,2348,4.7961,0.125,0.75,USD,0.0009635
2026-06-09T05:07:17,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_002:chunk:0,2238,1663,3901,8.4608,0.125,0.75,USD,0.001527
2026-06-09T05:07:29,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_002:chunk:1,2338,1992,4330,11.7421,0.125,0.75,USD,0.00178625
2026-06-09T05:07:36,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_002:chunk:2,2116,1561,3677,6.9571,0.125,0.75,USD,0.00143525
2026-06-09T05:07:40,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_002:chunk:3,2214,974,3188,4.4583,0.125,0.75,USD,0.00100725
2026-06-09T05:07:44,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_002:chunk:4,1993,977,2970,4.503,0.125,0.75,USD,0.00098188
2026-06-09T05:07:51,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_002:chunk:5,2053,1634,3687,6.8844,0.125,0.75,USD,0.00148212
2026-06-09T05:07:57,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_002:chunk:6,1697,1229,2926,5.7795,0.125,0.75,USD,0.00113388
2026-06-09T05:08:05,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_003:chunk:0,1600,1242,2842,7.7839,0.125,0.75,USD,0.0011315
2026-06-09T05:08:13,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_003:chunk:1,1772,1457,3229,7.9735,0.125,0.75,USD,0.00131425
2026-06-09T05:08:20,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_003:chunk:2,1707,1567,3274,6.781,0.125,0.75,USD,0.00138863
2026-06-09T05:08:27,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_003:chunk:3,1711,1388,3099,7.317,0.125,0.75,USD,0.00125487
2026-06-09T05:08:34,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_003:chunk:4,1620,1274,2894,7.1826,0.125,0.75,USD,0.001158
2026-06-09T05:08:41,part_b.article_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_003:chunk:5,947,1148,2095,6.5161,0.125,0.75,USD,0.00097937
2026-06-09T05:08:42,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0001,451,72,523,1.5103,0.125,0.75,USD,0.00011037
2026-06-09T05:08:43,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0002,457,71,528,1.1339,0.125,0.75,USD,0.00011038
2026-06-09T05:08:45,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0003,451,73,524,1.3482,0.125,0.75,USD,0.00011113
2026-06-09T05:08:46,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0004,451,48,499,1.4201,0.125,0.75,USD,9.238e-05
2026-06-09T05:08:48,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0005,455,97,552,1.993,0.125,0.75,USD,0.00012963
2026-06-09T05:08:50,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0006,459,73,532,1.9141,0.125,0.75,USD,0.00011213
2026-06-09T05:08:52,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0007,456,77,533,1.6883,0.125,0.75,USD,0.00011475
2026-06-09T05:08:53,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0008,450,68,518,1.3379,0.125,0.75,USD,0.00010725
2026-06-09T05:08:55,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0009,457,80,537,1.6166,0.125,0.75,USD,0.00011713
2026-06-09T05:08:56,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0010,454,54,508,1.332,0.125,0.75,USD,9.725e-05
2026-06-09T05:08:58,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0011,456,56,512,1.7359,0.125,0.75,USD,9.9e-05
2026-06-09T05:08:59,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0012,455,51,506,1.6625,0.125,0.75,USD,9.512e-05
2026-06-09T05:09:01,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0013,460,55,515,1.2739,0.125,0.75,USD,9.875e-05
2026-06-09T05:09:03,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0014,463,92,555,1.8387,0.125,0.75,USD,0.00012687
2026-06-09T05:09:04,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0015,452,77,529,1.2394,0.125,0.75,USD,0.00011425
2026-06-09T05:09:05,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0016,457,71,528,1.5611,0.125,0.75,USD,0.00011038
2026-06-09T05:09:07,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0017,448,72,520,1.6914,0.125,0.75,USD,0.00011
2026-06-09T05:09:08,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0018,456,55,511,1.3926,0.125,0.75,USD,9.825e-05
2026-06-09T05:09:10,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0019,460,88,548,1.9724,0.125,0.75,USD,0.0001235
2026-06-09T05:09:12,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0020,448,84,532,1.4715,0.125,0.75,USD,0.000119
2026-06-09T05:09:14,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0021,448,76,524,1.6407,0.125,0.75,USD,0.000113
2026-06-09T05:09:15,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0022,450,71,521,1.248,0.125,0.75,USD,0.0001095
2026-06-09T05:09:16,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0023,463,76,539,1.2629,0.125,0.75,USD,0.00011488
2026-06-09T05:09:17,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0024,455,54,509,1.1827,0.125,0.75,USD,9.737e-05
2026-06-09T05:09:19,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0025,456,54,510,1.2825,0.125,0.75,USD,9.75e-05
2026-06-09T05:09:20,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0026,450,67,517,1.3621,0.125,0.75,USD,0.0001065
2026-06-09T05:09:21,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0027,459,58,517,1.3452,0.125,0.75,USD,0.00010087
2026-06-09T05:09:23,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0028,453,51,504,1.418,0.125,0.75,USD,9.488e-05
2026-06-09T05:09:24,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0029,455,50,505,1.5004,0.125,0.75,USD,9.438e-05
2026-06-09T05:09:26,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0030,465,52,517,1.6578,0.125,0.75,USD,9.713e-05
2026-06-09T05:09:27,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0031,458,56,514,1.134,0.125,0.75,USD,9.925e-05
2026-06-09T05:09:28,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0032,456,52,508,1.0533,0.125,0.75,USD,9.6e-05
2026-06-09T05:09:30,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0033,458,60,518,1.5127,0.125,0.75,USD,0.00010225
2026-06-09T05:09:31,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0034,462,56,518,1.6529,0.125,0.75,USD,9.975e-05
2026-06-09T05:09:33,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0035,453,56,509,1.4987,0.125,0.75,USD,9.862e-05
2026-06-09T05:09:34,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0036,457,55,512,1.3478,0.125,0.75,USD,9.837e-05
2026-06-09T05:09:36,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0037,451,52,503,1.5289,0.125,0.75,USD,9.538e-05
2026-06-09T05:09:37,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0038,456,49,505,1.5651,0.125,0.75,USD,9.375e-05
2026-06-09T05:09:39,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0039,464,58,522,1.6263,0.125,0.75,USD,0.0001015
2026-06-09T05:09:40,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0040,465,55,520,1.0955,0.125,0.75,USD,9.938e-05
2026-06-09T05:09:41,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0041,465,57,522,1.3961,0.125,0.75,USD,0.00010087
2026-06-09T05:09:43,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0042,455,58,513,1.689,0.125,0.75,USD,0.00010038
2026-06-09T05:09:45,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0043,465,57,522,1.6368,0.125,0.75,USD,0.00010087
2026-06-09T05:09:46,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0044,458,52,510,1.4213,0.125,0.75,USD,9.625e-05
2026-06-09T05:09:47,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0045,467,52,519,1.0449,0.125,0.75,USD,9.737e-05
2026-06-09T05:09:48,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0046,457,56,513,1.3119,0.125,0.75,USD,9.912e-05
2026-06-09T05:09:50,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0047,455,51,506,1.5975,0.125,0.75,USD,9.512e-05
2026-06-09T05:09:51,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0048,461,54,515,1.1437,0.125,0.75,USD,9.812e-05
2026-06-09T05:09:53,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0049,451,51,502,1.6208,0.125,0.75,USD,9.463e-05
2026-06-09T05:09:54,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0050,452,48,500,1.5207,0.125,0.75,USD,9.25e-05
2026-06-09T05:09:56,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0051,460,54,514,1.6045,0.125,0.75,USD,9.8e-05
2026-06-09T05:09:57,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0052,450,54,504,1.5495,0.125,0.75,USD,9.675e-05
2026-06-09T05:09:59,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0053,452,51,503,1.2342,0.125,0.75,USD,9.475e-05
2026-06-09T05:10:00,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0054,458,50,508,1.6001,0.125,0.75,USD,9.475e-05
2026-06-09T05:10:02,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0055,451,55,506,1.5963,0.125,0.75,USD,9.763e-05
2026-06-09T05:10:03,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0056,466,52,518,1.5234,0.125,0.75,USD,9.725e-05
2026-06-09T05:10:05,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0057,461,56,517,1.35,0.125,0.75,USD,9.962e-05
2026-06-09T05:10:06,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0058,459,56,515,1.2297,0.125,0.75,USD,9.937e-05
2026-06-09T05:10:07,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0059,457,57,514,1.342,0.125,0.75,USD,9.988e-05
2026-06-09T05:10:09,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0060,458,52,510,1.3052,0.125,0.75,USD,9.625e-05
2026-06-09T05:10:10,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0061,460,52,512,1.1056,0.125,0.75,USD,9.65e-05
2026-06-09T05:10:11,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0062,457,54,511,1.3385,0.125,0.75,USD,9.763e-05
2026-06-09T05:10:12,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0063,459,51,510,1.196,0.125,0.75,USD,9.563e-05
2026-06-09T05:10:13,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0064,450,50,500,1.1969,0.125,0.75,USD,9.375e-05
2026-06-09T05:10:15,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0065,464,55,519,1.443,0.125,0.75,USD,9.925e-05
2026-06-09T05:10:17,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0066,458,55,513,1.647,0.125,0.75,USD,9.85e-05
2026-06-09T05:10:18,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0067,456,94,550,1.8197,0.125,0.75,USD,0.0001275
2026-06-09T05:10:20,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0068,449,85,534,1.5017,0.125,0.75,USD,0.00011988
2026-06-09T05:10:22,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0069,461,57,518,1.6447,0.125,0.75,USD,0.00010038
2026-06-09T05:10:23,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0070,466,55,521,1.4005,0.125,0.75,USD,9.95e-05
2026-06-09T05:10:25,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0071,455,52,507,1.6287,0.125,0.75,USD,9.587e-05
2026-06-09T05:10:26,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0072,453,48,501,1.3521,0.125,0.75,USD,9.263e-05
2026-06-09T05:10:28,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0073,450,91,541,1.7714,0.125,0.75,USD,0.0001245
2026-06-09T05:10:29,part_b.direct_coverage_gt,gemini,gemini-3-flash-preview,exp2_plos_001_af_0074,450,71,521,1.1884,0.125,0.75,USD,0.0001095
