time,stage,provider,model,item_id,prompt_tokens,completion_tokens,total_tokens,elapsed_seconds,input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-09T05:37:42,part_c.summary_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001,443,699,1142,3.7165,0.125,0.75,USD,0.00057962
2026-06-09T05:37:48,part_c.summary_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001,668,1207,1875,6.4507,0.125,0.75,USD,0.00098875
2026-06-09T05:37:52,part_c.summary_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_002,439,671,1110,3.7584,0.125,0.75,USD,0.00055813
2026-06-09T05:37:57,part_c.summary_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_002,598,1291,1889,5.5691,0.125,0.75,USD,0.001043
2026-06-09T05:38:02,part_c.summary_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_003,459,809,1268,4.8058,0.125,0.75,USD,0.00066413
2026-06-09T05:38:09,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:0,2654,1129,3783,7.2759,0.125,0.75,USD,0.0011785
2026-06-09T05:38:15,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:1,2591,840,3431,5.8373,0.125,0.75,USD,0.00095388
2026-06-09T05:38:20,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:2,2680,704,3384,4.7744,0.125,0.75,USD,0.000863
2026-06-09T05:38:26,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:3,2654,941,3595,5.5782,0.125,0.75,USD,0.0010375
2026-06-09T05:38:31,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:4,2564,1100,3664,5.8345,0.125,0.75,USD,0.0011455
2026-06-09T05:38:36,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_001:chunk:5,1993,833,2826,4.675,0.125,0.75,USD,0.00087387
2026-06-09T05:38:43,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:0,3030,1275,4305,6.8948,0.125,0.75,USD,0.001335
2026-06-09T05:38:48,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:1,2981,791,3772,5.0058,0.125,0.75,USD,0.00096588
2026-06-09T05:38:53,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:2,2908,825,3733,4.9318,0.125,0.75,USD,0.00098225
2026-06-09T05:38:59,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:3,2956,1006,3962,5.9943,0.125,0.75,USD,0.001124
2026-06-09T05:39:05,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:4,2867,800,3667,5.7065,0.125,0.75,USD,0.00095838
2026-06-09T05:39:10,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:5,2883,1007,3890,5.4301,0.125,0.75,USD,0.00111563
2026-06-09T05:39:18,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:6,2844,1361,4205,8.0216,0.125,0.75,USD,0.00137625
2026-06-09T05:39:25,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:7,2866,1150,4016,7.0156,0.125,0.75,USD,0.00122075
2026-06-09T05:39:29,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_elife_001:chunk:8,2144,561,2705,4.2022,0.125,0.75,USD,0.00068875
2026-06-09T05:39:36,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_002:chunk:0,2606,1026,3632,6.3414,0.125,0.75,USD,0.00109525
2026-06-09T05:39:41,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_002:chunk:1,2620,1164,3784,5.446,0.125,0.75,USD,0.0012005
2026-06-09T05:39:47,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_002:chunk:2,2728,1043,3771,5.5237,0.125,0.75,USD,0.00112325
2026-06-09T05:39:52,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_002:chunk:3,2708,1089,3797,5.1103,0.125,0.75,USD,0.00115525
2026-06-09T05:39:59,part_c.selected_keep_af_extraction,gemini,gemini-3-flash-preview,exp2_plos_002:chunk:4,2720,1284,4004,7.7093,0.125,0.75,USD,0.001303
