time,stage,provider,model,item_id,prompt_tokens,completion_tokens,total_tokens,elapsed_seconds,input_usd_per_1m,output_usd_per_1m,estimated_cost_usd
2026-06-07T16:03:10,part_b.article_af_extraction,openai,gpt-4.1,exp2_plos_001:chunk:0,1635,1633,3268,9.1285,2.0,8.0,0.016334
2026-06-07T16:03:26,part_b.article_af_extraction,openai,gpt-4.1,exp2_plos_001:chunk:1,1553,2883,4436,16.2438,2.0,8.0,0.02617
2026-06-07T16:03:43,part_b.article_af_extraction,openai,gpt-4.1,exp2_plos_001:chunk:2,1612,2795,4407,16.5434,2.0,8.0,0.025584
2026-06-07T16:03:52,part_b.article_af_extraction,openai,gpt-4.1,exp2_plos_001:chunk:3,1581,1830,3411,9.6235,2.0,8.0,0.017802
2026-06-07T16:04:02,part_b.article_af_extraction,openai,gpt-4.1,exp2_plos_001:chunk:4,1529,1801,3330,9.3211,2.0,8.0,0.017466
2026-06-07T16:04:07,part_b.article_af_extraction,openai,gpt-4.1,exp2_plos_001:chunk:5,947,1043,1990,5.7161,2.0,8.0,0.010238
2026-06-07T16:04:26,part_b.article_af_extraction,openai,gpt-4.1,exp2_elife_001:chunk:0,1965,3174,5139,18.5534,2.0,8.0,0.029322
2026-06-07T16:04:37,part_b.article_af_extraction,openai,gpt-4.1,exp2_elife_001:chunk:1,1853,2163,4016,11.4954,2.0,8.0,0.02101
2026-06-07T16:04:47,part_b.article_af_extraction,openai,gpt-4.1,exp2_elife_001:chunk:2,1797,1771,3568,9.8215,2.0,8.0,0.017762
2026-06-07T16:04:59,part_b.article_af_extraction,openai,gpt-4.1,exp2_elife_001:chunk:3,1846,2162,4008,11.5876,2.0,8.0,0.020988
2026-06-07T16:05:08,part_b.article_af_extraction,openai,gpt-4.1,exp2_elife_001:chunk:4,1765,1709,3474,9.0577,2.0,8.0,0.017202
2026-06-07T16:05:18,part_b.article_af_extraction,openai,gpt-4.1,exp2_elife_001:chunk:5,1800,1763,3563,10.4073,2.0,8.0,0.017704
2026-06-07T16:05:35,part_b.article_af_extraction,openai,gpt-4.1,exp2_elife_001:chunk:6,1864,2843,4707,16.333,2.0,8.0,0.026472
2026-06-07T16:05:50,part_b.article_af_extraction,openai,gpt-4.1,exp2_elife_001:chunk:7,1833,3093,4926,15.6767,2.0,8.0,0.02841
2026-06-07T16:06:01,part_b.article_af_extraction,openai,gpt-4.1,exp2_elife_001:chunk:8,1101,1921,3022,10.8064,2.0,8.0,0.01757
2026-06-07T16:06:22,part_b.article_af_extraction,openai,gpt-4.1,exp2_plos_002:chunk:0,1566,2895,4461,21.0281,2.0,8.0,0.026292
2026-06-07T16:06:33,part_b.article_af_extraction,openai,gpt-4.1,exp2_plos_002:chunk:1,1576,2064,3640,10.8777,2.0,8.0,0.019664
2026-06-07T16:06:44,part_b.article_af_extraction,openai,gpt-4.1,exp2_plos_002:chunk:2,1652,2275,3927,11.1753,2.0,8.0,0.021504
2026-06-07T16:06:55,part_b.article_af_extraction,openai,gpt-4.1,exp2_plos_002:chunk:3,1648,2186,3834,10.6549,2.0,8.0,0.020784
2026-06-07T16:07:10,part_b.article_af_extraction,openai,gpt-4.1,exp2_plos_002:chunk:4,1650,3069,4719,15.2495,2.0,8.0,0.027852
2026-06-07T16:07:18,part_b.article_af_extraction,openai,gpt-4.1,exp2_plos_002:chunk:5,1260,1429,2689,7.662,2.0,8.0,0.013952
2026-06-07T16:07:34,part_b.article_af_extraction,openai,gpt-4.1,exp2_elife_002:chunk:0,2103,3164,5267,16.2669,2.0,8.0,0.029518
2026-06-07T16:07:45,part_b.article_af_extraction,openai,gpt-4.1,exp2_elife_002:chunk:1,2145,2083,4228,11.3031,2.0,8.0,0.020954
2026-06-07T16:07:59,part_b.article_af_extraction,openai,gpt-4.1,exp2_elife_002:chunk:2,2024,2251,4275,13.3927,2.0,8.0,0.022056
2026-06-07T16:08:06,part_b.article_af_extraction,openai,gpt-4.1,exp2_elife_002:chunk:3,2104,980,3084,7.2492,2.0,8.0,0.012048
