time,stage,provider,model,item_id,prompt_tokens,completion_tokens,total_tokens,elapsed_seconds,input_usd_per_1m,output_usd_per_1m,estimated_cost_usd
2026-06-07T16:48:33,part_c.summary_af_extraction,openai,gpt-4.1,exp2_plos_001,433,634,1067,3.3563,2.0,8.0,0.005938
2026-06-07T16:48:37,part_c.summary_af_extraction,openai,gpt-4.1,exp2_elife_001,664,1037,1701,4.9113,2.0,8.0,0.009624
2026-06-07T16:48:42,part_c.summary_af_extraction,openai,gpt-4.1,exp2_plos_002,423,575,998,4.3009,2.0,8.0,0.005446
2026-06-07T16:48:46,part_c.summary_af_extraction,openai,gpt-4.1,exp2_elife_002,587,1049,1636,4.6077,2.0,8.0,0.009566
2026-06-07T16:48:49,part_c.summary_af_extraction,openai,gpt-4.1,exp2_plos_003,448,582,1030,3.1492,2.0,8.0,0.005552
2026-06-07T16:49:01,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_plos_001:chunk:0,2614,2297,4911,11.8905,2.0,8.0,0.023604
2026-06-07T16:49:13,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_plos_001:chunk:1,2532,1962,4494,11.1749,2.0,8.0,0.02076
2026-06-07T16:49:19,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_plos_001:chunk:2,2591,1366,3957,6.9153,2.0,8.0,0.01611
2026-06-07T16:49:27,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_plos_001:chunk:3,2560,1352,3912,7.6639,2.0,8.0,0.015936
2026-06-07T16:49:37,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_plos_001:chunk:4,2508,1619,4127,9.8808,2.0,8.0,0.017968
2026-06-07T16:49:47,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_plos_001:chunk:5,1926,1925,3851,9.5242,2.0,8.0,0.019252
2026-06-07T16:50:01,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_elife_001:chunk:0,2944,2861,5805,14.7382,2.0,8.0,0.028776
2026-06-07T16:50:10,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_elife_001:chunk:1,2832,1603,4435,8.7442,2.0,8.0,0.018488
2026-06-07T16:50:21,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_elife_001:chunk:2,2776,2015,4791,11.0426,2.0,8.0,0.021672
2026-06-07T16:50:31,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_elife_001:chunk:3,2825,1787,4612,10.3175,2.0,8.0,0.019946
2026-06-07T16:50:41,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_elife_001:chunk:4,2744,1515,4259,9.8302,2.0,8.0,0.017608
2026-06-07T16:50:51,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_elife_001:chunk:5,2779,1605,4384,9.7988,2.0,8.0,0.018398
2026-06-07T16:51:11,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_elife_001:chunk:6,2843,3838,6681,20.0426,2.0,8.0,0.03639
2026-06-07T16:51:18,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_elife_001:chunk:7,2812,1089,3901,6.7104,2.0,8.0,0.014336
2026-06-07T16:51:26,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_elife_001:chunk:8,2080,894,2974,8.6699,2.0,8.0,0.011312
2026-06-07T16:51:46,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_plos_002:chunk:0,2545,3251,5796,19.8522,2.0,8.0,0.031098
2026-06-07T16:52:02,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_plos_002:chunk:1,2555,2071,4626,15.8809,2.0,8.0,0.021678
2026-06-07T16:52:16,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_plos_002:chunk:2,2631,1865,4496,14.1149,2.0,8.0,0.020182
2026-06-07T16:52:32,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_plos_002:chunk:3,2627,2238,4865,15.7932,2.0,8.0,0.023158
2026-06-07T16:52:49,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_plos_002:chunk:4,2629,2441,5070,16.3968,2.0,8.0,0.024786
2026-06-07T16:52:59,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_plos_002:chunk:5,2239,1568,3807,10.0459,2.0,8.0,0.017022
2026-06-07T16:53:15,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_elife_002:chunk:0,3082,2630,5712,16.5132,2.0,8.0,0.027204
2026-06-07T16:53:24,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_elife_002:chunk:1,3124,1302,4426,8.6679,2.0,8.0,0.016664
2026-06-07T16:53:38,part_c.selected_keep_af_extraction,openai,gpt-4.1,exp2_elife_002:chunk:2,3003,2373,5376,14.1301,2.0,8.0,0.02499
