time,stage,provider,model,item_id,prompt_tokens,completion_tokens,total_tokens,elapsed_seconds,input_usd_per_1m,output_usd_per_1m,estimated_cost_usd
2026-06-07T14:00:01,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_001:chunk:0,1635,2011,3646,18.9442,0.4,1.6,0.0038716
2026-06-07T14:00:24,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_001:chunk:1,1553,2070,3623,23.5285,0.4,1.6,0.0039332
2026-06-07T14:00:51,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_001:chunk:2,1612,2531,4143,26.6924,0.4,1.6,0.0046944
2026-06-07T14:01:16,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_001:chunk:3,1581,2232,3813,24.7555,0.4,1.6,0.0042036
2026-06-07T14:01:32,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_001:chunk:4,1529,1530,3059,16.4537,0.4,1.6,0.0030596
2026-06-07T14:01:40,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_001:chunk:5,947,707,1654,7.2811,0.4,1.6,0.00151
2026-06-07T14:02:09,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:0,1965,2283,4248,29.3057,0.4,1.6,0.0044388
2026-06-07T14:02:28,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:1,1853,1886,3739,19.1905,0.4,1.6,0.0037588
2026-06-07T14:02:43,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:2,1797,1606,3403,15.3612,0.4,1.6,0.0032884
2026-06-07T14:03:02,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:3,1846,2173,4019,18.3369,0.4,1.6,0.0042152
2026-06-07T14:03:22,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:4,1765,1720,3485,19.9323,0.4,1.6,0.003458
2026-06-07T14:03:36,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:5,1800,1572,3372,14.3354,0.4,1.6,0.0032352
2026-06-07T14:04:06,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:6,1864,2772,4636,30.2839,0.4,1.6,0.0051808
2026-06-07T14:04:38,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:7,1833,3102,4935,31.3702,0.4,1.6,0.0056964
2026-06-07T14:04:57,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:8,1101,2110,3211,19.2756,0.4,1.6,0.0038164
2026-06-07T14:05:21,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_002:chunk:0,1566,2414,3980,23.8669,0.4,1.6,0.0044888
2026-06-07T14:05:44,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_002:chunk:1,1576,2297,3873,23.4505,0.4,1.6,0.0043056
2026-06-07T14:06:00,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_002:chunk:2,1652,1610,3262,15.4234,0.4,1.6,0.0032368
2026-06-07T14:06:21,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_002:chunk:3,1648,2234,3882,21.5086,0.4,1.6,0.0042336
2026-06-07T14:06:46,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_002:chunk:4,1650,2742,4392,24.9624,0.4,1.6,0.0050472
2026-06-07T14:06:58,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_002:chunk:5,1260,1327,2587,12.1018,0.4,1.6,0.0026272
2026-06-07T14:07:26,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_002:chunk:0,2103,2558,4661,28.027,0.4,1.6,0.004934
2026-06-07T14:07:46,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_002:chunk:1,2145,1786,3931,19.2792,0.4,1.6,0.0037156
2026-06-07T14:08:07,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_002:chunk:2,2024,2197,4221,21.6745,0.4,1.6,0.0043248
2026-06-07T14:08:19,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_002:chunk:3,2104,1113,3217,11.6722,0.4,1.6,0.0026224
2026-06-07T14:08:49,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_002:chunk:4,1919,3047,4966,29.914,0.4,1.6,0.0056428
2026-06-07T14:09:25,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_002:chunk:5,2019,3478,5497,36.5113,0.4,1.6,0.0063724
2026-06-07T14:09:44,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_elife_002:chunk:6,1549,2044,3593,18.3614,0.4,1.6,0.00389
2026-06-07T14:10:05,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_003:chunk:0,1599,2512,4111,20.7696,0.4,1.6,0.0046588
2026-06-07T14:10:30,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_003:chunk:1,1716,3104,4820,25.0697,0.4,1.6,0.0056528
2026-06-07T14:10:54,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_003:chunk:2,1675,2348,4023,24.0309,0.4,1.6,0.0044268
2026-06-07T14:11:14,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_003:chunk:3,1675,2177,3852,20.5533,0.4,1.6,0.0041532
2026-06-07T14:11:36,part_b.article_af_extraction,openai,gpt-4.1-mini,exp2_plos_003:chunk:4,1593,2071,3664,21.9772,0.4,1.6,0.0039508
