time,stage,provider,model,item_id,prompt_tokens,completion_tokens,total_tokens,elapsed_seconds,input_usd_per_1m,output_usd_per_1m,estimated_cost_usd
2026-06-07T15:00:56,part_c.summary_af_extraction,openai,gpt-4.1-mini,exp2_plos_001,433,624,1057,6.8198,0.4,1.6,0.0011716
2026-06-07T15:01:07,part_c.summary_af_extraction,openai,gpt-4.1-mini,exp2_elife_001,664,1006,1670,10.9524,0.4,1.6,0.0018752
2026-06-07T15:01:14,part_c.summary_af_extraction,openai,gpt-4.1-mini,exp2_plos_002,423,570,993,6.7555,0.4,1.6,0.0010812
2026-06-07T15:01:23,part_c.summary_af_extraction,openai,gpt-4.1-mini,exp2_elife_002,587,931,1518,9.3554,0.4,1.6,0.0017244
2026-06-07T15:01:29,part_c.summary_af_extraction,openai,gpt-4.1-mini,exp2_plos_003,448,587,1035,5.6954,0.4,1.6,0.0011184
2026-06-07T15:01:50,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_plos_001:chunk:0,2614,1855,4469,20.7411,0.4,1.6,0.0040136
2026-06-07T15:02:02,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_plos_001:chunk:1,2532,1192,3724,12.7316,0.4,1.6,0.00292
2026-06-07T15:02:21,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_plos_001:chunk:2,2591,1774,4365,18.4333,0.4,1.6,0.0038748
2026-06-07T15:02:34,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_plos_001:chunk:3,2560,1194,3754,13.5941,0.4,1.6,0.0029344
2026-06-07T15:02:50,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_plos_001:chunk:4,2508,1541,4049,15.2452,0.4,1.6,0.0034688
2026-06-07T15:03:02,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_plos_001:chunk:5,1926,1104,3030,11.9305,0.4,1.6,0.0025368
2026-06-07T15:03:28,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:0,2944,2248,5192,26.5005,0.4,1.6,0.0047744
2026-06-07T15:03:39,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:1,2832,1037,3869,11.2825,0.4,1.6,0.002792
2026-06-07T15:03:50,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:2,2776,932,3708,10.5038,0.4,1.6,0.0026016
2026-06-07T15:04:03,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:3,2825,1183,4008,12.9832,0.4,1.6,0.0030228
2026-06-07T15:04:14,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:4,2744,1155,3899,11.5412,0.4,1.6,0.0029456
2026-06-07T15:04:27,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:5,2779,1299,4078,12.7367,0.4,1.6,0.00319
2026-06-07T15:05:03,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:6,2843,3577,6420,35.6438,0.4,1.6,0.0068604
2026-06-07T15:05:16,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:7,2812,1346,4158,13.0664,0.4,1.6,0.0032784
2026-06-07T15:05:28,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_elife_001:chunk:8,2080,1147,3227,11.991,0.4,1.6,0.0026672
2026-06-07T15:05:51,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_plos_002:chunk:0,2545,2264,4809,23.4506,0.4,1.6,0.0046404
2026-06-07T15:06:15,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_plos_002:chunk:1,2555,1972,4527,23.5986,0.4,1.6,0.0041772
2026-06-07T15:06:29,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_plos_002:chunk:2,2631,1288,3919,14.2794,0.4,1.6,0.0031132
2026-06-07T15:06:53,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_plos_002:chunk:3,2627,1976,4603,23.5069,0.4,1.6,0.0042124
2026-06-07T15:07:19,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_plos_002:chunk:4,2629,2279,4908,26.2819,0.4,1.6,0.004698
2026-06-07T15:07:36,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_plos_002:chunk:5,2239,1461,3700,16.6792,0.4,1.6,0.0032332
2026-06-07T15:07:54,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_elife_002:chunk:0,3082,1659,4741,17.9575,0.4,1.6,0.0038872
2026-06-07T15:08:10,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_elife_002:chunk:1,3124,1607,4731,16.1597,0.4,1.6,0.0038208
2026-06-07T15:08:24,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_elife_002:chunk:2,3003,1171,4174,13.9158,0.4,1.6,0.0030748
2026-06-07T15:08:36,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_elife_002:chunk:3,3083,1041,4124,12.4734,0.4,1.6,0.0028988
2026-06-07T15:08:56,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_elife_002:chunk:4,2898,1813,4711,20.0125,0.4,1.6,0.00406
2026-06-07T15:09:15,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_elife_002:chunk:5,2998,1713,4711,18.4519,0.4,1.6,0.00394
2026-06-07T15:09:25,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_elife_002:chunk:6,2528,1106,3634,10.7623,0.4,1.6,0.0027808
2026-06-07T15:09:48,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_plos_003:chunk:0,2578,1965,4543,22.7473,0.4,1.6,0.0041752
2026-06-07T15:10:28,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_plos_003:chunk:1,2695,2023,4718,40.0669,0.4,1.6,0.0043148
2026-06-07T15:10:42,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_plos_003:chunk:2,2654,1314,3968,13.8093,0.4,1.6,0.003164
2026-06-07T15:11:03,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_plos_003:chunk:3,2654,1772,4426,20.6142,0.4,1.6,0.0038968
2026-06-07T15:11:16,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_plos_003:chunk:4,2572,1129,3701,13.7509,0.4,1.6,0.0028352
2026-06-07T15:11:36,part_c.selected_keep_af_extraction,openai,gpt-4.1-mini,exp2_plos_003:chunk:5,1915,1555,3470,19.101,0.4,1.6,0.003254
2026-06-07T15:11:37,part_c.selected_keep_covers_summary_af,openai,gpt-4.1-mini,exp2_plos_001_summary_af_0001,3532,69,3601,1.0856,0.4,1.6,0.0015232
2026-06-07T15:11:40,part_c.selected_keep_covers_summary_af,openai,gpt-4.1-mini,exp2_plos_001_summary_af_0002,3525,389,3914,3.3292,0.4,1.6,0.0020324
2026-06-07T15:11:43,part_c.selected_keep_covers_summary_af,openai,gpt-4.1-mini,exp2_plos_001_summary_af_0003,3514,362,3876,3.1131,0.4,1.6,0.0019848
2026-06-07T15:11:45,part_c.selected_keep_covers_summary_af,openai,gpt-4.1-mini,exp2_plos_001_summary_af_0004,3516,207,3723,2.4105,0.4,1.6,0.0017376
2026-06-07T15:16:16,part_c.selected_keep_covers_summary_af,openai,gpt-4.1-mini,exp2_plos_001_summary_af_0005,3524,32768,36292,270.7655,0.4,1.6,0.0538384
2026-06-07T15:16:18,part_c.selected_keep_covers_summary_af,openai,gpt-4.1-mini,exp2_plos_001_summary_af_0006,3513,145,3658,1.7603,0.4,1.6,0.0016372
2026-06-07T15:16:21,part_c.selected_keep_covers_summary_af,openai,gpt-4.1-mini,exp2_plos_001_summary_af_0007,3526,362,3888,3.0604,0.4,1.6,0.0019896
2026-06-07T15:16:23,part_c.selected_keep_covers_summary_af,openai,gpt-4.1-mini,exp2_plos_001_summary_af_0008,3519,189,3708,2.1182,0.4,1.6,0.00171
2026-06-07T15:16:26,part_c.selected_keep_covers_summary_af,openai,gpt-4.1-mini,exp2_plos_001_summary_af_0009,3520,324,3844,2.8709,0.4,1.6,0.0019264
2026-06-07T15:16:28,part_c.selected_keep_covers_summary_af,openai,gpt-4.1-mini,exp2_elife_001_summary_af_0001,5559,69,5628,1.4268,0.4,1.6,0.002334
2026-06-07T15:16:31,part_c.selected_keep_covers_summary_af,openai,gpt-4.1-mini,exp2_elife_001_summary_af_0002,5564,396,5960,3.3731,0.4,1.6,0.0028592
2026-06-07T15:16:35,part_c.selected_keep_covers_summary_af,openai,gpt-4.1-mini,exp2_elife_001_summary_af_0003,5562,356,5918,3.6837,0.4,1.6,0.0027944
2026-06-07T15:16:40,part_c.selected_keep_covers_summary_af,openai,gpt-4.1-mini,exp2_elife_001_summary_af_0004,5564,596,6160,5.2088,0.4,1.6,0.0031792
2026-06-07T15:16:42,part_c.selected_keep_covers_summary_af,openai,gpt-4.1-mini,exp2_elife_001_summary_af_0005,5555,214,5769,2.5929,0.4,1.6,0.0025644
2026-06-07T15:16:44,part_c.selected_keep_covers_summary_af,openai,gpt-4.1-mini,exp2_elife_001_summary_af_0006,5566,64,5630,1.2495,0.4,1.6,0.0023288
