time,stage,provider,model,item_id,prompt_tokens,cached_prompt_tokens,billable_prompt_tokens,completion_tokens,billable_output_tokens,total_tokens,elapsed_seconds,input_price_per_1m,cached_input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-07-27T12:27:26,direct_zero_shot.generate:gpt54_mini,openai,gpt-5.4-mini-2026-03-17,laysumm_plos_0051,9428,0,9428,432,432,9860,5.1492,0.0,0.0,0.0,USD,0.0
2026-07-27T12:27:27,direct_zero_shot.generate:gpt54_mini,openai,gpt-5.4-mini-2026-03-17,laysumm_plos_0178,2553,0,2553,606,606,3159,5.6155,0.0,0.0,0.0,USD,0.0
2026-07-27T12:27:28,direct_zero_shot.generate:gpt54_mini,openai,gpt-5.4-mini-2026-03-17,laysumm_plos_0209,8723,0,8723,700,700,9423,6.6854,0.0,0.0,0.0,USD,0.0
2026-07-27T12:27:28,direct_zero_shot.generate:gpt54_mini,openai,gpt-5.4-mini-2026-03-17,laysumm_plos_0228,12779,0,12779,517,517,13296,6.7158,0.0,0.0,0.0,USD,0.0
2026-07-27T12:27:31,direct_zero_shot.generate:gpt54_mini,openai,gpt-5.4-mini-2026-03-17,laysumm_plos_0457,10472,0,10472,589,589,11061,4.296,0.0,0.0,0.0,USD,0.0
2026-07-27T12:27:31,direct_zero_shot.generate:gpt54_mini,openai,gpt-5.4-mini-2026-03-17,laysumm_plos_0285,5460,0,5460,504,504,5964,4.9094,0.0,0.0,0.0,USD,0.0
2026-07-27T12:27:31,direct_zero_shot.generate:gpt54_mini,openai,gpt-5.4-mini-2026-03-17,laysumm_plos_0563,6759,0,6759,419,419,7178,3.4515,0.0,0.0,0.0,USD,0.0
2026-07-27T12:27:33,direct_zero_shot.generate:gpt54_mini,openai,gpt-5.4-mini-2026-03-17,laysumm_plos_0501,10883,0,10883,567,567,11450,5.2371,0.0,0.0,0.0,USD,0.0
2026-07-27T12:27:35,direct_zero_shot.generate:gpt54_mini,openai,gpt-5.4-mini-2026-03-17,laysumm_plos_1309,9213,0,9213,492,492,9705,4.1393,0.0,0.0,0.0,USD,0.0
2026-07-27T12:27:35,direct_zero_shot.generate:gpt54_mini,openai,gpt-5.4-mini-2026-03-17,laysumm_plos_1116,6048,0,6048,530,530,6578,4.3921,0.0,0.0,0.0,USD,0.0
2026-07-27T12:27:37,direct_zero_shot.generate:gpt54_mini,openai,gpt-5.4-mini-2026-03-17,laysumm_elife_0006,20741,0,20741,477,477,21218,5.67,0.0,0.0,0.0,USD,0.0
2026-07-27T12:27:40,direct_zero_shot.generate:gpt54_mini,openai,gpt-5.4-mini-2026-03-17,laysumm_elife_0057,10903,0,10903,393,393,11296,3.5553,0.0,0.0,0.0,USD,0.0
2026-07-27T12:27:41,direct_zero_shot.generate:gpt54_mini,openai,gpt-5.4-mini-2026-03-17,laysumm_elife_0028,10427,0,10427,574,574,11001,5.314,0.0,0.0,0.0,USD,0.0
2026-07-27T12:27:41,direct_zero_shot.generate:gpt54_mini,openai,gpt-5.4-mini-2026-03-17,laysumm_elife_0026,17204,0,17204,607,607,17811,8.1719,0.0,0.0,0.0,USD,0.0
2026-07-27T12:27:42,direct_zero_shot.generate:gpt54_mini,openai,gpt-5.4-mini-2026-03-17,laysumm_elife_0035,14098,0,14098,583,583,14681,7.0227,0.0,0.0,0.0,USD,0.0
2026-07-27T12:27:44,direct_zero_shot.generate:gpt54_mini,openai,gpt-5.4-mini-2026-03-17,laysumm_elife_0070,13439,0,13439,414,414,13853,3.7131,0.0,0.0,0.0,USD,0.0
2026-07-27T12:27:45,direct_zero_shot.generate:gpt54_mini,openai,gpt-5.4-mini-2026-03-17,laysumm_elife_0163,16376,0,16376,447,447,16823,4.0853,0.0,0.0,0.0,USD,0.0
2026-07-27T12:27:46,direct_zero_shot.generate:gpt54_mini,openai,gpt-5.4-mini-2026-03-17,laysumm_elife_0062,19992,0,19992,727,727,20719,5.8559,0.0,0.0,0.0,USD,0.0
2026-07-27T12:27:48,direct_zero_shot.generate:gpt54_mini,openai,gpt-5.4-mini-2026-03-17,laysumm_elife_0188,8868,0,8868,540,540,9408,5.7294,0.0,0.0,0.0,USD,0.0
2026-07-27T12:27:48,direct_zero_shot.generate:gpt54_mini,openai,gpt-5.4-mini-2026-03-17,laysumm_elife_0189,19270,0,19270,420,420,19690,3.9516,0.0,0.0,0.0,USD,0.0
