time,stage,provider,model,item_id,prompt_tokens,cached_prompt_tokens,billable_prompt_tokens,completion_tokens,billable_output_tokens,total_tokens,elapsed_seconds,input_price_per_1m,cached_input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-22T17:37:39,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0178,2700,0,2700,483,483,3183,3.8734,0.3,0.03,2.5,USD,0.0020175
2026-06-22T17:37:40,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0501,11222,0,11222,344,344,11566,4.5323,0.3,0.03,2.5,USD,0.0042266
2026-06-22T17:37:40,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0051,9383,0,9383,642,642,10025,4.5561,0.3,0.03,2.5,USD,0.0044199
2026-06-22T17:37:40,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0457,10390,0,10390,643,643,11033,4.8112,0.3,0.03,2.5,USD,0.0047245
2026-06-22T17:37:40,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0563,6530,0,6530,706,706,7236,4.8107,0.3,0.03,2.5,USD,0.003724
2026-06-22T17:37:41,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0228,12760,0,12760,799,799,13559,5.8248,0.3,0.03,2.5,USD,0.0058255
2026-06-22T17:37:41,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0209,8776,0,8776,803,803,9579,5.9169,0.3,0.03,2.5,USD,0.0046403
2026-06-22T17:37:42,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0285,5490,0,5490,933,933,6423,6.7353,0.3,0.03,2.5,USD,0.0039795
2026-06-22T17:37:43,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_1116,5986,0,5986,564,564,6550,3.8096,0.3,0.03,2.5,USD,0.0032058
2026-06-22T17:37:44,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_1309,9419,0,9419,582,582,10001,3.9241,0.3,0.03,2.5,USD,0.0042807
2026-06-22T17:37:44,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0028,10916,0,10916,604,604,11520,4.4079,0.3,0.03,2.5,USD,0.0047848
2026-06-22T17:37:45,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0026,17487,0,17487,729,729,18216,5.2751,0.3,0.03,2.5,USD,0.0070686
2026-06-22T17:37:46,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0006,21467,0,21467,872,872,22339,6.0992,0.3,0.03,2.5,USD,0.0086201
2026-06-22T17:37:46,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0057,10665,0,10665,738,738,11403,5.1006,0.3,0.03,2.5,USD,0.0050445
2026-06-22T17:37:47,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0035,14440,0,14440,835,835,15275,5.476,0.3,0.03,2.5,USD,0.0064195
2026-06-22T17:37:47,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0062,20682,0,20682,671,671,21353,4.9343,0.3,0.03,2.5,USD,0.0078821
2026-06-22T17:37:48,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0188,9140,0,9140,475,475,9615,3.0866,0.3,0.03,2.5,USD,0.0039295
2026-06-22T17:37:48,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0070,13803,0,13803,706,706,14509,4.9225,0.3,0.03,2.5,USD,0.0059059
2026-06-22T17:37:48,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0163,16190,0,16190,546,546,16736,4.6166,0.3,0.03,2.5,USD,0.006222
2026-06-22T17:37:51,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0189,20291,0,20291,833,833,21124,5.9281,0.3,0.03,2.5,USD,0.0081698
2026-06-22T17:38:01,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0178,2554,0,2554,321,321,2875,6.3691,0.4,0.1,1.6,USD,0.0015352
2026-06-22T17:38:01,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0051,9429,0,9429,363,363,9792,6.531,0.4,0.1,1.6,USD,0.0043524
2026-06-22T17:38:01,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0501,10884,0,10884,396,396,11280,7.0257,0.4,0.1,1.6,USD,0.0049872
2026-06-22T17:38:02,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0285,5461,0,5461,366,366,5827,7.2424,0.4,0.1,1.6,USD,0.00277
2026-06-22T17:38:02,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0209,8724,0,8724,393,393,9117,7.5855,0.4,0.1,1.6,USD,0.0041184
