time,stage,provider,model,item_id,prompt_tokens,cached_prompt_tokens,billable_prompt_tokens,completion_tokens,billable_output_tokens,total_tokens,elapsed_seconds,input_price_per_1m,cached_input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-25T15:57:13,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0457,10461,0,10461,255,255,10716,2.5877,0.3,0.03,2.5,USD,0.0037758
2026-06-25T15:57:13,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0178,2771,0,2771,184,184,2955,2.5963,0.3,0.03,2.5,USD,0.0012913
2026-06-25T15:57:13,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0051,9454,0,9454,213,213,9667,2.6028,0.3,0.03,2.5,USD,0.0033687
2026-06-25T15:57:13,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0285,5561,0,5561,267,267,5828,2.7881,0.3,0.03,2.5,USD,0.0023358
2026-06-25T15:57:14,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0209,8847,0,8847,304,304,9151,3.199,0.3,0.03,2.5,USD,0.0034141
2026-06-25T15:57:15,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0501,11293,0,11293,218,218,11511,2.2438,0.3,0.03,2.5,USD,0.0039329
2026-06-25T15:57:15,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_1116,6057,0,6057,213,213,6270,2.3383,0.3,0.03,2.5,USD,0.0023496
2026-06-25T15:57:16,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0228,12831,0,12831,281,281,13112,5.4427,0.3,0.03,2.5,USD,0.0045518
2026-06-25T15:57:16,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0563,6601,0,6601,262,262,6863,3.3545,0.3,0.03,2.5,USD,0.0026353
2026-06-25T15:57:16,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0006,21538,0,21538,227,227,21765,2.7532,0.3,0.03,2.5,USD,0.0070289
2026-06-25T15:57:17,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_1309,9490,0,9490,285,285,9775,3.7642,0.3,0.03,2.5,USD,0.0035595
2026-06-25T15:57:18,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0028,10987,0,10987,226,226,11213,2.3399,0.3,0.03,2.5,USD,0.0038611
2026-06-25T15:57:18,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0026,17558,0,17558,259,259,17817,2.6504,0.3,0.03,2.5,USD,0.0059149
2026-06-25T15:57:19,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0035,14511,0,14511,217,217,14728,2.8524,0.3,0.03,2.5,USD,0.0048958
2026-06-25T15:57:19,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0062,20753,0,20753,263,263,21016,2.7546,0.3,0.03,2.5,USD,0.0068834
2026-06-25T15:57:19,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0057,10736,0,10736,278,278,11014,2.7596,0.3,0.03,2.5,USD,0.0039158
2026-06-25T15:57:19,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0070,13874,0,13874,223,223,14097,2.2663,0.3,0.03,2.5,USD,0.0047197
2026-06-25T15:57:20,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0188,9211,0,9211,199,199,9410,2.2164,0.3,0.03,2.5,USD,0.0032608
2026-06-25T15:57:20,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0163,16261,0,16261,243,243,16504,2.6311,0.3,0.03,2.5,USD,0.0054858
2026-06-25T15:57:21,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0189,20362,0,20362,244,244,20606,2.3188,0.3,0.03,2.5,USD,0.0067186
2026-06-25T15:57:29,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0178,2771,0,2771,260,260,3031,2.9225,0.5,0.05,3.0,USD,0.0021655
2026-06-25T15:57:29,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0285,5561,0,5561,269,269,5830,3.2269,0.5,0.05,3.0,USD,0.0035875
2026-06-25T15:57:30,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0209,8847,0,8847,246,246,9093,3.6423,0.5,0.05,3.0,USD,0.0051615
2026-06-25T15:57:30,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0228,12831,0,12831,245,245,13076,3.6439,0.5,0.05,3.0,USD,0.0071505
2026-06-25T15:57:30,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0457,10461,0,10461,244,244,10705,3.7356,0.5,0.05,3.0,USD,0.0059625
2026-06-25T15:57:30,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051,9454,0,9454,245,245,9699,3.8434,0.5,0.05,3.0,USD,0.005462
2026-06-25T15:57:32,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0563,6601,0,6601,261,261,6862,2.6516,0.5,0.05,3.0,USD,0.0040835
2026-06-25T15:57:33,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_1116,6057,0,6057,248,248,6305,2.9569,0.5,0.05,3.0,USD,0.0037725
2026-06-25T15:57:33,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0501,11293,0,11293,238,238,11531,3.7803,0.5,0.05,3.0,USD,0.0063605
2026-06-25T15:57:33,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_elife_0026,17558,0,17558,264,264,17822,3.5935,0.5,0.05,3.0,USD,0.009571
2026-06-25T15:57:34,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_elife_0006,21538,0,21538,241,241,21779,3.8927,0.5,0.05,3.0,USD,0.011492
2026-06-25T15:57:35,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_elife_0028,10987,0,10987,246,246,11233,3.5047,0.5,0.05,3.0,USD,0.0062315
2026-06-25T15:57:36,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_elife_0057,10736,0,10736,265,265,11001,3.4725,0.5,0.05,3.0,USD,0.006163
2026-06-25T15:57:36,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_elife_0035,14511,0,14511,271,271,14782,3.8808,0.5,0.05,3.0,USD,0.0080685
2026-06-25T15:57:37,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_elife_0062,20753,0,20753,266,266,21019,3.6611,0.5,0.05,3.0,USD,0.0111745
