time,stage,provider,model,item_id,prompt_tokens,cached_prompt_tokens,billable_prompt_tokens,completion_tokens,billable_output_tokens,total_tokens,elapsed_seconds,input_price_per_1m,cached_input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-25T17:32:12,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0178,2731,0,2731,220,220,2951,2.1322,0.3,0.03,2.5,USD,0.0013693
2026-06-25T17:32:12,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0457,10421,0,10421,255,255,10676,2.5312,0.3,0.03,2.5,USD,0.0037638
2026-06-25T17:32:12,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0285,5521,0,5521,255,255,5776,2.5372,0.3,0.03,2.5,USD,0.0022938
2026-06-25T17:32:13,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0051,9414,0,9414,273,273,9687,2.8479,0.3,0.03,2.5,USD,0.0035067
2026-06-25T17:32:13,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0228,12791,0,12791,244,244,13035,2.945,0.3,0.03,2.5,USD,0.0044473
2026-06-25T17:32:13,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0209,8807,0,8807,284,284,9091,3.1442,0.3,0.03,2.5,USD,0.0033521
2026-06-25T17:32:14,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0501,11253,0,11253,230,230,11483,2.3312,0.3,0.03,2.5,USD,0.0039509
2026-06-25T17:32:15,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_1116,6017,0,6017,215,215,6232,2.1247,0.3,0.03,2.5,USD,0.0023426
2026-06-25T17:32:15,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0563,6561,0,6561,233,233,6794,2.1316,0.3,0.03,2.5,USD,0.0025508
2026-06-25T17:32:15,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0006,21498,0,21498,225,225,21723,2.4325,0.3,0.03,2.5,USD,0.0070119
2026-06-25T17:32:15,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_1309,9450,0,9450,300,300,9750,2.7405,0.3,0.03,2.5,USD,0.003585
2026-06-25T17:32:16,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0026,17518,0,17518,280,280,17798,2.7393,0.3,0.03,2.5,USD,0.0059554
2026-06-25T17:32:17,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0028,10947,0,10947,225,225,11172,2.2344,0.3,0.03,2.5,USD,0.0038466
2026-06-25T17:32:17,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0057,10696,0,10696,264,264,10960,2.0285,0.3,0.03,2.5,USD,0.0038688
2026-06-25T17:32:17,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0035,14471,0,14471,290,290,14761,2.8436,0.3,0.03,2.5,USD,0.0050663
2026-06-25T17:32:18,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0062,20713,0,20713,224,224,20937,2.4293,0.3,0.03,2.5,USD,0.0067739
2026-06-25T17:32:18,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0163,16221,0,16221,213,213,16434,2.4349,0.3,0.03,2.5,USD,0.0053988
2026-06-25T17:32:18,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0188,9171,0,9171,206,206,9377,1.6236,0.3,0.03,2.5,USD,0.0032663
2026-06-25T17:32:18,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0070,13834,0,13834,326,326,14160,2.955,0.3,0.03,2.5,USD,0.0049652
2026-06-25T17:32:19,direct_zero_shot.generate:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0189,20322,0,20322,217,217,20539,2.557,0.3,0.03,2.5,USD,0.0066391
2026-06-25T17:32:28,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0285,5521,0,5521,252,252,5773,2.9303,0.5,0.05,3.0,USD,0.0035165
2026-06-25T17:32:28,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0178,2731,0,2731,257,257,2988,2.9394,0.5,0.05,3.0,USD,0.0021365
2026-06-25T17:32:28,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0209,8807,0,8807,271,271,9078,3.7325,0.5,0.05,3.0,USD,0.0052165
2026-06-25T17:32:29,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0228,12791,0,12791,288,288,13079,4.1318,0.5,0.05,3.0,USD,0.0072595
2026-06-25T17:32:29,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0457,10421,0,10421,270,270,10691,4.1298,0.5,0.05,3.0,USD,0.0060205
2026-06-25T17:32:29,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051,9414,0,9414,255,255,9669,4.3428,0.5,0.05,3.0,USD,0.005472
2026-06-25T17:32:31,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0563,6561,0,6561,259,259,6820,2.9351,0.5,0.05,3.0,USD,0.0040575
2026-06-25T17:32:31,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_1116,6017,0,6017,247,247,6264,2.7551,0.5,0.05,3.0,USD,0.0037495
2026-06-25T17:32:31,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_1309,9450,0,9450,255,255,9705,2.4532,0.5,0.05,3.0,USD,0.00549
2026-06-25T17:32:31,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0501,11253,0,11253,241,241,11494,3.6555,0.5,0.05,3.0,USD,0.0063495
2026-06-25T17:32:32,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_elife_0006,21498,0,21498,264,264,21762,3.7092,0.5,0.05,3.0,USD,0.011541
2026-06-25T17:32:33,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_elife_0026,17518,0,17518,282,282,17800,3.8156,0.5,0.05,3.0,USD,0.009605
2026-06-25T17:32:35,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_elife_0028,10947,0,10947,254,254,11201,4.1316,0.5,0.05,3.0,USD,0.0062355
2026-06-25T17:32:35,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_elife_0057,10696,0,10696,282,282,10978,3.5376,0.5,0.05,3.0,USD,0.006194
2026-06-25T17:32:35,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_elife_0035,14471,0,14471,275,275,14746,3.6397,0.5,0.05,3.0,USD,0.0080605
2026-06-25T17:32:36,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_elife_0062,20713,0,20713,269,269,20982,4.4364,0.5,0.05,3.0,USD,0.0111635
2026-06-25T17:32:36,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_elife_0070,13834,0,13834,292,292,14126,3.5901,0.5,0.05,3.0,USD,0.007793
2026-06-25T17:32:37,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_elife_0163,16221,0,16221,264,264,16485,3.8971,0.5,0.05,3.0,USD,0.0089025
2026-06-25T17:32:38,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_elife_0189,20322,0,20322,250,250,20572,2.8432,0.5,0.05,3.0,USD,0.010911
2026-06-25T17:32:38,direct_zero_shot.generate:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_elife_0188,9171,0,9171,259,259,9430,3.4658,0.5,0.05,3.0,USD,0.0053625
2026-06-25T17:32:48,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0285,5483,0,5483,258,258,5741,5.3833,0.4,0.1,1.6,USD,0.002606
2026-06-25T17:32:48,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0457,10495,0,10495,285,285,10780,5.4956,0.4,0.1,1.6,USD,0.004654
2026-06-25T17:32:48,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0051,9451,0,9451,308,308,9759,5.6607,0.4,0.1,1.6,USD,0.0042732
2026-06-25T17:32:49,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0228,12802,0,12802,308,308,13110,5.8841,0.4,0.1,1.6,USD,0.0056136
2026-06-25T17:32:49,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0209,8746,0,8746,308,308,9054,5.958,0.4,0.1,1.6,USD,0.0039912
2026-06-25T17:32:49,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0178,2576,0,2576,271,271,2847,6.1894,0.4,0.1,1.6,USD,0.001464
2026-06-25T17:32:51,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0501,10906,0,10906,269,269,11175,3.0244,0.4,0.1,1.6,USD,0.0047928
2026-06-25T17:32:52,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0563,6782,0,6782,274,274,7056,3.577,0.4,0.1,1.6,USD,0.0031512
2026-06-25T17:32:52,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_1116,6071,0,6071,275,275,6346,4.0214,0.4,0.1,1.6,USD,0.0028684
2026-06-25T17:32:53,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_elife_0006,20764,0,20764,290,290,21054,4.163,0.4,0.1,1.6,USD,0.0087696
2026-06-25T17:32:53,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_1309,9236,0,9236,277,277,9513,4.5118,0.4,0.1,1.6,USD,0.0041376
2026-06-25T17:32:54,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_elife_0026,17227,0,17227,313,313,17540,5.491,0.4,0.1,1.6,USD,0.0073916
2026-06-25T17:32:56,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_elife_0035,14121,0,14121,272,272,14393,3.9472,0.4,0.1,1.6,USD,0.0060836
2026-06-25T17:32:58,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_elife_0062,20015,0,20015,276,276,20291,4.8189,0.4,0.1,1.6,USD,0.0084476
2026-06-25T17:32:58,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_elife_0070,13462,0,13462,275,275,13737,4.8018,0.4,0.1,1.6,USD,0.0058248
2026-06-25T17:33:01,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_elife_0189,19293,0,19293,277,277,19570,3.5644,0.4,0.1,1.6,USD,0.0081604
2026-06-25T17:33:02,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_elife_0163,16399,0,16399,290,290,16689,7.4194,0.4,0.1,1.6,USD,0.0070236
2026-06-25T17:33:03,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_elife_0057,10926,0,10926,338,338,11264,10.604,0.4,0.1,1.6,USD,0.0049112
2026-06-25T17:33:08,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_elife_0028,10450,0,10450,267,267,10717,17.2433,0.4,0.1,1.6,USD,0.0046072
2026-06-25T17:33:14,direct_zero_shot.generate:gpt41_mini,openai,gpt-4.1-mini,laysumm_elife_0188,8891,0,8891,247,247,9138,18.396,0.4,0.1,1.6,USD,0.0039516
