time,stage,provider,model,item_id,prompt_tokens,cached_prompt_tokens,billable_prompt_tokens,completion_tokens,billable_output_tokens,total_tokens,elapsed_seconds,input_price_per_1m,cached_input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-07-27T00:14:24,V11.generate_summary.factuality_chase:llama31_8b_instruct_openrouter,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_plos_0563,3997,0,3997,848,848,4845,6.9668,0.02,0.02,0.03,USD,0.00010538
2026-07-27T00:14:25,V11.generate_summary.factuality_chase:llama31_8b_instruct_openrouter,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_plos_0209,4702,0,4702,907,907,5609,7.417,0.02,0.02,0.03,USD,0.00012125
2026-07-27T00:14:25,V11.generate_summary.factuality_chase:llama31_8b_instruct_openrouter,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_plos_0285,4537,0,4537,946,946,5483,7.5857,0.02,0.02,0.03,USD,0.00011912
2026-07-27T00:14:29,V11.generate_summary.factuality_chase:llama31_8b_instruct_openrouter,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_plos_0051,4358,0,4358,849,849,5207,11.2246,0.02,0.02,0.03,USD,0.00011263
2026-07-27T00:14:31,V11.generate_summary.factuality_chase:llama31_8b_instruct_openrouter,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_plos_0228,4502,0,4502,841,841,5343,6.0908,0.02,0.02,0.03,USD,0.00011527
2026-07-27T00:14:31,V11.generate_summary.llama31_8b_instruct_openrouter.expand_length.factuality_chase,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_plos_0563:expand:1,3897,0,3897,950,950,4847,6.7518,0.02,0.02,0.03,USD,0.00010644
2026-07-27T00:14:33,V11.generate_summary.llama31_8b_instruct_openrouter.expand_length.factuality_chase,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_plos_0209:expand:1,4481,32,4449,1029,1029,5510,7.8049,0.02,0.02,0.03,USD,0.00012049
2026-07-27T00:14:38,V11.generate_summary.llama31_8b_instruct_openrouter.expand_length.factuality_chase,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_plos_0228:expand:1,4231,0,4231,945,945,5176,6.724,0.02,0.02,0.03,USD,0.00011297
2026-07-27T00:14:40,V11.generate_summary.llama31_8b_instruct_openrouter.expand_length.factuality_chase,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_plos_0563:expand:2,3999,0,3999,1050,1050,5049,8.7574,0.02,0.02,0.03,USD,0.00011148
2026-07-27T00:14:40,V11.generate_summary.llama31_8b_instruct_openrouter.expand_length.factuality_chase,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_plos_0209:expand:2,4586,0,4586,1100,1100,5686,7.8514,0.02,0.02,0.03,USD,0.00012472
2026-07-27T00:14:42,V11.generate_summary.llama31_8b_instruct_openrouter.expand_length.factuality_chase,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_plos_0051:expand:1,4182,0,4182,965,965,5147,13.6071,0.02,0.02,0.03,USD,0.00011259
2026-07-27T00:14:43,V11.generate_summary.factuality_chase:llama31_8b_instruct_openrouter,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0163,3737,0,3737,596,596,4333,5.073,0.02,0.02,0.03,USD,9.262e-05
2026-07-27T00:14:44,V11.generate_summary.factuality_chase:llama31_8b_instruct_openrouter,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0006,3553,0,3553,530,530,4083,4.0806,0.02,0.02,0.03,USD,8.696e-05
2026-07-27T00:14:46,V11.generate_summary.factuality_chase:llama31_8b_instruct_openrouter,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0035,4424,0,4424,778,778,5202,5.6384,0.02,0.02,0.03,USD,0.00011182
2026-07-27T00:14:48,V11.generate_summary.llama31_8b_instruct_openrouter.expand_length.factuality_chase,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0163:expand:1,3451,0,3451,700,700,4151,5.441,0.02,0.02,0.03,USD,9.002e-05
2026-07-27T00:14:48,V11.generate_summary.llama31_8b_instruct_openrouter.expand_length.factuality_chase,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0006:expand:1,3196,0,3196,620,620,3816,4.4768,0.02,0.02,0.03,USD,8.252e-05
2026-07-27T00:14:52,V11.generate_summary.llama31_8b_instruct_openrouter.expand_length.factuality_chase,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0035:expand:1,4257,32,4225,881,881,5138,6.2721,0.02,0.02,0.03,USD,0.00011157
2026-07-27T00:14:53,V11.generate_summary.llama31_8b_instruct_openrouter.expand_length.factuality_chase,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0006:expand:2,3286,0,3286,694,694,3980,4.9874,0.02,0.02,0.03,USD,8.654e-05
2026-07-27T00:14:54,V11.generate_summary.llama31_8b_instruct_openrouter.expand_length.factuality_chase,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0163:expand:2,3555,32,3523,796,796,4351,5.7239,0.02,0.02,0.03,USD,9.498e-05
2026-07-27T00:14:56,V11.generate_summary.llama31_8b_instruct_openrouter.expand_length.factuality_chase,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_plos_0051:expand:2,4281,0,4281,1077,1077,5358,13.4074,0.02,0.02,0.03,USD,0.00011793
2026-07-27T00:14:59,V11.generate_summary.factuality_chase:llama31_8b_instruct_openrouter,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0189,3604,32,3572,677,677,4281,4.9259,0.02,0.02,0.03,USD,9.239e-05
2026-07-27T00:14:59,V11.generate_summary.factuality_chase:llama31_8b_instruct_openrouter,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0057,4227,0,4227,751,751,4978,5.5943,0.02,0.02,0.03,USD,0.00010707
2026-07-27T00:14:59,V11.generate_summary.llama31_8b_instruct_openrouter.expand_length.factuality_chase,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0035:expand:2,4343,0,4343,972,972,5315,6.8878,0.02,0.02,0.03,USD,0.00011602
2026-07-27T00:15:05,V11.generate_summary.llama31_8b_instruct_openrouter.expand_length.factuality_chase,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0189:expand:1,3382,864,2518,779,779,4161,5.6397,0.02,0.02,0.03,USD,9.101e-05
2026-07-27T00:15:06,V11.generate_summary.llama31_8b_instruct_openrouter.expand_length.factuality_chase,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0057:expand:1,4036,896,3140,1013,1013,5049,7.4568,0.02,0.02,0.03,USD,0.00011111
2026-07-27T00:15:11,V11.generate_summary.llama31_8b_instruct_openrouter.expand_length.factuality_chase,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0189:expand:2,3484,0,3484,871,871,4355,6.1804,0.02,0.02,0.03,USD,9.581e-05
2026-07-27T00:15:13,V11.answer_questions.factuality_chase:llama31_8b_instruct_openrouter,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0006_row_0002_core_q,748,0,748,203,203,951,1.8885,0.02,0.02,0.03,USD,2.105e-05
2026-07-27T00:15:13,V11.answer_questions.factuality_chase:llama31_8b_instruct_openrouter,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0006_row_0002_risk_01_q,717,0,717,238,238,955,2.1068,0.02,0.02,0.03,USD,2.148e-05
2026-07-27T00:15:13,V11.answer_questions.factuality_chase:llama31_8b_instruct_openrouter,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0006_row_0001_core_q,717,0,717,292,292,1009,2.3736,0.02,0.02,0.03,USD,2.31e-05
2026-07-27T00:15:13,V11.answer_questions.factuality_chase:llama31_8b_instruct_openrouter,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0006_row_0003_core_q,773,0,773,275,275,1048,2.4111,0.02,0.02,0.03,USD,2.371e-05
2026-07-27T00:15:15,V11.answer_questions.factuality_chase:llama31_8b_instruct_openrouter,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0006_row_0003_risk_01_q,710,0,710,243,243,953,1.9078,0.02,0.02,0.03,USD,2.149e-05
2026-07-27T00:15:15,V11.answer_questions.factuality_chase:llama31_8b_instruct_openrouter,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0006_row_0003_risk_02_q,798,0,798,227,227,1025,1.7877,0.02,0.02,0.03,USD,2.277e-05
2026-07-27T00:15:15,V11.answer_questions.factuality_chase:llama31_8b_instruct_openrouter,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0006_row_0004_core_q,733,0,733,278,278,1011,2.1019,0.02,0.02,0.03,USD,2.3e-05
2026-07-27T00:15:16,V11.answer_questions.factuality_chase:llama31_8b_instruct_openrouter,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0006_row_0004_risk_01_q,752,0,752,299,299,1051,2.2499,0.02,0.02,0.03,USD,2.401e-05
2026-07-27T00:15:17,V11.answer_questions.factuality_chase:llama31_8b_instruct_openrouter,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0006_row_0004_risk_02_q,717,608,109,267,267,984,2.0708,0.02,0.02,0.03,USD,2.235e-05
2026-07-27T00:15:17,V11.answer_questions.factuality_chase:llama31_8b_instruct_openrouter,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0006_row_0005_core_q,735,0,735,264,264,999,2.0276,0.02,0.02,0.03,USD,2.262e-05
2026-07-27T00:15:18,V11.answer_questions.factuality_chase:llama31_8b_instruct_openrouter,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0035_row_0001_core_q,809,0,809,274,274,1083,2.2115,0.02,0.02,0.03,USD,2.44e-05
2026-07-27T00:15:18,V11.answer_questions.factuality_chase:llama31_8b_instruct_openrouter,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0035_row_0002_core_q,816,0,816,295,295,1111,2.2283,0.02,0.02,0.03,USD,2.517e-05
2026-07-27T00:15:18,V11.answer_questions.factuality_chase:llama31_8b_instruct_openrouter,openrouter,meta-llama/llama-3.1-8b-instruct,laysumm_elife_0035_row_0002_risk_01_q,818,448,370,207,207,1025,1.6475,0.02,0.02,0.03,USD,2.257e-05
