time,stage,provider,model,item_id,prompt_tokens,cached_prompt_tokens,billable_prompt_tokens,completion_tokens,billable_output_tokens,total_tokens,elapsed_seconds,input_price_per_1m,cached_input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-07-26T23:50:02,V11.generate_summary.factuality_chase:qwen25_7b_instruct_openrouter,openrouter,qwen/qwen-2.5-7b-instruct,laysumm_plos_0285,4575,0,4575,849,849,5424,8.357,0.04,0.04,0.1,USD,0.0002679
2026-07-26T23:50:04,V11.generate_summary.factuality_chase:qwen25_7b_instruct_openrouter,openrouter,qwen/qwen-2.5-7b-instruct,laysumm_plos_0209,4740,0,4740,1011,1011,5751,9.8558,0.04,0.04,0.1,USD,0.0002907
2026-07-26T23:50:08,V11.generate_summary.factuality_chase:qwen25_7b_instruct_openrouter,openrouter,qwen/qwen-2.5-7b-instruct,laysumm_plos_0051,4392,0,4392,722,722,5114,13.8005,0.04,0.04,0.1,USD,0.00024788
2026-07-26T23:50:09,V11.generate_summary.factuality_chase:qwen25_7b_instruct_openrouter,openrouter,qwen/qwen-2.5-7b-instruct,laysumm_plos_0563,4027,0,4027,775,775,4802,14.895,0.04,0.04,0.1,USD,0.00023858
2026-07-26T23:50:11,V11.generate_summary.qwen25_7b_instruct_openrouter.expand_length.factuality_chase,openrouter,qwen/qwen-2.5-7b-instruct,laysumm_plos_0285:expand:1,4327,0,4327,907,907,5234,8.4701,0.04,0.04,0.1,USD,0.00026378
2026-07-26T23:50:12,V11.generate_summary.factuality_chase:qwen25_7b_instruct_openrouter,openrouter,qwen/qwen-2.5-7b-instruct,laysumm_plos_0228,4545,0,4545,819,819,5364,8.1348,0.04,0.04,0.1,USD,0.0002637
2026-07-26T23:50:18,V11.generate_summary.qwen25_7b_instruct_openrouter.expand_length.factuality_chase,openrouter,qwen/qwen-2.5-7b-instruct,laysumm_plos_0563:expand:1,3846,0,3846,801,801,4647,9.1177,0.04,0.04,0.1,USD,0.00023394
2026-07-26T23:50:24,V11.generate_summary.qwen25_7b_instruct_openrouter.expand_length.factuality_chase,openrouter,qwen/qwen-2.5-7b-instruct,laysumm_plos_0051:expand:1,4081,0,4081,796,796,4877,16.2549,0.04,0.04,0.1,USD,0.00024284
2026-07-26T23:50:26,V11.generate_summary.qwen25_7b_instruct_openrouter.expand_length.factuality_chase,openrouter,qwen/qwen-2.5-7b-instruct,laysumm_plos_0563:expand:2,3872,0,3872,884,884,4756,7.7753,0.04,0.04,0.1,USD,0.00024328
2026-07-26T23:50:29,V11.generate_summary.qwen25_7b_instruct_openrouter.expand_length.factuality_chase,openrouter,qwen/qwen-2.5-7b-instruct,laysumm_plos_0228:expand:1,4243,0,4243,845,845,5088,16.9238,0.04,0.04,0.1,USD,0.00025422
2026-07-26T23:50:30,V11.generate_summary.qwen25_7b_instruct_openrouter.expand_length.factuality_chase,openrouter,qwen/qwen-2.5-7b-instruct,laysumm_plos_0285:expand:2,4385,0,4385,935,935,5320,18.663,0.04,0.04,0.1,USD,0.0002689
2026-07-26T23:50:33,V11.generate_summary.qwen25_7b_instruct_openrouter.expand_length.factuality_chase,openrouter,qwen/qwen-2.5-7b-instruct,laysumm_plos_0051:expand:2,4155,0,4155,796,796,4951,9.0501,0.04,0.04,0.1,USD,0.0002458
2026-07-26T23:50:37,V11.generate_summary.factuality_chase:qwen25_7b_instruct_openrouter,openrouter,qwen/qwen-2.5-7b-instruct,laysumm_elife_0163,3774,0,3774,540,540,4314,10.8097,0.04,0.04,0.1,USD,0.00020496
