time,stage,provider,model,item_id,prompt_tokens,cached_prompt_tokens,billable_prompt_tokens,completion_tokens,billable_output_tokens,total_tokens,elapsed_seconds,input_price_per_1m,cached_input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-19T00:55:01,V10.rewrite_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0209,6393,0,6393,1301,1301,7694,6.3812,0.3,0.03,2.5,USD,0.0051704
2026-06-19T00:55:01,V10.rewrite_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0228,6718,0,6718,1379,1379,8097,6.6695,0.3,0.03,2.5,USD,0.0054629
2026-06-19T00:55:02,V10.rewrite_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0051,6216,0,6216,1480,1480,7696,6.9915,0.3,0.03,2.5,USD,0.0055648
2026-06-19T00:55:05,V10.rewrite_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0178,5862,0,5862,2198,2198,8060,10.0992,0.3,0.03,2.5,USD,0.0072536
2026-06-19T00:55:07,V10.rewrite_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0457,5603,0,5603,1106,1106,6709,5.4674,0.3,0.03,2.5,USD,0.0044459
2026-06-19T00:55:08,V10.rewrite_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0501,6198,0,6198,1308,1308,7506,6.2766,0.3,0.03,2.5,USD,0.0051294
2026-06-19T00:55:08,V10.rewrite_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0285,6629,0,6629,1392,1392,8021,6.9684,0.3,0.03,2.5,USD,0.0054687
2026-06-19T00:55:12,V10.rewrite_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_1116,5782,0,5782,1195,1195,6977,5.5773,0.3,0.03,2.5,USD,0.0047221
2026-06-19T00:55:13,V10.rewrite_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0563,5228,0,5228,1554,1554,6782,7.7681,0.3,0.03,2.5,USD,0.0054534
2026-06-19T00:55:14,V10.rewrite_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0006,5525,0,5525,1239,1239,6764,6.1473,0.3,0.03,2.5,USD,0.004755
2026-06-19T00:55:15,V10.rewrite_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_1309,6460,0,6460,1472,1472,7932,6.6787,0.3,0.03,2.5,USD,0.005618
2026-06-19T00:55:18,V10.rewrite_summary.gemini25_flash_non_thinking.expand_length.factuality_chase,gemini,gemini-2.5-flash,laysumm_plos_0563:expand:1,3896,0,3896,1055,1055,4951,5.0364,0.3,0.03,2.5,USD,0.0038063
2026-06-19T00:55:19,V10.rewrite_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0026,6255,0,6255,1317,1317,7572,6.14,0.3,0.03,2.5,USD,0.005169
2026-06-19T00:55:20,V10.rewrite_summary.gemini25_flash_non_thinking.expand_length.factuality_chase,gemini,gemini-2.5-flash,laysumm_plos_1309:expand:1,5387,0,5387,1220,1220,6607,5.505,0.3,0.03,2.5,USD,0.0046661
2026-06-19T00:55:20,V10.rewrite_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0028,6059,0,6059,1257,1257,7316,5.9283,0.3,0.03,2.5,USD,0.0049602
