time,stage,provider,model,item_id,prompt_tokens,cached_prompt_tokens,billable_prompt_tokens,completion_tokens,billable_output_tokens,total_tokens,elapsed_seconds,input_price_per_1m,cached_input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-16T01:10:22,module1.candidate_af:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051:chunk0,2290,0,2290,885,885,3175,5.1743,0.5,0.05,3.0,USD,0.0038
2026-06-16T01:10:23,module1.candidate_af:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0228:chunk0,1960,0,1960,876,876,2836,5.4989,0.5,0.05,3.0,USD,0.003608
2026-06-16T01:10:23,module1.candidate_af:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0285:chunk0,2093,0,2093,917,917,3010,5.6034,0.5,0.05,3.0,USD,0.0037975
2026-06-16T01:10:23,module1.candidate_af:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0563:chunk0,2162,0,2162,973,973,3135,5.8156,0.5,0.05,3.0,USD,0.004
2026-06-16T01:10:23,module1.candidate_af:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0178:chunk0,2251,0,2251,955,955,3206,5.8358,0.5,0.05,3.0,USD,0.0039905
2026-06-16T01:10:23,module1.candidate_af:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0457:chunk0,2101,0,2101,944,944,3045,5.9481,0.5,0.05,3.0,USD,0.0038825
2026-06-16T01:10:24,module1.candidate_af:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0209:chunk0,2131,0,2131,1068,1068,3199,6.4413,0.5,0.05,3.0,USD,0.0042695
2026-06-16T01:10:24,module1.candidate_af:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0501:chunk0,2211,0,2211,1185,1185,3396,7.2849,0.5,0.05,3.0,USD,0.0046605
2026-06-16T01:10:27,module1.candidate_af:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0228:chunk1,2011,0,2011,724,724,2735,4.4667,0.5,0.05,3.0,USD,0.0031775
2026-06-16T01:10:27,module1.candidate_af:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0178:chunk1,1914,0,1914,788,788,2702,4.2396,0.5,0.05,3.0,USD,0.003321
