official_rank,team,ROUGE,BLEU,METEOR,BERTScore,FKGL,DCRS,CLI,LENS,AlignScore,SummaC
1,SUWMIT,0.370,10.070,0.308,0.864,11.740,9.080,12.580,72.610,0.750,0.682
2,Baseline-llama3-8B-sft,0.366,9.860,0.314,0.863,12.200,9.250,12.980,72.860,0.722,0.644
3,Baseline-qwen2.5-7B-sft,0.352,8.740,0.303,0.870,12.710,9.650,13.700,60.220,0.754,0.644
4,BDA-UCM,0.334,8.080,0.294,0.870,12.320,9.260,13.200,64.070,0.691,0.590
5,MetinOZU,0.330,6.950,0.290,0.857,16.450,11.220,17.010,34.860,0.881,0.920
6,MIRAGES,0.288,4.630,0.230,0.846,11.710,8.460,11.990,71.270,0.681,0.605
7,TupiQ,0.335,7.160,0.268,0.862,13.440,10.590,13.480,43.670,0.762,0.642
8,LaySummX,0.321,5.440,0.253,0.855,12.330,9.510,13.380,80.460,0.675,0.521
9,CUTN_Bio,0.268,3.250,0.226,0.848,10.520,8.840,11.430,84.140,0.589,0.549
10,Aard,0.319,5.450,0.293,0.851,14.560,10.020,15.360,71.510,0.695,0.509
11,LTRC,0.288,4.270,0.222,0.850,13.360,9.300,13.290,79.340,0.601,0.476
12,5cNLP,0.333,6.140,0.268,0.859,16.070,10.400,15.340,76.050,0.631,0.549
13,RainCityNLP,0.284,4.870,0.241,0.840,16.740,11.660,16.240,9.410,0.612,0.653
14,SXZ,0.165,1.330,0.153,0.801,12.590,11.830,13.290,6.560,0.862,0.528
15,demo,0.165,1.330,0.153,0.801,12.590,11.830,13.290,6.560,0.862,0.528
16,x2z,0.182,1.180,0.168,0.804,12.600,8.560,12.650,63.220,0.368,0.468
