variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
direct_generated,ROUGE,0.286,higher,12,RainCityNLP,0.284,0.002
direct_generated,BLEU,2.802,higher,14,CUTN_Bio,3.250,-0.448
direct_generated,METEOR,0.300,higher,4,Baseline-qwen2.5-7B-sft,0.303,-0.003
direct_generated,BERTScore,0.832,higher,14,RainCityNLP,0.840,-0.008
direct_generated,FKGL,12.670,lower,10,Baseline-qwen2.5-7B-sft,12.710,-0.040
direct_generated,DCRS,11.588,lower,14,RainCityNLP,11.660,-0.072
direct_generated,CLI,13.429,lower,11,LaySummX,13.380,0.049
direct_generated,LENS,59.199,higher,12,Baseline-qwen2.5-7B-sft,60.220,-1.021
direct_generated,AlignScore,0.421,higher,16,x2z,0.368,0.053
direct_generated,SummaC,0.512,higher,14,Aard,0.509,0.003
