variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
direct_generated,ROUGE,0.307,higher,10,Aard,0.319,-0.012
direct_generated,BLEU,4.446,higher,12,LTRC,4.270,0.176
direct_generated,METEOR,0.301,higher,4,Baseline-qwen2.5-7B-sft,0.303,-0.002
direct_generated,BERTScore,0.847,higher,12,MIRAGES,0.846,0.001
direct_generated,FKGL,13.042,lower,11,LTRC,13.360,-0.318
direct_generated,DCRS,11.624,lower,14,RainCityNLP,11.660,-0.036
direct_generated,CLI,13.921,lower,13,Baseline-qwen2.5-7B-sft,13.700,0.221
direct_generated,LENS,76.660,higher,4,5cNLP,76.050,0.610
direct_generated,AlignScore,0.530,higher,16,CUTN_Bio,0.589,-0.059
direct_generated,SummaC,0.482,higher,15,LTRC,0.476,0.006
