article_id,source_dataset,original_index,model_key,sentence_count,mean_sentence_alignscore,min_sentence_alignscore,low_sentence_count
laysumm_elife_0026,eLife,26,gpt41_mini,16,0.656216,0.112836,6
laysumm_elife_0163,eLife,163,gpt41_mini,16,0.765415,0.35823,5
laysumm_plos_0209,PLOS,209,gpt41_mini,16,0.767211,0.056083,5
laysumm_plos_0051,PLOS,51,gpt41_mini,17,0.794177,0.406867,5
laysumm_plos_1309,PLOS,1309,gpt41_mini,16,0.709948,0.045761,4
laysumm_plos_0457,PLOS,457,gpt41_mini,16,0.830034,0.529284,4
laysumm_plos_0563,PLOS,563,gpt41_mini,14,0.766348,0.061741,3
laysumm_elife_0057,eLife,57,gpt41_mini,17,0.812718,0.075543,3
laysumm_elife_0006,eLife,6,gpt41_mini,18,0.835932,0.109203,2
laysumm_plos_0285,PLOS,285,gpt41_mini,15,0.848795,0.368598,2
laysumm_elife_0062,eLife,62,gpt41_mini,16,0.871197,0.34243,2
laysumm_elife_0188,eLife,188,gpt41_mini,16,0.911549,0.245413,2
laysumm_plos_1116,PLOS,1116,gpt41_mini,18,0.917161,0.40929,2
laysumm_plos_0228,PLOS,228,gpt41_mini,21,0.869102,0.033784,1
laysumm_elife_0070,eLife,70,gpt41_mini,18,0.88308,0.465576,1
laysumm_plos_0501,PLOS,501,gpt41_mini,16,0.889636,0.278292,1
laysumm_elife_0035,eLife,35,gpt41_mini,14,0.902721,0.646891,1
laysumm_plos_0178,PLOS,178,gpt41_mini,16,0.923207,0.585797,1
laysumm_elife_0189,eLife,189,gpt41_mini,15,0.921601,0.712496,0
laysumm_elife_0028,eLife,28,gpt41_mini,16,0.929719,0.652841,0
laysumm_elife_0026,eLife,26,gemini3_flash_preview_minimal,16,0.44705,0.04937,12
laysumm_plos_0051,PLOS,51,gemini3_flash_preview_minimal,16,0.631837,0.046098,8
laysumm_plos_1309,PLOS,1309,gemini3_flash_preview_minimal,14,0.629021,0.054165,6
laysumm_elife_0163,eLife,163,gemini3_flash_preview_minimal,16,0.647773,0.066352,6
laysumm_elife_0070,eLife,70,gemini3_flash_preview_minimal,16,0.65749,0.130402,6
laysumm_plos_0563,PLOS,563,gemini3_flash_preview_minimal,14,0.697811,0.106652,5
laysumm_plos_0209,PLOS,209,gemini3_flash_preview_minimal,18,0.698662,0.111153,5
laysumm_plos_0457,PLOS,457,gemini3_flash_preview_minimal,14,0.759762,0.39179,5
laysumm_elife_0189,eLife,189,gemini3_flash_preview_minimal,16,0.782279,0.322865,5
laysumm_elife_0188,eLife,188,gemini3_flash_preview_minimal,17,0.797828,0.047128,4
laysumm_elife_0062,eLife,62,gemini3_flash_preview_minimal,18,0.84628,0.440501,3
laysumm_elife_0006,eLife,6,gemini3_flash_preview_minimal,16,0.853296,0.495285,3
laysumm_elife_0057,eLife,57,gemini3_flash_preview_minimal,18,0.815117,0.043825,2
laysumm_plos_1116,PLOS,1116,gemini3_flash_preview_minimal,18,0.853885,0.067584,2
laysumm_plos_0501,PLOS,501,gemini3_flash_preview_minimal,16,0.863512,0.23168,2
laysumm_elife_0028,eLife,28,gemini3_flash_preview_minimal,18,0.894574,0.293687,2
laysumm_elife_0035,eLife,35,gemini3_flash_preview_minimal,18,0.837712,0.231849,1
laysumm_plos_0285,PLOS,285,gemini3_flash_preview_minimal,14,0.893513,0.645121,1
laysumm_plos_0178,PLOS,178,gemini3_flash_preview_minimal,16,0.921745,0.544836,1
laysumm_plos_0228,PLOS,228,gemini3_flash_preview_minimal,14,0.935212,0.678963,0
laysumm_elife_0026,eLife,26,gemini25_flash_non_thinking,17,0.84078,0.303447,3
laysumm_plos_1116,PLOS,1116,gemini25_flash_non_thinking,12,0.883071,0.395996,2
laysumm_plos_1309,PLOS,1309,gemini25_flash_non_thinking,17,0.889858,0.54642,2
laysumm_plos_0209,PLOS,209,gemini25_flash_non_thinking,17,0.89821,0.415362,2
laysumm_elife_0006,eLife,6,gemini25_flash_non_thinking,18,0.893293,0.204705,1
laysumm_elife_0057,eLife,57,gemini25_flash_non_thinking,18,0.898156,0.118516,1
laysumm_elife_0189,eLife,189,gemini25_flash_non_thinking,15,0.913399,0.054796,1
laysumm_elife_0062,eLife,62,gemini25_flash_non_thinking,18,0.916385,0.137694,1
laysumm_plos_0457,PLOS,457,gemini25_flash_non_thinking,14,0.920496,0.31426,1
laysumm_elife_0163,eLife,163,gemini25_flash_non_thinking,16,0.927928,0.449297,1
laysumm_plos_0501,PLOS,501,gemini25_flash_non_thinking,16,0.930642,0.482068,1
laysumm_plos_0228,PLOS,228,gemini25_flash_non_thinking,16,0.93341,0.304804,1
laysumm_elife_0070,eLife,70,gemini25_flash_non_thinking,21,0.947449,0.611763,1
laysumm_plos_0051,PLOS,51,gemini25_flash_non_thinking,18,0.92868,0.743953,0
laysumm_elife_0035,eLife,35,gemini25_flash_non_thinking,15,0.950939,0.720443,0
laysumm_plos_0178,PLOS,178,gemini25_flash_non_thinking,13,0.956757,0.796598,0
laysumm_elife_0028,eLife,28,gemini25_flash_non_thinking,15,0.958887,0.772953,0
laysumm_plos_0285,PLOS,285,gemini25_flash_non_thinking,18,0.966786,0.902478,0
laysumm_plos_0563,PLOS,563,gemini25_flash_non_thinking,14,0.978607,0.862491,0
laysumm_elife_0188,eLife,188,gemini25_flash_non_thinking,17,0.991113,0.946591,0
