variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.331,higher,7,MetinOZU,0.330,0.001
initial,BLEU,6.306,higher,7,5cNLP,6.140,0.166
initial,METEOR,0.274,higher,7,TupiQ,0.268,0.006
initial,BERTScore,0.846,higher,13,MIRAGES,0.846,-0.000
initial,FKGL,15.061,lower,14,Aard,14.560,0.501
initial,DCRS,12.935,lower,17,SXZ,11.830,1.105
initial,CLI,16.277,lower,16,RainCityNLP,16.240,0.037
initial,LENS,66.194,higher,9,BDA-UCM,64.070,2.124
initial,AlignScore,0.706,higher,8,Aard,0.695,0.011
initial,SummaC,0.582,higher,9,BDA-UCM,0.590,-0.008
rewritten,ROUGE,0.334,higher,5,BDA-UCM,0.334,0.000
rewritten,BLEU,6.802,higher,7,MetinOZU,6.950,-0.148
rewritten,METEOR,0.284,higher,7,MetinOZU,0.290,-0.006
rewritten,BERTScore,0.846,higher,13,MIRAGES,0.846,-0.000
rewritten,FKGL,15.024,lower,14,Aard,14.560,0.464
rewritten,DCRS,12.957,lower,17,SXZ,11.830,1.127
rewritten,CLI,16.345,lower,16,RainCityNLP,16.240,0.105
rewritten,LENS,65.162,higher,9,BDA-UCM,64.070,1.092
rewritten,AlignScore,0.702,higher,8,Aard,0.695,0.007
rewritten,SummaC,0.583,higher,9,BDA-UCM,0.590,-0.007
