variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.313,higher,10,Aard,0.319,-0.006
initial,BLEU,5.326,higher,10,LaySummX,5.440,-0.114
initial,METEOR,0.271,higher,7,TupiQ,0.268,0.003
initial,BERTScore,0.841,higher,13,RainCityNLP,0.840,0.001
initial,FKGL,16.161,lower,15,5cNLP,16.070,0.091
initial,DCRS,13.470,lower,17,SXZ,11.830,1.640
initial,CLI,17.141,lower,17,MetinOZU,17.010,0.131
initial,LENS,65.667,higher,9,BDA-UCM,64.070,1.597
initial,AlignScore,0.710,higher,8,Baseline-llama3-8B-sft,0.722,-0.012
initial,SummaC,0.630,higher,7,TupiQ,0.642,-0.012
rewritten,ROUGE,0.313,higher,10,Aard,0.319,-0.006
rewritten,BLEU,5.612,higher,8,Aard,5.450,0.162
rewritten,METEOR,0.273,higher,7,TupiQ,0.268,0.005
rewritten,BERTScore,0.840,higher,14,RainCityNLP,0.840,-0.000
rewritten,FKGL,16.356,lower,15,MetinOZU,16.450,-0.094
rewritten,DCRS,13.725,lower,17,SXZ,11.830,1.895
rewritten,CLI,17.764,lower,17,MetinOZU,17.010,0.754
rewritten,LENS,61.634,higher,11,Baseline-qwen2.5-7B-sft,60.220,1.414
rewritten,AlignScore,0.751,higher,6,SUWMIT,0.750,0.001
rewritten,SummaC,0.703,higher,2,SUWMIT,0.682,0.021
