final_rank,team,variant,published_official_rank,raw_ROUGE,raw_BLEU,raw_METEOR,raw_BERTScore,raw_FKGL,raw_DCRS,raw_CLI,raw_LENS,raw_AlignScore,raw_SummaC,norm_ROUGE,norm_BLEU,norm_METEOR,norm_BERTScore,norm_FKGL,norm_DCRS,norm_CLI,norm_LENS,norm_AlignScore,norm_SummaC,Relevance,Readability,Factuality,Final
1,SUWMIT,,1,0.370,10.070,0.308,0.864,11.740,9.080,12.580,72.610,0.750,0.682,1.0000,1.0000,0.9627,0.9130,0.8039,0.8823,0.8184,0.8514,0.7446,0.4735,0.9689,0.8390,0.6090,0.8057
2,Baseline-llama3-8B-sft,,2,0.366,9.860,0.314,0.863,12.200,9.250,12.980,72.860,0.722,0.644,0.9805,0.9764,1.0000,0.8986,0.7299,0.8500,0.7553,0.8546,0.6901,0.3894,0.9639,0.7974,0.5397,0.7670
3,Baseline-qwen2.5-7B-sft,,3,0.352,8.740,0.303,0.870,12.710,9.650,13.700,60.220,0.754,0.644,0.9122,0.8504,0.9317,1.0000,0.6479,0.7740,0.6416,0.6917,0.7524,0.3894,0.9236,0.6888,0.5709,0.7278
4,BDA-UCM,,4,0.334,8.080,0.294,0.870,12.320,9.260,13.200,64.070,0.691,0.590,0.8244,0.7762,0.8758,1.0000,0.7106,0.8481,0.7206,0.7413,0.6296,0.2699,0.8691,0.7551,0.4498,0.6913
5,MetinOZU,,5,0.330,6.950,0.290,0.857,16.450,11.220,17.010,34.860,0.881,0.920,0.8049,0.6490,0.8509,0.8116,0.0466,0.4758,0.1190,0.3648,1.0000,1.0000,0.7791,0.2516,1.0000,0.6769
6,TupiQ,,7,0.335,7.160,0.268,0.862,13.440,10.590,13.480,43.670,0.762,0.642,0.8293,0.6727,0.7143,0.8841,0.5305,0.5955,0.6763,0.4783,0.7680,0.3850,0.7751,0.5702,0.5765,0.6406
7,MIRAGES,,6,0.288,4.630,0.230,0.846,11.710,8.460,11.990,71.270,0.681,0.605,0.6000,0.3881,0.4783,0.6522,0.8087,1.0000,0.9116,0.8341,0.6101,0.3031,0.5296,0.8886,0.4566,0.6249
8,LaySummX,,8,0.321,5.440,0.253,0.855,12.330,9.510,13.380,80.460,0.675,0.521,0.7610,0.4792,0.6211,0.7826,0.7090,0.8006,0.6921,0.9526,0.5984,0.1173,0.6610,0.7886,0.3578,0.6025
9,CUTN_Bio,,9,0.268,3.250,0.226,0.848,10.520,8.840,11.430,84.140,0.589,0.549,0.5024,0.2328,0.4534,0.6812,1.0000,0.9278,1.0000,1.0000,0.4308,0.1792,0.4675,0.9820,0.3050,0.5848
10,Aard,,10,0.319,5.450,0.293,0.851,14.560,10.020,15.360,71.510,0.695,0.509,0.7512,0.4803,0.8696,0.7246,0.3505,0.7037,0.3795,0.8372,0.6374,0.0907,0.7064,0.5677,0.3641,0.5461
11,5cNLP,,12,0.333,6.140,0.268,0.859,16.070,10.400,15.340,76.050,0.631,0.549,0.8195,0.5579,0.7143,0.8406,0.1077,0.6316,0.3827,0.8957,0.5127,0.1792,0.7331,0.5044,0.3459,0.5278
12,LTRC,,11,0.288,4.270,0.222,0.850,13.360,9.300,13.290,79.340,0.601,0.476,0.6000,0.3476,0.4286,0.7101,0.5434,0.8405,0.7063,0.9381,0.4542,0.0177,0.5216,0.7571,0.2359,0.5049
13,thesis_laysumm (rewritten),rewritten,,0.313,5.612,0.273,0.840,16.356,13.725,17.764,61.634,0.751,0.703,0.7222,0.4986,0.7432,0.5597,0.0618,0.0000,0.0000,0.7099,0.7471,0.5195,0.6309,0.1929,0.6333,0.4857
14,thesis_laysumm (generated),generated,,0.313,5.326,0.271,0.841,16.161,13.470,17.141,65.667,0.710,0.630,0.7236,0.4663,0.7307,0.5766,0.0931,0.0485,0.0983,0.7619,0.6663,0.3587,0.6243,0.2504,0.5125,0.4624
15,RainCityNLP,,13,0.284,4.870,0.241,0.840,16.740,11.660,16.240,9.410,0.612,0.653,0.5805,0.4151,0.5466,0.5652,0.0000,0.3923,0.2406,0.0367,0.4756,0.4093,0.5268,0.1674,0.4425,0.3789
16,SXZ,,14,0.165,1.330,0.153,0.801,12.590,11.830,13.290,6.560,0.862,0.528,0.0000,0.0169,0.0000,0.0000,0.6672,0.3600,0.7063,0.0000,0.9630,0.1327,0.0042,0.4334,0.5479,0.3285
17,demo,,15,0.165,1.330,0.153,0.801,12.590,11.830,13.290,6.560,0.862,0.528,0.0000,0.0169,0.0000,0.0000,0.6672,0.3600,0.7063,0.0000,0.9630,0.1327,0.0042,0.4334,0.5479,0.3285
18,x2z,,16,0.182,1.180,0.168,0.804,12.600,8.560,12.650,63.220,0.368,0.468,0.0829,0.0000,0.0932,0.0435,0.6656,0.9810,0.8074,0.7303,0.0000,0.0000,0.0549,0.7961,0.0000,0.2837
