variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.318,higher,10,Aard,0.319,-0.001
initial,BLEU,4.322,higher,12,LTRC,4.270,0.052
initial,METEOR,0.321,higher,1,Baseline-llama3-8B-sft,0.314,0.007
initial,BERTScore,0.849,higher,11,LTRC,0.850,-0.001
initial,FKGL,13.453,lower,13,TupiQ,13.440,0.013
initial,DCRS,11.612,lower,14,RainCityNLP,11.660,-0.048
initial,CLI,13.641,lower,12,Baseline-qwen2.5-7B-sft,13.700,-0.059
initial,LENS,75.284,higher,5,5cNLP,76.050,-0.766
initial,AlignScore,0.536,higher,16,CUTN_Bio,0.589,-0.053
initial,SummaC,0.484,higher,15,LTRC,0.476,0.008
rewritten,ROUGE,0.301,higher,10,MIRAGES,0.288,0.013
rewritten,BLEU,4.308,higher,12,LTRC,4.270,0.038
rewritten,METEOR,0.332,higher,1,Baseline-llama3-8B-sft,0.314,0.018
rewritten,BERTScore,0.843,higher,13,RainCityNLP,0.840,0.003
rewritten,FKGL,14.179,lower,13,Aard,14.560,-0.381
rewritten,DCRS,12.268,lower,17,SXZ,11.830,0.438
rewritten,CLI,14.973,lower,13,5cNLP,15.340,-0.367
rewritten,LENS,67.217,higher,9,BDA-UCM,64.070,3.147
rewritten,AlignScore,0.606,higher,14,LTRC,0.601,0.005
rewritten,SummaC,0.495,higher,15,Aard,0.509,-0.014
