final_rank,team,variant,published_official_rank,raw_ROUGE,raw_BLEU,raw_METEOR,raw_BERTScore,raw_FKGL,raw_DCRS,raw_CLI,raw_LENS,raw_AlignScore,raw_SummaC,norm_ROUGE,norm_BLEU,norm_METEOR,norm_BERTScore,norm_FKGL,norm_DCRS,norm_CLI,norm_LENS,norm_AlignScore,norm_SummaC,Relevance,Readability,Factuality,Final
1,SUWMIT,,1,0.370,10.070,0.308,0.864,11.740,9.080,12.580,72.610,0.750,0.682,1.0000,1.0000,0.8675,0.9130,0.8039,0.8372,0.7939,0.8514,0.7446,0.4735,0.9451,0.8216,0.6090,0.7919
2,Baseline-llama3-8B-sft,,2,0.366,9.860,0.314,0.863,12.200,9.250,12.980,72.860,0.722,0.644,0.9805,0.9764,0.9011,0.8986,0.7299,0.7925,0.7222,0.8546,0.6901,0.3894,0.9391,0.7748,0.5397,0.7512
3,Baseline-qwen2.5-7B-sft,,3,0.352,8.740,0.303,0.870,12.710,9.650,13.700,60.220,0.754,0.644,0.9122,0.8504,0.8396,1.0000,0.6479,0.6875,0.5932,0.6917,0.7524,0.3894,0.9005,0.6551,0.5709,0.7088
4,BDA-UCM,,4,0.334,8.080,0.294,0.870,12.320,9.260,13.200,64.070,0.691,0.590,0.8244,0.7762,0.7892,1.0000,0.7106,0.7899,0.6828,0.7413,0.6296,0.2699,0.8474,0.7312,0.4498,0.6761
5,MetinOZU,,5,0.330,6.950,0.290,0.857,16.450,11.220,17.010,34.860,0.881,0.920,0.8049,0.6490,0.7668,0.8116,0.0466,0.2752,0.0000,0.3648,1.0000,1.0000,0.7581,0.1716,1.0000,0.6432
6,MIRAGES,,6,0.288,4.630,0.230,0.846,11.710,8.460,11.990,71.270,0.681,0.605,0.6000,0.3881,0.4310,0.6522,0.8087,1.0000,0.8996,0.8341,0.6101,0.3031,0.5178,0.8856,0.4566,0.6200
7,TupiQ,,7,0.335,7.160,0.268,0.862,13.440,10.590,13.480,43.670,0.762,0.642,0.8293,0.6727,0.6437,0.8841,0.5305,0.4406,0.6326,0.4783,0.7680,0.3850,0.7574,0.5205,0.5765,0.6181
8,LaySummX,,8,0.321,5.440,0.253,0.855,12.330,9.510,13.380,80.460,0.675,0.521,0.7610,0.4792,0.5597,0.7826,0.7090,0.7242,0.6505,0.9526,0.5984,0.1173,0.6456,0.7591,0.3578,0.5875
9,CUTN_Bio,,9,0.268,3.250,0.226,0.848,10.520,8.840,11.430,84.140,0.589,0.549,0.5024,0.2328,0.4086,0.6812,1.0000,0.9002,1.0000,1.0000,0.4308,0.1792,0.4563,0.9751,0.3050,0.5788
10,Aard,,10,0.319,5.450,0.293,0.851,14.560,10.020,15.360,71.510,0.695,0.509,0.7512,0.4803,0.7836,0.7246,0.3505,0.5903,0.2957,0.8372,0.6374,0.0907,0.6849,0.5184,0.3641,0.5225
11,5cNLP,,12,0.333,6.140,0.268,0.859,16.070,10.400,15.340,76.050,0.631,0.549,0.8195,0.5579,0.6437,0.8406,0.1077,0.4905,0.2993,0.8957,0.5127,0.1792,0.7154,0.4483,0.3459,0.5032
12,LTRC,,11,0.288,4.270,0.222,0.850,13.360,9.300,13.290,79.340,0.601,0.476,0.6000,0.3476,0.3862,0.7101,0.5434,0.7794,0.6667,0.9381,0.4542,0.0177,0.5110,0.7319,0.2359,0.4929
13,thesis_laysumm (generated),generated,,0.318,4.322,0.321,0.849,13.453,11.612,13.641,75.284,0.536,0.484,0.7448,0.3535,0.9386,0.7020,0.5285,0.1723,0.6037,0.8859,0.3284,0.0360,0.6847,0.5476,0.1822,0.4715
14,thesis_laysumm (rewritten),rewritten,,0.301,4.308,0.332,0.843,14.179,12.268,14.973,67.217,0.606,0.495,0.6651,0.3519,1.0000,0.6067,0.4117,0.0000,0.3651,0.7819,0.4639,0.0607,0.6559,0.3897,0.2623,0.4360
15,RainCityNLP,,13,0.284,4.870,0.241,0.840,16.740,11.660,16.240,9.410,0.612,0.653,0.5805,0.4151,0.4925,0.5652,0.0000,0.1596,0.1380,0.0367,0.4756,0.4093,0.5133,0.0836,0.4425,0.3465
16,SXZ,,14,0.165,1.330,0.153,0.801,12.590,11.830,13.290,6.560,0.862,0.528,0.0000,0.0169,0.0000,0.0000,0.6672,0.1150,0.6667,0.0000,0.9630,0.1327,0.0042,0.3622,0.5479,0.3048
17,demo,,15,0.165,1.330,0.153,0.801,12.590,11.830,13.290,6.560,0.862,0.528,0.0000,0.0169,0.0000,0.0000,0.6672,0.1150,0.6667,0.0000,0.9630,0.1327,0.0042,0.3622,0.5479,0.3048
18,x2z,,16,0.182,1.180,0.168,0.804,12.600,8.560,12.650,63.220,0.368,0.468,0.0829,0.0000,0.0840,0.0435,0.6656,0.9737,0.7814,0.7303,0.0000,0.0000,0.0526,0.7878,0.0000,0.2801
