variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.302,higher,10,MIRAGES,0.288,0.014
initial,BLEU,5.744,higher,8,Aard,5.450,0.294
initial,METEOR,0.241,higher,11,RainCityNLP,0.241,-0.000
initial,BERTScore,0.847,higher,12,CUTN_Bio,0.848,-0.001
initial,FKGL,11.746,lower,4,SUWMIT,11.740,0.006
initial,DCRS,13.301,lower,17,SXZ,11.830,1.471
initial,CLI,16.257,lower,16,RainCityNLP,16.240,0.017
initial,LENS,65.745,higher,9,BDA-UCM,64.070,1.675
initial,AlignScore,0.938,higher,1,MetinOZU,0.881,0.057
initial,SummaC,0.901,higher,2,MetinOZU,0.920,-0.019
rewritten,ROUGE,0.317,higher,10,Aard,0.319,-0.002
rewritten,BLEU,7.410,higher,5,TupiQ,7.160,0.250
rewritten,METEOR,0.258,higher,9,LaySummX,0.253,0.005
rewritten,BERTScore,0.848,higher,11,CUTN_Bio,0.848,0.000
rewritten,FKGL,11.764,lower,4,SUWMIT,11.740,0.024
rewritten,DCRS,13.271,lower,17,SXZ,11.830,1.441
rewritten,CLI,16.134,lower,15,RainCityNLP,16.240,-0.106
rewritten,LENS,59.518,higher,12,Baseline-qwen2.5-7B-sft,60.220,-0.702
rewritten,AlignScore,0.926,higher,1,MetinOZU,0.881,0.045
rewritten,SummaC,0.902,higher,2,MetinOZU,0.920,-0.018
