variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.320,higher,9,LaySummX,0.321,-0.001
initial,BLEU,5.375,higher,10,LaySummX,5.440,-0.065
initial,METEOR,0.241,higher,11,RainCityNLP,0.241,-0.000
initial,BERTScore,0.851,higher,10,Aard,0.851,-0.000
initial,FKGL,10.602,lower,2,CUTN_Bio,10.520,0.082
initial,DCRS,12.474,lower,17,SXZ,11.830,0.644
initial,CLI,14.798,lower,13,5cNLP,15.340,-0.542
initial,LENS,75.624,higher,5,5cNLP,76.050,-0.426
initial,AlignScore,0.771,higher,4,TupiQ,0.762,0.009
initial,SummaC,0.692,higher,2,SUWMIT,0.682,0.010
rewritten,ROUGE,0.320,higher,9,LaySummX,0.321,-0.001
rewritten,BLEU,5.343,higher,10,LaySummX,5.440,-0.097
rewritten,METEOR,0.241,higher,10,RainCityNLP,0.241,0.000
rewritten,BERTScore,0.851,higher,10,Aard,0.851,-0.000
rewritten,FKGL,10.650,lower,2,CUTN_Bio,10.520,0.130
rewritten,DCRS,12.501,lower,17,SXZ,11.830,0.671
rewritten,CLI,14.760,lower,13,5cNLP,15.340,-0.580
rewritten,LENS,75.285,higher,5,5cNLP,76.050,-0.765
rewritten,AlignScore,0.773,higher,4,TupiQ,0.762,0.011
rewritten,SummaC,0.682,higher,2,SUWMIT,0.682,0.000
