variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.296,higher,10,MIRAGES,0.288,0.008
initial,BLEU,4.947,higher,10,RainCityNLP,4.870,0.077
initial,METEOR,0.242,higher,10,RainCityNLP,0.241,0.001
initial,BERTScore,0.846,higher,13,MIRAGES,0.846,-0.000
initial,FKGL,11.519,lower,2,MIRAGES,11.710,-0.191
initial,DCRS,13.512,lower,17,SXZ,11.830,1.682
initial,CLI,15.954,lower,15,RainCityNLP,16.240,-0.286
initial,LENS,68.570,higher,9,MIRAGES,71.270,-2.700
initial,AlignScore,0.862,higher,2,SXZ,0.862,0.000
initial,SummaC,0.766,higher,2,SUWMIT,0.682,0.084
rewritten,ROUGE,0.307,higher,10,Aard,0.319,-0.012
rewritten,BLEU,5.947,higher,8,5cNLP,6.140,-0.193
rewritten,METEOR,0.252,higher,10,LaySummX,0.253,-0.001
rewritten,BERTScore,0.847,higher,12,CUTN_Bio,0.848,-0.001
rewritten,FKGL,11.536,lower,2,MIRAGES,11.710,-0.174
rewritten,DCRS,13.434,lower,17,SXZ,11.830,1.604
rewritten,CLI,15.882,lower,15,RainCityNLP,16.240,-0.358
rewritten,LENS,64.920,higher,9,BDA-UCM,64.070,0.850
rewritten,AlignScore,0.863,higher,2,SXZ,0.862,0.001
rewritten,SummaC,0.773,higher,2,SUWMIT,0.682,0.091
