variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.305,higher,10,Aard,0.319,-0.014
initial,BLEU,6.159,higher,7,5cNLP,6.140,0.019
initial,METEOR,0.239,higher,11,RainCityNLP,0.241,-0.002
initial,BERTScore,0.847,higher,12,CUTN_Bio,0.848,-0.001
initial,FKGL,12.114,lower,4,Baseline-llama3-8B-sft,12.200,-0.086
initial,DCRS,13.457,lower,17,SXZ,11.830,1.627
initial,CLI,16.588,lower,16,RainCityNLP,16.240,0.348
initial,LENS,66.331,higher,9,BDA-UCM,64.070,2.261
initial,AlignScore,0.941,higher,1,MetinOZU,0.881,0.060
initial,SummaC,0.919,higher,2,MetinOZU,0.920,-0.001
rewritten,ROUGE,0.324,higher,8,LaySummX,0.321,0.003
rewritten,BLEU,8.208,higher,4,BDA-UCM,8.080,0.128
rewritten,METEOR,0.264,higher,9,TupiQ,0.268,-0.004
rewritten,BERTScore,0.848,higher,11,CUTN_Bio,0.848,0.000
rewritten,FKGL,12.019,lower,4,Baseline-llama3-8B-sft,12.200,-0.181
rewritten,DCRS,13.382,lower,17,SXZ,11.830,1.552
rewritten,CLI,16.434,lower,16,RainCityNLP,16.240,0.194
rewritten,LENS,58.473,higher,12,Baseline-qwen2.5-7B-sft,60.220,-1.747
rewritten,AlignScore,0.933,higher,1,MetinOZU,0.881,0.052
rewritten,SummaC,0.924,higher,1,MetinOZU,0.920,0.004
