variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.328,higher,8,MetinOZU,0.330,-0.002
initial,BLEU,4.564,higher,12,MIRAGES,4.630,-0.066
initial,METEOR,0.253,higher,10,LaySummX,0.253,-0.000
initial,BERTScore,0.850,higher,10,LTRC,0.850,0.000
initial,FKGL,11.965,lower,4,SUWMIT,11.740,0.225
initial,DCRS,12.990,lower,17,SXZ,11.830,1.160
initial,CLI,16.223,lower,15,RainCityNLP,16.240,-0.017
initial,LENS,68.745,higher,9,MIRAGES,71.270,-2.525
initial,AlignScore,0.867,higher,2,SXZ,0.862,0.005
initial,SummaC,0.789,higher,2,SUWMIT,0.682,0.107
rewritten,ROUGE,0.328,higher,8,MetinOZU,0.330,-0.002
rewritten,BLEU,4.495,higher,12,MIRAGES,4.630,-0.135
rewritten,METEOR,0.255,higher,9,LaySummX,0.253,0.002
rewritten,BERTScore,0.850,higher,10,LTRC,0.850,0.000
rewritten,FKGL,11.967,lower,4,SUWMIT,11.740,0.227
rewritten,DCRS,12.993,lower,17,SXZ,11.830,1.163
rewritten,CLI,16.216,lower,15,RainCityNLP,16.240,-0.024
rewritten,LENS,68.562,higher,9,MIRAGES,71.270,-2.708
rewritten,AlignScore,0.865,higher,2,SXZ,0.862,0.003
rewritten,SummaC,0.792,higher,2,SUWMIT,0.682,0.110
