variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.297,higher,10,MIRAGES,0.288,0.009
initial,BLEU,5.078,higher,10,RainCityNLP,4.870,0.208
initial,METEOR,0.230,higher,12,MIRAGES,0.230,-0.000
initial,BERTScore,0.847,higher,12,MIRAGES,0.846,0.001
initial,FKGL,11.542,lower,2,MIRAGES,11.710,-0.168
initial,DCRS,13.543,lower,17,SXZ,11.830,1.713
initial,CLI,16.117,lower,15,RainCityNLP,16.240,-0.123
initial,LENS,68.143,higher,9,MIRAGES,71.270,-3.127
initial,AlignScore,0.862,higher,2,SXZ,0.862,0.000
initial,SummaC,0.821,higher,2,MetinOZU,0.920,-0.099
rewritten,ROUGE,0.320,higher,9,Aard,0.319,0.001
rewritten,BLEU,7.134,higher,6,TupiQ,7.160,-0.026
rewritten,METEOR,0.252,higher,10,LaySummX,0.253,-0.001
rewritten,BERTScore,0.850,higher,11,LTRC,0.850,-0.000
rewritten,FKGL,11.483,lower,2,MIRAGES,11.710,-0.227
rewritten,DCRS,13.520,lower,17,SXZ,11.830,1.690
rewritten,CLI,15.946,lower,15,RainCityNLP,16.240,-0.294
rewritten,LENS,59.959,higher,12,Baseline-qwen2.5-7B-sft,60.220,-0.261
rewritten,AlignScore,0.866,higher,2,SXZ,0.862,0.004
rewritten,SummaC,0.859,higher,2,MetinOZU,0.920,-0.061
