variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,0.315,higher,10,Aard,0.319,-0.004
initial,BLEU,4.484,higher,12,MIRAGES,4.630,-0.146
initial,METEOR,0.274,higher,7,TupiQ,0.268,0.006
initial,BERTScore,0.854,higher,9,LaySummX,0.855,-0.001
initial,FKGL,13.824,lower,13,TupiQ,13.440,0.384
initial,DCRS,11.517,lower,14,RainCityNLP,11.660,-0.143
initial,CLI,13.147,lower,6,BDA-UCM,13.200,-0.053
initial,LENS,78.307,higher,4,LTRC,79.340,-1.033
initial,AlignScore,0.550,higher,16,CUTN_Bio,0.589,-0.039
initial,SummaC,0.500,higher,15,Aard,0.509,-0.009
rewritten,ROUGE,0.315,higher,10,Aard,0.319,-0.004
rewritten,BLEU,4.384,higher,12,LTRC,4.270,0.114
rewritten,METEOR,0.276,higher,7,TupiQ,0.268,0.008
rewritten,BERTScore,0.853,higher,9,LaySummX,0.855,-0.002
rewritten,FKGL,13.892,lower,13,TupiQ,13.440,0.452
rewritten,DCRS,11.661,lower,15,RainCityNLP,11.660,0.001
rewritten,CLI,12.938,lower,5,Baseline-llama3-8B-sft,12.980,-0.042
rewritten,LENS,78.005,higher,4,LTRC,79.340,-1.335
rewritten,AlignScore,0.576,higher,16,CUTN_Bio,0.589,-0.013
rewritten,SummaC,0.504,higher,15,Aard,0.509,-0.005
