variant,metric,value,direction,metric_rank_among_17,nearest_team,nearest_team_score,difference_from_nearest
initial,ROUGE,1.000,higher,1,SUWMIT,0.370,0.630
initial,BLEU,100.000,higher,1,SUWMIT,10.070,89.930
initial,METEOR,1.000,higher,1,Baseline-llama3-8B-sft,0.314,0.686
initial,BERTScore,1.000,higher,1,Baseline-qwen2.5-7B-sft,0.870,0.130
initial,FKGL,13.886,lower,13,TupiQ,13.440,0.446
initial,DCRS,12.230,lower,17,SXZ,11.830,0.400
initial,CLI,14.521,lower,13,5cNLP,15.340,-0.819
initial,LENS,61.006,higher,11,Baseline-qwen2.5-7B-sft,60.220,0.786
initial,AlignScore,0.802,higher,4,TupiQ,0.762,0.040
initial,SummaC,0.560,higher,9,CUTN_Bio,0.549,0.011
rewritten,ROUGE,1.000,higher,1,SUWMIT,0.370,0.630
rewritten,BLEU,100.000,higher,1,SUWMIT,10.070,89.930
rewritten,METEOR,1.000,higher,1,Baseline-llama3-8B-sft,0.314,0.686
rewritten,BERTScore,1.000,higher,1,Baseline-qwen2.5-7B-sft,0.870,0.130
rewritten,FKGL,13.886,lower,13,TupiQ,13.440,0.446
rewritten,DCRS,12.230,lower,17,SXZ,11.830,0.400
rewritten,CLI,14.521,lower,13,5cNLP,15.340,-0.819
rewritten,LENS,61.006,higher,11,Baseline-qwen2.5-7B-sft,60.220,0.786
rewritten,AlignScore,0.802,higher,4,TupiQ,0.762,0.040
rewritten,SummaC,0.560,higher,9,CUTN_Bio,0.549,0.011
