final_rank,team,variant,published_official_rank,raw_ROUGE,raw_BLEU,raw_METEOR,raw_BERTScore,raw_FKGL,raw_DCRS,raw_CLI,raw_LENS,raw_AlignScore,raw_SummaC,norm_ROUGE,norm_BLEU,norm_METEOR,norm_BERTScore,norm_FKGL,norm_DCRS,norm_CLI,norm_LENS,norm_AlignScore,norm_SummaC,Relevance,Readability,Factuality,Final
1,thesis_laysumm (rewritten),rewritten,,1.000,100.000,1.000,1.000,13.886,12.230,14.521,61.006,0.802,0.560,1.0000,1.0000,1.0000,1.0000,0.4589,0.0000,0.4460,0.7018,0.8458,0.2040,1.0000,0.4017,0.5249,0.6422
2,thesis_laysumm (generated),generated,,1.000,100.000,1.000,1.000,13.886,12.230,14.521,61.006,0.802,0.560,1.0000,1.0000,1.0000,1.0000,0.4589,0.0000,0.4460,0.7018,0.8458,0.2040,1.0000,0.4017,0.5249,0.6422
3,SUWMIT,,1,0.370,10.070,0.308,0.864,11.740,9.080,12.580,72.610,0.750,0.682,0.2455,0.0900,0.1830,0.3166,0.8039,0.8355,0.7939,0.8514,0.7446,0.4735,0.2088,0.8212,0.6090,0.5463
4,Baseline-llama3-8B-sft,,2,0.366,9.860,0.314,0.863,12.200,9.250,12.980,72.860,0.722,0.644,0.2407,0.0878,0.1901,0.3116,0.7299,0.7904,0.7222,0.8546,0.6901,0.3894,0.2075,0.7743,0.5397,0.5072
5,MIRAGES,,6,0.288,4.630,0.230,0.846,11.710,8.460,11.990,71.270,0.681,0.605,0.1473,0.0349,0.0909,0.2261,0.8087,1.0000,0.8996,0.8341,0.6101,0.3031,0.1248,0.8856,0.4566,0.4890
6,Baseline-qwen2.5-7B-sft,,3,0.352,8.740,0.303,0.870,12.710,9.650,13.700,60.220,0.754,0.644,0.2240,0.0765,0.1771,0.3467,0.6479,0.6843,0.5932,0.6917,0.7524,0.3894,0.2061,0.6543,0.5709,0.4771
7,CUTN_Bio,,9,0.268,3.250,0.226,0.848,10.520,8.840,11.430,84.140,0.589,0.549,0.1234,0.0209,0.0862,0.2362,1.0000,0.8992,1.0000,1.0000,0.4308,0.1792,0.1167,0.9748,0.3050,0.4655
8,BDA-UCM,,4,0.334,8.080,0.294,0.870,12.320,9.260,13.200,64.070,0.691,0.590,0.2024,0.0698,0.1665,0.3467,0.7106,0.7878,0.6828,0.7413,0.6296,0.2699,0.1964,0.7306,0.4498,0.4589
9,MetinOZU,,5,0.330,6.950,0.290,0.857,16.450,11.220,17.010,34.860,0.881,0.920,0.1976,0.0584,0.1617,0.2814,0.0466,0.2679,0.0000,0.3648,1.0000,1.0000,0.1748,0.1698,1.0000,0.4482
10,TupiQ,,7,0.335,7.160,0.268,0.862,13.440,10.590,13.480,43.670,0.762,0.642,0.2036,0.0605,0.1358,0.3065,0.5305,0.4350,0.6326,0.4783,0.7680,0.3850,0.1766,0.5191,0.5765,0.4241
11,LaySummX,,8,0.321,5.440,0.253,0.855,12.330,9.510,13.380,80.460,0.675,0.521,0.1868,0.0431,0.1181,0.2714,0.7090,0.7215,0.6505,0.9526,0.5984,0.1173,0.1548,0.7584,0.3578,0.4237
12,LTRC,,11,0.288,4.270,0.222,0.850,13.360,9.300,13.290,79.340,0.601,0.476,0.1473,0.0313,0.0815,0.2462,0.5434,0.7772,0.6667,0.9381,0.4542,0.0177,0.1266,0.7313,0.2359,0.3646
13,Aard,,10,0.319,5.450,0.293,0.851,14.560,10.020,15.360,71.510,0.695,0.509,0.1844,0.0432,0.1653,0.2513,0.3505,0.5862,0.2957,0.8372,0.6374,0.0907,0.1610,0.5174,0.3641,0.3475
14,5cNLP,,12,0.333,6.140,0.268,0.859,16.070,10.400,15.340,76.050,0.631,0.549,0.2012,0.0502,0.1358,0.2915,0.1077,0.4854,0.2993,0.8957,0.5127,0.1792,0.1697,0.4470,0.3459,0.3209
15,SXZ,,14,0.165,1.330,0.153,0.801,12.590,11.830,13.290,6.560,0.862,0.528,0.0000,0.0015,0.0000,0.0000,0.6672,0.1060,0.6667,0.0000,0.9630,0.1327,0.0004,0.3600,0.5479,0.3027
16,demo,,15,0.165,1.330,0.153,0.801,12.590,11.830,13.290,6.560,0.862,0.528,0.0000,0.0015,0.0000,0.0000,0.6672,0.1060,0.6667,0.0000,0.9630,0.1327,0.0004,0.3600,0.5479,0.3027
17,x2z,,16,0.182,1.180,0.168,0.804,12.600,8.560,12.650,63.220,0.368,0.468,0.0204,0.0000,0.0177,0.0151,0.6656,0.9735,0.7814,0.7303,0.0000,0.0000,0.0133,0.7877,0.0000,0.2670
18,RainCityNLP,,13,0.284,4.870,0.241,0.840,16.740,11.660,16.240,9.410,0.612,0.653,0.1425,0.0373,0.1039,0.1960,0.0000,0.1511,0.1380,0.0367,0.4756,0.4093,0.1199,0.0815,0.4425,0.2146
